[('Local', 'JJ')] 
[('application', 'NN')] 
[('rhTGF', 'NN')] 
[('h', 'NN')] 
[('enhances', 'NNS')] 
[('periimplant', 'NN')] 
[('bone', 'NN')] 
[('volume', 'NN')] 
[('boneimplant', 'NN')] 
[('contact', 'NN')] 
[('rat', 'NN')] 
[('model', 'NN')] 
[('Aladino', 'NN')] 
[('De', 'NNP')] 
[('Ranieria', 'NNS')] 
[('', 'NN')] 
[('Amarjit', 'NN')] 
[('S', 'NN')] 
[('Virdia', 'NNP')] 
[('', 'NN')] 
[('b', 'NN')] 
[('', 'NN')] 
[('Shinji', 'NN')] 
[('Kurodaa', 'NNP')] 
[('', 'NN')] 
[('Susan', 'NNP')] 
[('Shottc', 'NN')] 
[('', 'NN')] 
[('Robert', 'NNP')] 
[('M', 'NN')] 
[('Levena', 'NN')] 
[('', 'NN')] 
[('Nadim', 'NN')] 
[('J', 'NN')] 
[('Hallabb', 'NN')] 
[('', 'NN')] 
[('Dale', 'NN')] 
[('R', 'NN')] 
[('Sumnera', 'NN')] 
[('', 'NN')] 
[('b', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('aDepartment', 'NN')] 
[('Anatomy', 'NN')] 
[('Cell', 'NN')] 
[('Biology', 'NN')] 
[('', 'NN')] 
[('Rush', 'NN')] 
[('Medical', 'JJ')] 
[('College', 'NN')] 
[('', 'NN')] 
[('Rush', 'NN')] 
[('University', 'NNP')] 
[('Medical', 'JJ')] 
[('Center', 'NNP')] 
[('', 'NN')] 
[('Chicago', 'NNP')] 
[('', 'NN')] 
[('IL', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('USA', 'NNP')] 
[('bDepartment', 'NN')] 
[('Orthopedic', 'NN')] 
[('Surgery', 'NN')] 
[('', 'NN')] 
[('Rush', 'NN')] 
[('Medical', 'JJ')] 
[('College', 'NN')] 
[('', 'NN')] 
[('Rush', 'NN')] 
[('University', 'NNP')] 
[('Medical', 'JJ')] 
[('Center', 'NNP')] 
[('', 'NN')] 
[('Chicago', 'NNP')] 
[('', 'NN')] 
[('IL', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('USA', 'NNP')] 
[('cDepartment', 'NN')] 
[('Internal', 'NNP')] 
[('Medicine', 'NN')] 
[('', 'NN')] 
[('Rush', 'NN')] 
[('Medical', 'JJ')] 
[('College', 'NN')] 
[('', 'NN')] 
[('Rush', 'NN')] 
[('University', 'NNP')] 
[('Medical', 'JJ')] 
[('Center', 'NNP')] 
[('', 'NN')] 
