[('anin', 'NN')] 
[('vitro', 'NN')] 
[('study', 'NN')] 
[('ultrasound', 'NN')] 
[('signal', 'NN')] 
[('loss', 'NN')] 
[('across', 'IN')] 
[('simple', 'NN')] 
[('fractures', 'NNS')] 
[('cortical', 'JJ')] 
[('bone', 'NN')] 
[('mimics', 'NNS')] 
[('bovine', 'NN')] 
[('cortical', 'JJ')] 
[('bone', 'NN')] 
[('samples', 'NNS')] 
[('sp', 'NN')] 
[('', 'NN')] 
[('dodda', 'NN')] 
[('', 'NN')] 
[('jl', 'NN')] 
[('', 'NN')] 
[('cunninghama', 'NN')] 
[('', 'NN')] 
[('⁎', 'NN')] 
[('', 'NN')] 
[('aw', 'NN')] 
[('', 'NN')] 
[('milesa', 'NN')] 
[('', 'NN')] 
[('s', 'NN')] 
[('gheduzzia', 'NN')] 
[('', 'NN')] 
[('vf', 'NN')] 
[('', 'NN')] 
[('humphreyb', 'NN')] 
[('acentre', 'NN')] 
[('orthopaedic', 'NN')] 
[('biomechanics', 'NNS')] 
[('', 'NN')] 
[('department', 'NN')] 
[('mechanical', 'JJ')] 
[('engineering', 'NN')] 
[('', 'NN')] 
[('university', 'NN')] 
[('bath', 'NN')] 
[('', 'NN')] 
[('bath', 'NN')] 
[('', 'NN')] 
[('avon', 'NN')] 
[('', 'NN')] 
[('ba', 'NN')] 
[('ay', 'NN')] 
[('', 'NN')] 
[('uk', 'NN')] 
[('binstitute', 'NN')] 
[('sound', 'NN')] 
[('vibration', 'NN')] 
[('research', 'NN')] 
[('', 'NN')] 
[('isvr', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('university', 'NN')] 
[('southampton', 'NN')] 
[('', 'NN')] 
[('southampton', 'NN')] 
[('', 'NN')] 
[('hampshire', 'NN')] 
[('', 'NN')] 
[('so', 'RB')] 
[('bj', 'NN')] 
[('', 'NN')] 
[('uk', 'NN')] 
[('received', 'VBN')] 
[('', 'NN')] 
[('july', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('revised', 'VBN')] 
[('', 'NN')] 
[('october', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('accepted', 'JJ')] 
[('', 'NN')] 
[('october', 'NN')] 
[('', 'NN')] 
[('available', 'JJ')] 
[('online', 'NN')] 
[('', 'NN')] 
[('november', 'NN')] 
[('', 'NN')] 
[('abstract', 'NN')] 
[('measurements', 'NNS')] 
[('performed', 'VBN')] 
[('sawbones®', 'NN')] 
[('bovine', 'NN')] 
[('cortical', 'JJ')] 
[('bone', 'NN')] 
[('samples', 'NNS')] 
[('', 'NN')] 
[('khz', 'NN')] 
[('using', 'VBG')] 
[('axial', 'JJ')] 
[('transmission', 'NN')] 
[('technique', 'NN')] 
[('investigate', 'NN')] 
[('factors', 'NNS')] 
[('determine', 'NN')] 
[('ultrasonic', 'JJ')] 
[('waves', 'NNS')] 
[('propagate', 'NN')] 
[('across', 'IN')] 
[('simulated', 'JJ')] 
[('fracture', 'NN')] 
[('', 'NN')] 
[('peak', 'NN')] 
[('amplitude', 'NN')] 
[('first', 'RB')] 
[('arrival', 'NN')] 
[('signal', 'NN')] 
[('', 'NN')] 
[('fas', 'NN')] 
[('', 'NN')] 
[('studied', 'VBN')] 
[('', 'NN')] 
[('results', 'NNS')] 
[('taken', 'VBN')] 
[('intact', 'JJ')] 
[('specimens', 'NNS')] 
[('compared', 'VBN')] 
[('produced', 'VBN')] 
[('simple', 'NN')] 
[('transverse', 'NN')] 
[('fracture', 'NN')] 
[('introducedthese', 'JJ')] 
[('fracture', 'NN')] 
[('simulation', 'NN')] 
[('experiments', 'NNS')] 
[('found', 'NN')] 
[('consistent', 'NN')] 
[('finite', 'NN')] 
[('difference', 'NN')] 
[('modelling', 'VBG')] 
[('experimental', 'NN')] 
[('conditions', 'NNS')] 
[('', 'NN')] 
[('peak', 'NN')] 
[('amplitude', 'NN')] 
[('showed', 'VBD')] 
[('characteristic', 'JJ')] 
[('variation', 'NN')] 
[('across', 'IN')] 
[('fracture', 'NN')] 
[('caused', 'VBN')] 
[('interference', 'NN')] 
[('reradiated', 'VBN')] 
[('scattered/diffracted', 'VBN')] 
[('waves', 'NNS')] 
[('fracture', 'NN')] 
[('site', 'NN')] 
[('net', 'NN')] 
[('fracture', 'NN')] 
[('transmission', 'NN')] 
[('loss', 'NN')] 
[('', 'NN')] 
[('ftl', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('small', 'JJ')] 
[('fracture', 'NN')] 
[('gaps', 'NNS')] 
[('', 'NN')] 
[('change', 'NN')] 
