[('Selective', 'JJ')] 
[('Attachment', 'NN')] 
[('Osteoprogenitors', 'NNS')] 
[('Laminin', 'NN')] 
[('P', 'NN')] 
[('ROCHEH', 'NN')] 
[('', 'NN')] 
[('A', 'DT')] 
[('GOLDBERGP', 'NN')] 
[('', 'NN')] 
[('D', 'NN')] 
[('DELMASand', 'NN')] 
[('L', 'NN')] 
[('MALAVAL', 'NN')] 
[('INSERM', 'NN')] 
[('Unite', 'NN')] 
[('´', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Hoˆpital', 'NN')] 
[('E', 'NN')] 
[('Herriot', 'NN')] 
[('', 'NN')] 
[('Lyon', 'NN')] 
[('', 'NN')] 
[('France', 'NNP')] 
[('University', 'NNP')] 
[('Western', 'JJ')] 
[('Ontario', 'NN')] 
[('', 'NN')] 
[('Faculty', 'NN')] 
[('Dentistry', 'NN')] 
[('', 'NN')] 
[('London', 'NNP')] 
[('', 'NN')] 
[('ON', 'NN')] 
[('', 'NN')] 
[('Canada', 'NNP')] 
[('During', 'IN')] 
[('endochondral', 'JJ')] 
[('ossification', 'NN')] 
[('bone', 'NN')] 
[('remodeling', 'VBG')] 
[('', 'NN')] 
[('os', 'NN')] 
[('teoprogenitors', 'NNS')] 
[('', 'NN')] 
[('OP', 'NN')] 
[('', 'NN')] 
[('attach', 'NN')] 
[('matrix', 'NN')] 
[('differentiateinto', 'NN')] 
[('osteoblasts', 'NNS')] 
[('', 'NN')] 
[('To', 'TO')] 
[('identify', 'VB')] 
[('matrix', 'NN')] 
[('proteins', 'NNS')] 
[('binding', 'NN')] 
[('specifically', 'RB')] 
[('precursors', 'NNS')] 
[('', 'NN')] 
[('fetal', 'NN')] 
[('rat', 'NN')] 
[('calvaria', 'NNS')] 
[('', 'NN')] 
[('RC', 'NN')] 
[('', 'NN')] 
[('cells', 'NNS')] 
[('wereplated', 'VBN')] 
[('', 'NN')] 
[('min', 'NN')] 
[('serumfree', 'NN')] 
[('medium', 'NN')] 
[('', 'NN')] 
[('wells', 'NNS')] 
[('coatedwith', 'NN')] 
[('various', 'JJ')] 
[('proteins', 'NNS')] 
[('saturated', 'VBN')] 
[('bovine', 'NN')] 
[('serum', 'NN')] 
[('albumin', 'NN')] 
[('', 'NN')] 
[('BSA', 'NN')] 
[('', 'NN')] 
[('block', 'NN')] 
[('nonspecific', 'NN')] 
[('binding', 'NN')] 
[('sites', 'NNS')] 
[('', 'NN')] 
[('Adherent', 'NN')] 
[('cellswere', 'RB')] 
[('either', 'DT')] 
[('counted', 'VBN')] 
[('grown', 'NN')] 
[('assess', 'NN')] 
[('bone', 'NN')] 
[('colony', 'NN')] 
[('', 'NN')] 
[('nodule', 'NN')] 
[('', 'NN')] 
[('formationAseachnoduleoriginatesfromtheclonaldivisionofoneOP', 'NN')] 
[('', 'NN')] 
[('theratio', 'NN')] 
[('', 'NN')] 
[('nodules/cellsattached', 'VBN')] 
[('', 'NN')] 
[('measurestheproportion', 'NN')] 
[('OP', 'NN')] 
[('among', 'IN')] 
[('adherent', 'NN')] 
[('cells', 'NNS')] 
[('', 'NN')] 
[('Of', 'IN')] 
[('numerous', 'JJ')] 
[('purified', 'VBN')] 
[('matrix', 'NN')] 
[('proteins', 'NNS')] 
[('tested', 'VBN')] 
[('', 'NN')] 
[('laminin', 'NN')] 
[('tenascin', 'NN')] 
[('inhibitedcell', 'NN')] 
[('attachment', 'NN')] 
[('', 'NN')] 
[('whereas', 'NNS')] 
[('fibronectin', 'NN')] 
[('', 'NN')] 
[('bone', 'NN')] 
[('sialoprotein', 'NN')] 
[('', 'NN')] 
[('andtype', 'NN')] 
[('I', 'PRP')] 
[('collagen', 'NN')] 
[('increased', 'VBN')] 
[('cell', 'NN')] 
[('attachment', 'NN')] 
[('others', 'NNS')] 
[('noeffect', 'NN')] 
[('', 'NN')] 
[('Only', 'RB')] 
[('laminin', 'NN')] 
[('', 'NN')] 
[('lesser', 'NN')] 
[('extent', 'NN')] 
[('', 'NN')] 
[('tenascin', 'NN')] 
[('', 'NN')] 
[('enriched', 'VBN')] 
[('cell', 'NN')] 
[('population', 'NN')] 
[('OP', 'NN')] 
[('', 'NN')] 
[('Laminin', 'NN')] 
[('acted', 'VBN')] 
[('time', 'NN')] 
[('anddosedependentlyInexperimentsinwhichcellattachmenttolaminincoated', 'VBN')] 
[('unsaturated', 'JJ')] 
[('wells', 'NNS')] 
[('ensured', 'VBN')] 
[('platingfor', 'NN')] 
[('', 'NN')] 
[('h', 'NN')] 
[('', 'NN')] 
[('%', 'NN')] 
[('fetal', 'NN')] 
[('calf', 'NN')] 
[('serum', 'NN')] 
[('', 'NN')] 
[('laminin', 'NN')] 
[('effect', 'NN')] 
[('oncell', 'NN')] 
[('attachment', 'NN')] 
[('OP', 'NN')] 
[('differentiation', 'NN')] 
[('', 'NN')] 
[('In', 'IN')] 
[('contrast', 'NN')] 
[('', 'NN')] 
[('repeated', 'VBN')] 
[('plating', 'VBG')] 
[('RC', 'NN')] 
[('cells', 'NNS')] 
[('laminincoated/saturatedwells', 'NNS')] 
