Corrosion, PROPN 
Science, PROPN 
Vol, PROPN 
38, NUM 
6, NUM 
PP, PROPN 
805, NUM 
822, NUM 
1996, NUM 

, SPACE 
Copyright, PROPN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Printed, PROPN 
Great, PROPN 
Britain, PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
0010, NUM 
-938X/96, NUM 
$, SYM 
lS.OO+O.OO, PROPN 

, SPACE 
0010, NUM 
938x(95)00168, NUM 
9, NUM 

, SPACE 
STUDY, NOUN 
INITIAL, NOUN 
STAGES, NOUN 
OXIDATION, NOUN 

, SPACE 
YTTRIUM, PROPN 
IMPLANTED, ADJ 
CHROMIUM, PROPN 
X, PROPN 
RAY, PROPN 

, SPACE 
DIFFRACTION, PROPN 
ABSORPTION, PROPN 
SPECTROSCOPY, PROPN 

, SPACE 
M., PROPN 
J., PROPN 
CRISTbBAL, PROPN 
P., PROPN 
N., PROPN 
GIBSON, PROPN 
M., PROPN 
F., PROPN 
STROOSNIJDER, PROPN 

, SPACE 
Institute, PROPN 
Advanced, PROPN 
Materials, PROPN 
Ispra, PROPN 
Site, PROPN 
Joint, PROPN 
Research, PROPN 
Centre, PROPN 
European, PROPN 
Commission, PROPN 
21020, NUM 
Ispra, PROPN 
VA, PROPN 

, SPACE 
Italy, PROPN 

, SPACE 
Abstract, PROPN 
beneficial, ADJ 
effect, NOUN 
addition, NOUN 
yttrium, NOUN 
ion, NOUN 
implantation, NOUN 
oxidation, NOUN 
behaviour, NOUN 

, SPACE 
chromium, NOUN 
studied, VERB 
Emphasis, PROPN 
placed, VERB 
initial, ADJ 
stages, NOUN 
oxidation, NOUN 
rapid, ADJ 
heating, NOUN 
900, NUM 
°, NUM 
C, NOUN 

, SPACE 
exposing, VERB 
samples, NOUN 
intermediate, ADJ 
temperatures, NOUN 
withdrawing, VERB 
analysis, NOUN 
Characterization, NOUN 
surface, NOUN 

, SPACE 
layers, NOUN 
carried, VERB 
X, NOUN 
ray, NOUN 
techniques, NOUN 
glancing, ADJ 
angles, NOUN 
Glancing, VERB 
angle, NOUN 
X, NOUN 
ray, PROPN 
diffraction, NOUN 
GAXRD, PROPN 

, SPACE 
angles, NOUN 
obtain, VERB 
structural, ADJ 
texture, NOUN 
information, NOUN 
function, NOUN 
depth, NOUN 
X, NOUN 
ray, NOUN 
absorption, NOUN 

, SPACE 
spectroscopy, NOUN 
yttrium, NOUN 
K, NOUN 
edge, NOUN 
enabled, VERB 
information, NOUN 
gained, VERB 
local, ADJ 
structure, NOUN 
element, NOUN 

, SPACE 
short, ADJ 
range, NOUN 
structure, NOUN 
yttrium, NOUN 
rich, ADJ 
oxides, NOUN 
Y203, PROPN 
YCrO4, PROPN 
observed, VERB 
believed, VERB 

, SPACE 
represent, VERB 
structure, NOUN 
yttrium, NOUN 
segregated, VERB 
oxide, NOUN 
grain, NOUN 
boundaries, NOUN 
thought, VERB 
segregation, NOUN 

, SPACE 
chromia, NOUN 
scales, NOUN 
cause, VERB 
reported, VERB 
beneficial, ADJ 
reactive, NOUN 
element, NOUN 
effects, NOUN 
Y203, PROPN 
present, ADJ 

, SPACE 
particles, NOUN 
expected, VERB 
play, VERB 
indirect, ADJ 
role, NOUN 
forming, VERB 
source, NOUN 
yttrium, NOUN 
slowly, ADV 
segregates, VERB 

, SPACE 
grain, NOUN 
boundaries, NOUN 
possible, ADJ 
effects, NOUN 
grain, NOUN 
boundary, NOUN 
segregation, NOUN 
yttrium, NOUN 
oxidation, NOUN 
behaviour, NOUN 

, SPACE 
material, NOUN 
oxide, NOUN 
scale, NOUN 
properties, NOUN 
discussed, VERB 
Copyright, NOUN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd., PROPN 

, SPACE 
Kqvwords, NOUN 
A., NOUN 
chromium, NOUN 
B., PROPN 
ion, NOUN 
implantation, NOUN 
C., PROPN 
oxidation, NOUN 
B., PROPN 
yttrium, NOUN 
additions, NOUN 
A., NOUN 
reactive, NOUN 
elements, NOUN 

, SPACE 
INTRODUCTION, NOUN 

, SPACE 
ability, NOUN 
current, ADJ 
generation, NOUN 
high, ADJ 
temperature, NOUN 
alloys, NOUN 
resist, VERB 
corrosion, NOUN 
depends, VERB 

, SPACE 
potential, NOUN 
form, VERB 
maintain, VERB 
protective, ADJ 
oxide, NOUN 
scale, NOUN 
e.g., ADV 
Cr203, PROPN 
A1203, PROPN 

