Corrosion, PROPN 
Science, PROPN 
Vol, PROPN 
38, NUM 
8, NUM 
pp, PROPN 
1331, NUM 
1356, NUM 
1996, NUM 

, SPACE 
Copyright, PROPN 
0, NUM 
1996, NUM 
Published, VERB 
Elsevier, ADJ 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Printed, PROPN 
Great, PROPN 
Britain, PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
001&938X/96, PROPN 
15.00, NUM 
+, NUM 
0.00, NUM 

, SPACE 
PII, PROPN 
SOOlO-938X(96)00023, NOUN 
6, NUM 

, SPACE 
CORROSION, NOUN 
12Cr, NUM 
ALLOY, NOUN 
CARBONIC, PROPN 
ACID, PROPN 

, SPACE 
ENVIRONMENT, NOUN 
HIGH, ADJ 
PRESSURE, NOUN 
STEAM, NOUN 
TURBINE, PROPN 

, SPACE 
J., PROPN 
M., PROPN 
LYONS, PROPN 
J., PROPN 
CORISHS, PROPN 

, SPACE 
t, PROPN 
Electricity, PROPN 
Supply, PROPN 
Board, PROPN 
Shannonbridge, PROPN 
Co., PROPN 
Offaly, PROPN 
Republic, PROPN 
Ireland, PROPN 

, SPACE 
1, NUM 
Department, PROPN 
Chemistry, PROPN 
Trinity, PROPN 
College, PROPN 
Dublin, PROPN 
2, NUM 
Republic, PROPN 
Ireland, PROPN 

, SPACE 
Abstract, PROPN 
kinetics, NOUN 
corrosion, NOUN 
turbine, NOUN 
blade, NOUN 
material, NOUN 
12Cr, NUM 
steel, NOUN 
studied, VERB 
periods, NOUN 

, SPACE 
18, NUM 
x, SYM 
lo3, ADJ 
h, NOUN 
specimens, NOUN 
located, VERB 
situ, ADJ 
rig, NOUN 
attached, VERB 
working, NOUN 
turbine, NOUN 
Measurements, NOUN 

, SPACE 
distribution, NOUN 
carbon, NOUN 
dioxide, NOUN 
vapour, NOUN 
liquid, ADJ 
phases, NOUN 
service, NOUN 
turbine, NOUN 
shown, VERB 

, SPACE 
CO2, PROPN 
greatly, ADV 
favours, VERB 
liquid, ADJ 
phase, NOUN 
Specimens, NOUN 
exposed, VERB 
prepared, VERB 
electropolished, VERB 

, SPACE 
silicon, NOUN 
carbide, NOUN 
finished, VERB 
surfaces, NOUN 
exhibited, VERB 
parabolic, ADJ 
kinetics, NOUN 
initial, ADJ 
lag, NOUN 
time, NOUN 
elapsed, VERB 

, SPACE 
measured, VERB 
parabolic, ADJ 
rate, NOUN 
constant, NOUN 
k, PROPN 
0.49, NUM 
x, SYM 
lo-, NOUN 
1.05, NUM 
x, SYM 
10m5, NUM 
mg, NOUN 
crnm4, NOUN 
electropolished, ADJ 
SiC-, PROPN 

, SPACE 
finished, VERB 
specimens, NOUN 
respectively, ADV 
nature, NOUN 
corrosion, NOUN 
products, NOUN 
determined, VERB 
SEM, PROPN 
XRD, PROPN 

, SPACE 
EPMA, PROPN 
XPS, PROPN 
SIMS, PROPN 
particular, ADJ 
attention, NOUN 
inner, ADJ 
oxide, NOUN 
layer, NOUN 
formed, VERB 
metal, NOUN 
substrate, NOUN 
Similar, ADJ 

, SPACE 
specimens, NOUN 
exposed, VERB 
conditions, NOUN 
laboratory, NOUN 
test, NOUN 
rig, NOUN 
concentrations, NOUN 

, SPACE 
COz, NOUN 
O2, PROPN 
carefully, ADV 
controlled, VERB 
Copyright, NOUN 
0, NUM 
1996, NUM 
Published, VERB 
Elsevier, ADJ 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Ke.vwords, NOUN 
A., NOUN 
acid, NOUN 
solutions, NOUN 
A., NOUN 
alloy, NOUN 
A., NOUN 
steel, NOUN 
C., PROPN 
oxidation, NOUN 

, SPACE 
INTRODUCTION, NOUN 

, SPACE 
little, ADJ 
variation, NOUN 
world, NOUN 
wide, ADV 
material, NOUN 
manufacture, NOUN 
turbine, NOUN 

, SPACE 
blades, NOUN 
use, NOUN 
power, NOUN 
generation, NOUN 
facilities, NOUN 
Resistance, NOUN 
oxidation, NOUN 
types, NOUN 

, SPACE 
corrosion, NOUN 
prerequisite, NOUN 
appropriate, ADJ 
mechanical, ADJ 
properties, NOUN 
paper, NOUN 

, SPACE 
concerned, ADJ 
resistance, NOUN 
12Cr, NUM 
stainless, ADJ 
steel, NOUN 
material, NOUN 
extensively, ADV 

, SPACE 
blades, NOUN 
service, NOUN 
attack, NOUN 
carbon, NOUN 
dioxide, NOUN 
Steam, NOUN 
turbines, NOUN 
electric, ADJ 
utility, NOUN 

, SPACE 
industry, NOUN 
designed, VERB 
operate, VERB 
