DlSCRETE, PROPN 

, SPACE 
MATHEMATICS, PROPN 

, SPACE 
Discrete, PROPN 
Mathematics, PROPN 
158, NUM 
996, NUM 
49, NUM 
62, NUM 

, SPACE 
Pseudo, PROPN 
Cartesian, ADJ 
product, NOUN 
hamiltonian, ADJ 
decompositions, NOUN 

, SPACE 
Cayley, PROPN 
graphs, NOUN 
abelian, ADJ 
groups, NOUN 

, SPACE 
Cong, PROPN 
Fan, PROPN 
Don, PROPN 
R., PROPN 
Lick, PROPN 
Jiuqiang, PROPN 
Liu, PROPN 

, SPACE 
Western, PROPN 
Michigan, PROPN 
Unicersi[L, PROPN 
Kalamazoo, PROPN 
MI, PROPN 
4YOO8, NUM 
USA, PROPN 

, SPACE 
bDepartment, PROPN 
@Mathematics, NOUN 
Eastetw, PROPN 
Michigan, PROPN 
University, PROPN 
Ypsilanti, PROPN 
MI, PROPN 
4X197, PROPN 
USA, PROPN 

, SPACE 
Received, VERB 
22, NUM 
March, PROPN 
1993, NUM 
revised, VERB 
6, NUM 
July, PROPN 
1994, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
Alspach, PROPN 
conjectured, VERB 
2k, PROPN 
regular, ADJ 
connected, ADJ 
Cayley, PROPN 
graph, NOUN 
cay(A, PROPN 
S, PROPN 
finite, ADJ 

, SPACE 
abelian, PROPN 
group, NOUN 
decomposed, VERB 
k, PROPN 
hamiltonian, ADJ 
cycles, NOUN 
paper, NOUN 
generalize, VERB 

, SPACE 
result, NOUN 
Kotzig, PROPN 
Cartesian, ADJ 
product, NOUN 
cycles, NOUN 
decomposed, VERB 

, SPACE 
hamiltonian, ADJ 
cycles, NOUN 
pseudo, ADJ 
Cartesian, ADJ 
product, NOUN 
cycles, NOUN 
decom-, NOUN 

, SPACE 
posed, VERB 
hamiltonian, ADJ 
cycles, NOUN 
applying, VERB 
result, NOUN 
alternative, ADJ 
proof, NOUN 

, SPACE 
main, ADJ 
result, NOUN 
Bermond, PROPN 
et, PROPN 
al, PROPN 
1989, NUM 
including, VERB 
missing, VERB 
cases, NOUN 

, SPACE 
conjecture, NOUN 
true, ADJ 
6, NUM 
regular, ADJ 
connected, ADJ 
Cayley, PROPN 
graphs, NOUN 
abelian, ADJ 
groups, NOUN 
odd, ADJ 
order, NOUN 

, SPACE 
6, NUM 
regular, ADJ 
connected, ADJ 
Cayley, PROPN 
graphs, NOUN 
abelian, ADJ 
groups, NOUN 
order, NOUN 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
Let, VERB 
+, NOUN 
finite, ADJ 
group, NOUN 
S, PROPN 
subset, NOUN 
O$S, NOUN 
s, VERB 
E, NOUN 
S, PROPN 
implies, VERB 

, SPACE 
s&S., X 
Cayley, PROPN 
graph, NOUN 
cay(A, PROPN 
S, PROPN 
defined, VERB 
graph, NOUN 
G, NOUN 
V(G, NUM 
=, VERB 

, SPACE 
E(G, NOUN 
=, VERB 
xyIx, PROPN 
y, PROPN 
~, PUNCT 
x, SYM 
-yes, PROPN 
y, PROPN 
XES, PROPN 
edge, NOUN 
xy, PROPN 
cay(A, PROPN 
S, PROPN 

, SPACE 
generated, VERB 
SES, PROPN 
x, PROPN 
y, PROPN 
=, PROPN 
s, PROPN 
y, PROPN 
x, PROPN 
=, X 
s, NOUN 
subgraph, NOUN 
Q, PROPN 
cay(A, PROPN 
S, PROPN 

, SPACE 
generated, VERB 
s, PROPN 
edges, NOUN 
Q, PROPN 
generated, VERB 
s., PROPN 

, SPACE 
Remark, PROPN 
1.1, NUM 
definition, NOUN 
clear, ADJ 
element, NOUN 
S, PROPN 
order, NOUN 

, SPACE 
2, NUM 
generates, VERB 
l, NOUN 
factor, NOUN 
cay(A, PROPN 
S, PROPN 
element, NOUN 
S, PROPN 
order, NOUN 

, SPACE 
3, NUM 
generates, VERB 
2, NUM 
factor, NOUN 
cay(A, PROPN 
S, PROPN 
Furthermore, ADV 
cay(A, PROPN 
S, PROPN 
connected, VERB 

, SPACE 
S, PROPN 
generates, VERB 
A., NOUN 

, SPACE 
known, VERB 
connected, VERB 
Cayley, PROPN 
graph, NOUN 
finite, PROPN 
abelian, PROPN 
group, NOUN 
hamil-, X 

, SPACE 
tonian, ADJ 
lo, X 
1984, NUM 
Alspach, PROPN 
l, NOUN 
conjectured, VERB 
2k, PROPN 
regular, ADJ 
connected, VERB 
Cayley, PROPN 

, SPACE 
Corresponding, PROPN 
author, NOUN 

, SPACE 
0012, NUM 
365X/96/$15.00, NUM 
c, NOUN 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
B.V., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
SSDf, PROPN 
0012, NUM 
365X(95)00035, NUM 
6, NUM 

, SPACE 
50, NUM 
C., PROPN 
Fan, PROPN 
et, PROPN 
al, PROPN 
/Discrete, PUNCT 
Mathematics, PROPN 
158, NUM 
1996, NUM 
49, NUM 
62, NUM 

, SPACE 
graph, NOUN 
finite, PROPN 
abelian, PROPN 
group, NOUN 
hamiltonian, ADJ 
decomposition, NOUN 
Bermond, PROPN 
et, PROPN 
al, PROPN 
4, X 

, SPACE 
proved, VERB 
4, NUM 
regular, ADJ 
connected, ADJ 
Cayley, PROPN 
graph, NOUN 
cay(A, PROPN 
S, PROPN 
finite, ADJ 
abelian, PROPN 

, SPACE 
group, NOUN 
1, NUM 
Sj, NOUN 
=, NOUN 
2, NUM 
decomposed, VERB 
hamiltonian, ADJ 
cycles, NOUN 
Liu, PROPN 
S, PROPN 
showed, VERB 

, SPACE 
conjecture, NOUN 
true, ADJ 
provided, VERB 
cay(A, PROPN 
S, PROPN 
2m, NUM 
regular, ADJ 

, SPACE 
S, PROPN 
=, ADP 
Si, PROPN 
SZ, PROPN 
sk, PROPN 
generating, VERB 
set, NOUN 
gcd(ord(s, PROPN 
ord(sj, X 
=, VERB 
1, NUM 
j, PROPN 

, SPACE 
orS, NOUN 
=, PROPN 
s1,sz, PROPN 
s3, PROPN 
minimal, ADJ 
generating, NOUN 
set, NOUN 
1, NUM 
1, NUM 
odd, ADJ 
9, NUM 
Liu, PROPN 
proved, VERB 

, SPACE 
cay(A, PROPN 
S, PROPN 
decomposed, VERB 
k, PROPN 
hamiltonian, ADJ 
cycles, NOUN 
S, PROPN 
=, SYM 
si, ADJ 
s2, PROPN 
sk, PROPN 

, SPACE 
minimal, ADJ 
generating, NOUN 
set, NOUN 
abelian, ADJ 
group, NOUN 
odd, ADJ 
order, NOUN 

, SPACE 
pseudo, ADJ 
Cartesian, ADJ 
product, NOUN 
cycles, NOUN 
decomposed, VERB 
hamiltonian, ADJ 

, SPACE 
cycles, NOUN 
Section, NOUN 
2, NUM 
Section, NOUN 
3, NUM 
focus, VERB 
6, NUM 
regular, ADJ 
connected, ADJ 
Cayley, PROPN 
graphs, NOUN 

, SPACE 
extend, VERB 
conjecture, NOUN 
cay(A, PROPN 
S, PROPN 
abelian, ADJ 
group, NOUN 
odd, ADJ 

, SPACE 
order, NOUN 
S, PROPN 
=, PROPN 
si, ADJ 
s2, PROPN 
sj, X 
generating, VERB 
set, NOUN 
ord(s, PROPN 
3, NUM 
ord(s, NUM 
>, X 
ord(s, PROPN 

, SPACE 
ii, PROPN 
finite, ADJ 
abelian, PROPN 
group, NOUN 
S, PROPN 
=, PROPN 
sr, PROPN 
s2,s3, PROPN 
generating, VERB 
set, NOUN 

, SPACE 
S, PROPN 
element, NOUN 
si, NOUN 
odd, ADJ 
order, NOUN 
J, PROPN 
=, PROPN 
si, X 
=, PROPN 
J, PROPN 
elements, NOUN 

, SPACE 
ord(gj, NOUN 
3, NUM 
3, NUM 
j, NOUN 
j, PROPN 
coset, NOUN 
J, PROPN 
Fj, PROPN 
=, NOUN 
sj, NOUN 
+, PROPN 
J., PROPN 
addition, NOUN 

, SPACE 
alternative, ADJ 
proof, NOUN 
Section, NOUN 
3, NUM 
main, ADJ 
result, NOUN 
4, NUM 
including, VERB 
missing, VERB 
cases, NOUN 

, SPACE 
convention, NOUN 
terminology, NOUN 
notation, NOUN 
mentioned, VERB 
referred, VERB 

, SPACE 
S, PROPN 
71, NUM 

, SPACE 
2, X 
Pseudo, ADJ 
Cartesian, ADJ 
product, NOUN 
cycles, NOUN 

, SPACE 
recall, VERB 
definitions, NOUN 

, SPACE 
Definition, PROPN 
2.1, NUM 
cartesian, ADJ 
product, NOUN 
G, PROPN 
=, PROPN 
G1, PROPN 
x, SYM 
G2, PROPN 
vertex, NOUN 
set, VERB 
V(G, NUM 
=, VERB 
V(G, NUM 
x, PUNCT 

, SPACE 
V(G, NUM 
edge, NOUN 
set, VERB 
E(G, PROPN 
=, NOUN 
u1,u2)(u1~02)(u1, ADJ 
=, ADJ 
u1, ADJ 
u2u2eE(G2, PROPN 
u2, ADJ 
=, PRON 
u2, ADJ 

, SPACE 
~1~1, PROPN 
WGi, NOUN 

, SPACE 
let, VERB 
Ci, PROPN 
=, ADJ 
u1u2, X 
anal, ADJ 
C2, PROPN 
=, NOUN 
bl, VERB 
b2, PROPN 
b, NOUN 
bl, VERB 
cycles, NOUN 

, SPACE 
convention, NOUN 
subscripts, NOUN 
expressed, VERB 
modulo, PROPN 
II, PROPN 
subscripts, NOUN 
b, PROPN 

, SPACE 
expressed, VERB 
modulo, PROPN 
m., NOUN 

, SPACE 
following, VERB 
definition, NOUN 
introduced, VERB 
8, NUM 

, SPACE 
Definition, PROPN 
2.2, NUM 
0, NUM 
<, X 
r, NOUN 
<, X 
m, NOUN 
1, NUM 
r, NOUN 
pseudo, NOUN 
Cartesian, ADJ 
product, NOUN 
Ci, PROPN 
C2, PROPN 

, SPACE 
denoted, VERB 
Ci, PROPN 
x, PROPN 
C2, PROPN 
graph, NOUN 
obtained, VERB 
C1, PROPN 
x, SYM 
C2, PROPN 
replacing, VERB 

, SPACE 
edge, NOUN 
