0LllTM.l, NUM 

, SPACE 
0, PUNCT 

, SPACE 
rne?il, NOUN 
ic, PROPN 
P, PROPN 

, SPACE 
Chemistry, PROPN 

, SPACE 
ELSEVIER, PROPN 

, SPACE 
Preparation, PROPN 
Journal, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
510, NUM 
1996, NUM 
103, NUM 
108, NUM 

, SPACE 
characterization, NOUN 
mixed, PROPN 
alkyl, PROPN 
amido, NOUN 
complexes, NOUN 

, SPACE 
gallium, NOUN 

, SPACE 
Se&n, PUNCT 
T., PROPN 
Barry, PROPN 
Darrin, PROPN 
S., PROPN 
Richeson, PROPN 

, SPACE 
Department, PROPN 
ofChemistryy, PROPN 
University, PROPN 
Ottawa, PROPN 
Ottawa, PROPN 
Ont, PROPN 
KIN, PROPN 
6N5, PROPN 
Canada, PROPN 

, SPACE 
Received, VERB 
19, NUM 
June, PROPN 
1995, NUM 
revised, VERB 
form, NOUN 
7, NUM 
August, PROPN 
1995, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
series, NOUN 
primary, ADJ 
amido, NOUN 
gallium, PROPN 
alkyl, PROPN 
complexes, NOUN 
includes, VERB 
base, NOUN 
free, ADJ 
dimer, NOUN 
Bu, PROPN 
Ga, PROPN 
CL, PROPN 
N(H)‘Bu, PROPN 
1, NUM 
Lewis, PROPN 
base, NOUN 
stabilized, VERB 

, SPACE 
monomeric, ADJ 
complexes, NOUN 
BuzGa(N(H)‘Bu)(THF, PROPN 
2, NUM 
Bu, PROPN 
Ga[NH(2,6, PROPN 
Me&H&y, PROPN 
3, NUM 
anionic, ADJ 
complex, NOUN 
Bu, PROPN 
GdNH(2,6-, PROPN 

, SPACE 
C, PROPN 
H,)],[Li(Et, PROPN 
O, PROPN 
4, X 
reported, VERB 
Complex, ADJ 
1, NUM 
crystallizes, VERB 
triclinic, ADJ 
space, NOUN 
group, NOUN 
f, PROPN 
l, PROPN 
=, PROPN 
10.265(5, ADJ 
b, PROPN 
=, PROPN 
1X752(6, PROPN 

, SPACE 
c, PROPN 
=, SYM 
8.932(4, NUM 
Y, PROPN 
90.32(3, PROPN 
p, NOUN 
=, NOUN 
105.61(3, NUM 
y=, NOUN 
88.24(4, NUM 
molecules, NOUN 
residing, VERB 
inversion, NOUN 
center, NOUN 

, SPACE 
asymmetric, ADJ 
unit, NOUN 
Structural, ADJ 
analysis, NOUN 
revealed, VERB 
planar, ADJ 
Ga, PROPN 
N, PROPN 
core, NOUN 
bridging, VERB 
N, PROPN 
Ga, PROPN 
centers, NOUN 
distorted, VERB 
tetrahedral, ADJ 

, SPACE 
environments, NOUN 
Ga, PROPN 
C, PROPN 
distances, NOUN 
2.052(3)-2.065(3, NOUN 
Ga, PROPN 
N, PROPN 
distances, NOUN 
2&o(3)-2.069(3, NUM 
use, NOUN 
excess, ADJ 
amido, NOUN 
ligand, NOUN 
allowed, VERB 

, SPACE 
isolation, NOUN 
ant, ADJ 
crystallization, NOUN 
4, NUM 
Complex, ADJ 
4, NUM 
crystallized, VERB 
monoclinic, ADJ 
space, NOUN 
group, NOUN 
P21, PROPN 
n, CCONJ 
=, PROPN 
8.666(2, NUM 
b, PRON 
=, PROPN 
22.305(3, PROPN 

, SPACE 
c, PROPN 
=, PROPN 
15.570(3, PROPN 
p, NOUN 
=, NOUN 
103.4$2, NUM 
Z, PROPN 
=, SYM 
4, NUM 
Th, NOUN 
e, NOUN 

, SPACE 
ligands, VERB 
Ga, PROPN 
Nl, PROPN 
=, NOUN 
2.01, NUM 
l(8, NOUN 
Ga, PROPN 
N2, PROPN 
=, X 
g, PROPN 
seudotetrahedral, ADJ 
gallium, NOUN 
center, NOUN 
coordination, NOUN 
sphere, NOUN 
composed, VERB 
amido, NOUN 

, SPACE 
2.006(7, NUM 
Bu, PROPN 
ligands, NOUN 
Ga, PROPN 
Cl7, NOUN 
2.002(9, NUM 
Ga, PROPN 
C21, PROPN 
=, ADP 
1.985(12, NUM 
bridging, VERB 

, SPACE 
interaction, NOUN 
lithium, NOUN 
cation, NOUN 
lone, ADJ 
pair, NOUN 
electrons, NOUN 
amide, ADJ 
nitrogen, NOUN 
atoms, NOUN 
generates, VERB 
molecular, ADJ 
core, NOUN 

, SPACE 
planar, ADJ 
Ga, PROPN 
Nl, PROPN 
Li, PROPN 
N2, PROPN 
distorted, VERB 
square, ADJ 
Nl, PROPN 
Gal, PROPN 
N2, PROPN 
94.4, NUM 
Gal, PROPN 
N2, PROPN 
Lil, PROPN 
86.2, NUM 
Nl, PROPN 
Lil, PROPN 
N2, PROPN 
92.2, NUM 
Gal, PROPN 
Nl, PROPN 
Lil, PROPN 
87.1, NUM 

, SPACE 
Keywords, PROPN 
Gallium, PROPN 
Amines, PROPN 
Alkyls, PROPN 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
motivation, NOUN 
preparation, NOUN 
compounds, NOUN 
con-, VERB 

, SPACE 
taining, VERB 
gallium, NOUN 
indium, NOUN 
combination, NOUN 
Group, PROPN 

, SPACE 
15, NUM 
elements, NOUN 
N, PROPN 
P, NOUN 
stems, VERB 
largely, ADV 
appear-, ADJ 

, SPACE 
ance, NOUN 
elements, NOUN 
variety, NOUN 
electronic, ADJ 
materi-, NOUN 

, SPACE 
als, NOUN 
example, NOUN 
current, ADJ 
method, NOUN 
preparation, NOUN 

, SPACE 
GaN, PROPN 
films, NOUN 
potentially, ADV 
important, ADJ 
wide, ADJ 
band, NOUN 
gap, NOUN 
semi-, ADJ 

, SPACE 
conductor, NOUN 
relies, VERB 
reaction, NOUN 
trialkyl, PROPN 
gallium, NOUN 

, SPACE 
ammonia, NOUN 
eliminate, VERB 
equivalents, NOUN 
alkane, NOUN 

, SPACE 
form, VERB 
solid, ADJ 
film, NOUN 
l-3, PROPN 
addition, NOUN 
primary, ADJ 
amido, NOUN 

, SPACE 
complexes, NOUN 
aluminum, NOUN 
gallium, NOUN 
received, VERB 

, SPACE 
recent, ADJ 
attention, NOUN 
potential, ADJ 
sources, NOUN 
imido, ADJ 
alanes, NOUN 

, SPACE 
gallanes, NOUN 
elimination, NOUN 
alkanes, NOUN 
4, NUM 
l, NOUN 
l, NOUN 
ten-, NOUN 

, SPACE 
dency, NOUN 
Group, PROPN 
13, NUM 
amido, NOUN 
complexes, NOUN 
oligomerize, VERB 

, SPACE 
increase, VERB 
coordination, NOUN 
metal, NOUN 

, SPACE 
nitrogen, NOUN 
observed, VERB 
aluminum, NOUN 

, SPACE 
gallium, NOUN 
expected, VERB 
manifest, VERB 
imido, NOUN 

, SPACE 
complexes, NOUN 
metals, NOUN 
aggregation, NOUN 

, SPACE 
Corresponding, VERB 
author, NOUN 
species, PROPN 
divulge, VERB 
useful, ADJ 
information, NOUN 
mech-, PROPN 

, SPACE 
anism, NOUN 
formation, NOUN 
GaN, PROPN 
molecular, ADJ 
precursors, NOUN 

, SPACE 
facts, NOUN 
mind, NOUN 
focused, VERB 

, SPACE 
preparation, NOUN 
alkyl, PROPN 
gallium, PROPN 
amido, NOUN 
compounds, VERB 
bearing, VERB 

, SPACE 
primary, ADJ 
amido, NOUN 
groups, NOUN 
steric, ADJ 
effects, NOUN 
likely, ADJ 

, SPACE 
play, VERB 
important, ADJ 
role, NOUN 
level, NOUN 
aggregation, NOUN 

, SPACE 
species, NOUN 
chosen, VERB 
alkyl, ADJ 
groups, NOUN 
Bu, PROPN 

, SPACE 
Bu, PROPN 
amido, NOUN 
groups, NOUN 
BuNH, PROPN 
2,6-, NUM 

, SPACE 
C, PROPN 
H,]NH, PROPN 
intermediate, ADJ 
steric, ADJ 
bulk, NOUN 
report, VERB 

, SPACE 
synthesis, NOUN 
characterization, NOUN 
series, NOUN 
primary, ADJ 

, SPACE 
amido, NOUN 
gallium, PROPN 
alkyl, PROPN 
complexes, NOUN 
includes, VERB 
base, NOUN 
free, ADJ 

, SPACE 
dimer, NOUN 
Bu, PROPN 
Ga, PROPN 
E.L, PROPN 
N(H)‘Bu, PROPN 
11, NUM 
Lewis, PROPN 
base, NOUN 
stabi-, NUM 

, SPACE 
lized, VERB 
monomeric, NOUN 
complexes, NOUN 
Bu, PROPN 
Ga(N(H)‘Bu)(THF, PROPN 

, SPACE 
2, NUM 
Bu, PROPN 
Ga[NH(2,6, PROPN 
C, PROPN 
H,)lpy, NOUN 
3, NUM 
an-, ADJ 

, SPACE 
ionic, ADJ 
complex, NOUN 
Bu, PROPN 
Ga(NH(2,6, PROPN 
C, PROPN 
HJ]JLi(Et, PROPN 
O, PROPN 

, SPACE 
4, NUM 

, SPACE 
effort, NOUN 
control, VERB 
product, NOUN 
distribution, NOUN 

, SPACE 
synthetic, ADJ 
strategy, NOUN 
based, VERB 
metathetical, ADJ 
reaction, NOUN 

, SPACE 
R, PROPN 
GaCl, PROPN 
precursors, NOUN 
lithium, NOUN 
salt, NOUN 
primary, ADJ 

, SPACE 
amines, NOUN 
direct, ADJ 
reaction, NOUN 
gallium, NOUN 
alkyls, NOUN 

, SPACE 
amines, NOUN 
3, NUM 
91, NUM 
reaction, NOUN 
Bu, PROPN 
GaCl, PROPN 
12, NUM 

, SPACE 
LiN(H)‘Bu, PROPN 
resulted, VERB 
isolation, NOUN 
1, NUM 
colorless, ADJ 

, SPACE 
0022, NUM 
328X/96/$15.00, NUM 
6, NUM 
1996, NUM 
Elsevier, ADJ 
Science, PROPN 
S.A., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
SD1, PROPN 
0022, NUM 
328X(95)05891, NUM 
5, NUM 

, SPACE 
104, NUM 
S.T., PROPN 
Barry, PROPN 
D.S., PROPN 
Richeson, PROPN 
/Journal, PROPN 
Organomerallic, PROPN 
Chemistry, PROPN 
510, NUM 
1996, NUM 
103, NUM 
108, NUM 

, SPACE 
crystals, NOUN 
49, NUM 
