ELSEVIER, PROPN 
Journal, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
512, NUM 
1996, NUM 
45, NUM 
50, NUM 
Journal, PROPN 
ofOrgano, PROPN 
metalliC, PROPN 
Chemistry, PROPN 

, SPACE 
Aqueous, ADJ 
organometallic, ADJ 
chemistry, NOUN 

, SPACE 
mechanism, NOUN 
catalytic, ADJ 
hydrogenations, NOUN 

, SPACE 
chlorotris(1,3,5, PROPN 
triaza-7, NOUN 
phosphaadamantane, NOUN 
rhodium(I, PROPN 

, SPACE 
Ferenc, PROPN 
Jo6, PROPN 
a., PROPN 
Levente, PROPN 
N, PROPN 
~, PROPN 
dasdi, VERB 
Attila, PROPN 
Cs, PROPN 
B6nyei, PROPN 
Donald, PROPN 
J., PROPN 
Darensbourg, PROPN 

, SPACE 
Institute, PROPN 
Physical, PROPN 
Chemistry, PROPN 
Lajos, PROPN 
Kossuth, PROPN 
University, PROPN 
Debrecen, PROPN 
H-4010, NOUN 
Hungary, PROPN 

, SPACE 
b, PROPN 
Department, PROPN 
Chemistry, PROPN 
Texas, PROPN 
M, PROPN 
University, PROPN 
College, PROPN 
Station, PROPN 
TX, PROPN 
77843, NUM 
USA, PROPN 

, SPACE 
Received, VERB 
22, NUM 
1995, NUM 
revised, VERB 
form, NOUN 
11, NUM 
September, PROPN 
1995, NUM 

, SPACE 
Abstract, ADJ 

, SPACE 
water, NOUN 
soluble, ADJ 
phosphine, NOUN 
complex, NOUN 
Rh(I, PROPN 
RhCI(PTA, PROPN 
3, NUM 
1, X 
shown, VERB 
active, ADJ 
catalyst, NOUN 
hydrogenation, NOUN 

, SPACE 
olefinic, ADJ 
oxo, ADJ 
acids, NOUN 
allyl, PROPN 
alcohol, NOUN 
4, NUM 
sulfostyrene, NOUN 
aqueous, ADJ 
solution, NOUN 
mild, ADJ 
conditions, NOUN 
Detailed, ADJ 
kinetic, NOUN 

, SPACE 
investigations, NOUN 
carried, VERB 
crotonic, ADJ 
acid, NOUN 
allyl, VERB 
alcohol, NOUN 
substrates, NOUN 
rate, NOUN 
hydrogenation, NOUN 
compounds, NOUN 
showed, VERB 

, SPACE 
sharp, ADJ 
maximum, NOUN 
function, NOUN 
pH, NUM 
4.7, NUM 
Hydrogenation, NOUN 
itaconic, ADJ 
crotonic, ADJ 
