o~.41ourna, PUNCT 
l, PROPN 

, SPACE 
~, PUNCT 
mR'~t, NOUN 
~, VERB 
c, VERB 
~nemistry, PROPN 
ELSEVIER, PROPN 
Journal, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
514, NUM 
1996, NUM 
13, NUM 
21, NUM 

, SPACE 
Photoinduced, VERB 
rearrangements, NOUN 
ring, NOUN 
coupled, VERB 

, SPACE 
bis(cyclopcntadienylrutheniumdicarbonyl, ADJ 
compounds, NOUN 
form, NOUN 

, SPACE 
Ru2(CO, PROPN 
4, NUM 
~/5, PROPN 
~/s, PROPN 
C, NOUN 
5, NUM 
H, NOUN 
4LCsH, NUM 
4, NUM 
L, NOUN 
=, NOUN 
CH, PROPN 
2-, PROPN 
CH, PROPN 
3, NUM 
2, NUM 
C-, PROPN 

, SPACE 
C2H, PROPN 
4-, PROPN 
CH, PROPN 
2Si-, NUM 

, SPACE 
molecular, ADJ 
structure, NOUN 

, SPACE 
Ru(CO, X 
2][Ru(CO, PROPN 
2C1, NUM 
~-/s,,05:,0m, PROPN 
csn4en2c, NOUN 
~, PUNCT 
n3, PROPN 

, SPACE 
Thomas, PROPN 
E., PROPN 
Bitterwolf, PROPN 
a., NOUN 
Joyce, PROPN 
E., PROPN 
Shade, PROPN 
b, PROPN 
Julic, PROPN 
A., PROPN 
Hansen, PROPN 
b, PROPN 
Arnold, PROPN 
L., PROPN 
Rheingold, PROPN 
~, PUNCT 

, SPACE 
Department, PROPN 
Chemi.~try, PROPN 
University, PROPN 
Idaho, PROPN 
Moscow, PROPN 
ID, PROPN 
83844, NUM 
2343, NUM 
USA, PROPN 

, SPACE 
b, PROPN 
Department, PROPN 
ofChernistry, NOUN 
U.S., PROPN 
Naval, PROPN 
Academy, PROPN 
Annapolis, PROPN 
MD, PROPN 
21402, NUM 
5026, NUM 
US4, PROPN 

, SPACE 
c, NOUN 
Departmem, PROPN 
Chemistry, PROPN 
Bim'hcmistry, PROPN 
University, PROPN 
Delaware, PROPN 
Newark, PROPN 
DE, PROPN 
19716, NUM 
USA, PROPN 

, SPACE 
Received, VERB 
27, NUM 
January, PROPN 
1995, NUM 
revised, VERB 
form, NOUN 
13, NUM 
October, PROPN 
1995, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
Compounds, PROPN 
general, ADJ 
form, NOUN 
Ru2(CO)4('qs,~'~-C, X 
~, PUNCT 
H4LCsH4, NOUN 
L, PROPN 
CH2-, PROPN 
CH02C-, ADV 
C2H4-, PROPN 
CH3)2Si, PROPN 

, SPACE 
found, VERB 
undergo, VERB 
photolysis, NOUN 
deuterobenzene, NOUN 
deuterotoluene, NOUN 
twisted, VERB 
ruthenium, NOUN 
hydride, NOUN 
complexes, NOUN 
form, NOUN 

, SPACE 
Ru(CO),][Ru(CO)2H]('r, PROPN 
s,'q'~:'oi, PROPN 
CsH4LC.~H.0, PROPN 
Reaction, NOUN 
hydrides, NOUN 
chlorocarbons, NOUN 
resulted, VERB 
formation, NOUN 

, SPACE 
corresponding, VERB 
chlorides, NOUN 
isolated, VERB 
characterized, VERB 
IR, PROPN 
S, PROPN 
H, PROPN 
Z'~C, PROPN 
NMR, PROPN 
mass, NOUN 
spectrometry, NOUN 
elemental, ADJ 
analysis, NOUN 

, SPACE 
particular, ADJ 
case, NOUN 
Ru:(CO)4['Os, PROPN 
v, PROPN 
S, PROPN 
CsH4(CH.02SiC, PROPN 
~, PROPN 
H4, PROPN 
secondary, ADJ 
photochemical, ADJ 
reaction, NOUN 
occurs, VERB 
formation, NOUN 

, SPACE 
Ru(CO)2]:(/~-v/'~:~, PROPN 
s, PROPN 
CsH4, ADJ 
p,-(CH.02Si-(~'LC.~H, NUM 
4, NUM 
Ru, PROPN 
Ru, PROPN 
Cp, PROPN 
Si, PROPN 
bonds, NOUN 
broken, VERB 
new, ADJ 
Ru, PROPN 
=, ADJ 
Cp, PROPN 
Ru, PROPN 
=, PROPN 
Si, PROPN 

, SPACE 
bonds, NOUN 
formed~, PROPN 
molecular, ADJ 
structure, NOUN 
Ru(CO)~][Ru(CO):CI](~s, ADJ 
qs:'01, ADJ 
C, NOUN 
~, NOUN 
H4?H2C, X 
~, NOUN 
H, PROPN 
~, PUNCT 
determined, VERB 
X, NOUN 
ray, NOUN 
crystallography, NOUN 

, SPACE 
monoclinic, ADJ 
Cc, PROPN 
2"/.636(5, PROPN 
~, PUNCT 
b, X 
9.058(2, NUM 
~, PUNCT 
c-, PROPN 
14.545(5, NOUN 
~, PUNCT 
fl, ADV 
120.85(3, NUM 
V-, PROPN 
3126(2, PROPN 
.~'~, PROPN 
Z, PROPN 
8, PROPN 
R(F, PROPN 
2.29, NUM 

, SPACE 
Key, PROPN 
~, PROPN 
wrd,~, PROPN 
Ruthenium, PROPN 
Silicon, PROPN 
Cyclopentadienyls, PROPN 
Photochemistry, PROPN 
Metal, PROPN 
carbonyl, NOUN 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
Photolysis, PROPN 
Ru2(CO)4(v, SYM 
S, PROPN 
C.~H02, PROPN 
1, NUM 
solution, NOUN 

, SPACE 
known, VERB 
proceed, VERB 
radical, ADJ 
carbonyl, NOUN 
loss, NOUN 

, SPACE 
mechanisms, NOUN 
Photolysis, NOUN 
presence, NOUN 
CCl4, X 

, SPACE 
ICsHIt, NOUN 
yields, VERB 
Ru(CO)2, PROPN 
X(vrLC, PROPN 
~, PUNCT 
H.~, PROPN 
X, NOUN 
CI, PROPN 

, SPACE 
respectively, ADV 
1, NUM 
Eisenstadt, PROPN 
et, PROPN 
al, PROPN 
2, X 
adapted, VERB 

, SPACE 
reaction, NOUN 
high, ADJ 
yield, NOUN 
synthesis, NOUN 
Ru(CO).,X(~, VERB 
5-, PROPN 

, SPACE 
C, NOUN 
~, PUNCT 
Hs, NOUN 
X, PROPN 
=, NOUN 
Cl, PROPN 
Br, PROPN 
photolysis, NOUN 
1, NUM 

, SPACE 
CX4, PROPN 
Photolyses, VERB 
low, ADJ 
temperature, NOUN 
matrices, NOUN 

, SPACE 
demonstrated, VERB 
carbonyl, NOUN 
loss, NOUN 
results, NOUN 
formation, NOUN 

, SPACE 
linear, PROPN 
Ru2(/z, PROPN 
CO).~(v/5, PROPN 
C, PROPN 
~, NOUN 
H.~, PROPN 
3, X 
analogous, ADJ 

, SPACE 
triply, ADV 
carbonyl, NOUN 
bridged, VERB 
iron, NOUN 
compound, NOUN 
oh-, X 

, SPACE 
Corresponding, PROPN 
author, NOUN 

, SPACE 
memory, NOUN 
Professor, PROPN 
Alan, PROPN 
Campbell, PROPN 
Ling, PROPN 
1940, NUM 
1995, NUM 
Men-, INTJ 

, SPACE 
tor, NOUN 
friend, NOUN 

, SPACE 
0022, NUM 
328X/96/$15.00, NUM 
©, NOUN 
1996, NUM 
Elsevier, ADJ 
Science, PROPN 
S.A., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
SSD, PROPN 
0022, NUM 
328X(95)060, NUM 
8, NUM 
9, NUM 
served, VERB 
solution, NOUN 
low, ADJ 
temperature, NOUN 
matri-, NOUN 

, SPACE 
ces, NOUN 
4, NUM 
Wrighton, PROPN 
coworkers, NOUN 
5, X 
reported, VERB 

, SPACE 
molecular, ADJ 
s, NOUN 
ucture, ADJ 
Fe2, NOUN 
~-CO).~[T/'LC~(CH~)5]2, PRON 

, SPACE 
Knox, PROPN 
coworkers, NOUN 
6, NUM 
reported, VERB 
extended, VERB 

, SPACE 
photolysis, NOUN 
solution, NOUN 
yields, VERB 
tetraruthenium, NOUN 
com-, NOUN 

, SPACE 
plex, NOUN 
ll, AUX 

, SPACE 
reported, VERB 
synthesis, NOUN 
ring, NOUN 
coupled, VERB 

, SPACE 
derivatives, NOUN 
reaction, NOUN 
TI2(C, PROPN 
~, PUNCT 
H4LC, PROPN 
~, NOUN 
H, PROPN 
4, NUM 

, SPACE 
CI2Ru(CO).~, X 
2, NUM 
Ru2(CO)4('r/5,'0"~-C, NOUN 
~, NOUN 
H'4LC.~H, PROPN 
4, NUM 

, SPACE 
L, PROPN 
CH, PROPN 
2, NUM 
7a, NUM 
I1, PROPN 
CH.~)2C-, PROPN 
7b, NUM 
IV, PROPN 
C2H, PROPN 
4-, X 

, SPACE 
7hi, ADJ 
V, PROPN 
CH.~)2Si-, NOUN 
7b, NOUN 
VI, PROPN 
Knox, PROPN 
et, NOUN 
ai, VERB 
8, X 
re-, ADP 

, SPACE 
ported, VERB 
alternate, ADJ 
synthesis, NOUN 
Ill, PROPN 
reaction, NOUN 

, SPACE 
neutral, ADJ 
bis(cyclopentadiene)methane, NUM 
ligand, NOUN 

, SPACE 
Ru, PROPN 
3(CO)12, PROPN 
Photolysis, NOUN 
Ill, PROPN 
frozen, ADJ 
gas, NOUN 
matrices, NOUN 
Ar, PROPN 

, SPACE 
CH, PROPN 
4, NUM 
leads, VERB 
fotTnation, NOUN 
asymmetric, ADJ 

, SPACE 
carbonyl, NOUN 
loss, NOUN 
product, NOUN 
Ru,(CO)3(r/5,~5, PROPN 
C.~H4CH, PROPN 
2C.~, NOUN 

, SPACE 
H4, PROPN 
carbonyi, NOUN 
groups, NOUN 
terminal, ADJ 
3, NUM 


, SPACE 
14, NUM 
T.£., PROPN 
Bittcr, PROPN 
~, VERB 
f, PROPN 
et, PROPN 
al, PROPN 
/Journal, PROPN 
Orgam, PROPN 
~, NOUN 
netalfic, ADJ 
Chemistry, PROPN 
514, NUM 
0996, NUM 
13, NUM 
21, NUM 

, SPACE 
Knox, PROPN 
et, PROPN 
al, PROPN 
8, X 
photolyzed, VERB 
ili, NOUN 
presence, NOUN 

, SPACE 
Ph2C, PROPN 
z, PROPN 
isolated, ADJ 
Ru2(CO)2(/.t, PROPN 
CO)(/z, NUM 
o-:o-'-, NOUN 

, SPACE 
PhsCzX, X 
~, PROPN 
Isols, PROPN 
CsH4CH2CsH4, PROPN 
course, NOUN 

, SPACE 
studies, NOUN 
photolysis, NOUN 
I11, NOUN 
Ph2C, PROPN 
2, NUM 

, SPACE 
consistently, ADV 
observed, VERB 
additional, ADJ 
trace, NOUN 
orange, NOUN 
product, NOUN 

, SPACE 
chromatographic, ADJ 
workup, NOUN 
reaction, NOUN 
mixture, NOUN 

, SPACE 
Subsequent, ADJ 
analysis, NOUN 
product, NOUN 
established, VERB 

, SPACE 
contain, VERB 
Ph2C, NOUN 
2, NUM 
moiety, NOUN 
prompted, VERB 

, SPACE 
examine, VERB 
solution, NOUN 
photolysis, NOUN 
Ill, PROPN 
VI, PROPN 
ab-, ADJ 

, SPACE 
sence, NOUN 
potential, ADJ 
ligands, NOUN 
paper, NOUN 
describes, VERB 

, SPACE 
results, NOUN 
studies, NOUN 
photoinduced, ADJ 
structural, ADJ 

, SPACE 
reorganization, NOUN 
ring, NOUN 
coupled, VERB 
ruthenium, NOUN 
compounds, NOUN 

, SPACE 
discussion, NOUN 
detailed, ADJ 
photochemistry, NOUN 
possible, ADJ 

, SPACE 
mechanism, NOUN 
reaction, NOUN 
reported, VERB 

, SPACE 
9, NUM 
J, PROPN 
RU, PROPN 
------~--, PROPN 

, SPACE 
o, NOUN 
c, NOUN 

, SPACE 
c, NOUN 

, SPACE 
0, X 
L, PROPN 

, SPACE 
Ru, PROPN 

, SPACE 
~, PUNCT 
.,i, PUNCT 
CO, PROPN 

, SPACE 
C, PROPN 

, SPACE 
o, NOUN 

, SPACE 
m, VERB 
L, PROPN 
=, PROPN 
CH2, PROPN 

, SPACE 
IV, PROPN 
L, PROPN 
ffi, NOUN 
C(CH~, PROPN 

, SPACE 
V, PROPN 
L, PROPN 
-C, PROPN 
~, PUNCT 
H, PROPN 

, SPACE 
v, PROPN 
L-, PROPN 
SI(CH~, PROPN 

, SPACE 
2, X 
Results, NOUN 

, SPACE 
syntheses, NOUN 
Ru2(CO)4('r, PROPN 
s,'qS, NOUN 
CsH4LCsH4, PROPN 

, SPACE 
L, PROPN 
CH2-, NOUN 
1, X 
CH3)2C-, X 
IV, PROPN 
C2H4-, PROPN 
V, PROPN 

, SPACE 
CH3)2Si-, PROPN 
VI, PROPN 
recently, ADV 
described, VERB 
7, NUM 
IR, PROPN 

, SPACE 
studies, NOUN 
compounds, NOUN 
established, VERB 
ill, ADJ 
8, NUM 

, SPACE 
IV, PROPN 
7a, PROPN 
solution, NOUN 
state, NOUN 
structures, NOUN 

, SPACE 
carbonyl, NOUN 
groups, NOUN 
terminal, ADJ 
V, NOUN 
V, PROPN 
prefer, VERB 

, SPACE 
conformations, NOUN 
carbonyl, NOUN 
groups, NOUN 

, SPACE 
bridging, VERB 
Molecular, ADJ 
structures, NOUN 
ili, NOUN 
V, NOUN 
confirm, VERB 

, SPACE 
structural, ADJ 
preferences, NOUN 
continue, VERB 
solid, ADJ 
state, NOUN 

, SPACE 
I:~C, PRON 
NMR, PROPN 
ill, ADJ 
V, NOUN 
established, VERB 
rapid, ADJ 
averaging, NOUN 

, SPACE 
carbonyl, NOUN 
groups, NOUN 
occurs, VERB 
room, NOUN 
temperature, NOUN 
indicating, VERB 

, SPACE 
transient, ADJ 
bridging, NOUN 
carbonyl, NOUN 
forms, NOUN 
exist, VERB 
cases, NOUN 

, SPACE 
Photolysis, NOUN 
thoroughly, ADV 
