oFOUr, NUM 
 
, SPACE 
ELSEVIER, PROPN 
Journal, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
514, NUM 
996, NUM 
219, NUM 
226, NUM 

, SPACE 
Synthesis, PROPN 
structure, NOUN 
titanium(HI, NOUN 
tweezer, NOUN 
complexes, NOUN 

, SPACE 
embedded, VERB 
alkali, ADJ 
metal, NOUN 
ions, NOUN 
r/5, NOUN 
CsHMe4, NOUN 
2Ti(r/, NUM 
-C, PROPN 
fSiMe3, PROPN 
2]-M, NUM 
+, CCONJ 

, SPACE 
M, PROPN 
=, SYM 
Li, PROPN 
Na, PROPN 
K, PROPN 
Cs, PROPN 

, SPACE 
Vojtech, PROPN 
Varga, PROPN 
J6rg, NOUN 
Hiller, PROPN 
b, PROPN 
Miroslav, PROPN 
Pol~§ek, NOUN 
Ulf, PROPN 
Thew, PROPN 
~, PUNCT 
t, PROPN 
b, PROPN 
Karel, PROPN 
Mach, PROPN 

, SPACE 
j., PROPN 
Heyrovsk~, PROPN 
Institute, PROPN 
Physical, PROPN 
Chemistry, PROPN 
Academy, PROPN 
Sciences, PROPN 
Czech, PROPN 
Republic, PROPN 
Dolefikova, PROPN 
3, NUM 
182, NUM 
23, NUM 
Prague, PROPN 
8, NUM 
Czech, PROPN 
Republic, PROPN 

, SPACE 
b, PRON 
Sektlonf, PROPN 
~, VERB 
r, PROPN 
RiJntgen-, PROPN 
und, VERB 
Elektronenbeugung, PROPN 
Universitiit, PROPN 
UIm, NOUN 
D.89069, PROPN 
Uim, PROPN 
Germany, PROPN 

, SPACE 
Received, VERB 
18, NUM 
September, PROPN 
1995, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
Complexes, PROPN 
~s, PROPN 
CsHMe4)2Ti(T, PROPN 
t, PROPN 
C, PROPN 
ffiCSiMe3)2]-M+, PROPN 
M, PROPN 
Li, PROPN 
2, NUM 
Na, PROPN 
3, NUM 
K, PROPN 
4, NUM 
Cs, ADJ 
$, SYM 
prepared, VERB 
redox, ADJ 
reaction, NOUN 

, SPACE 
qS, PROPN 
CsHMe4)2Ti('rf, PROPN 
C, PROPN 
CSiMe3)2, PROPN 
1, NUM 
alkali, ADJ 
metals, NOUN 
toluene, NOUN 
X, NOUN 
ray, NOUN 
crystal, NOUN 
analysis, NOUN 
4, NUM 
monoclinic, ADJ 
P2t, PROPN 
c, PROPN 

, SPACE 
=, PROPN 
10.888(3, PROPN 
b, X 
18.047(8, PROPN 
c, PROPN 
16.562(3, PROPN 
~,,/3, NOUN 
104.10(2, NUM 
°, NOUN 
Z, PROPN 
4, PROPN 
revealed, VERB 
tweezer, NOUN 
structure, NOUN 
potassium, NOUN 
cation, NOUN 
embedded, VERB 

, SPACE 
trimethylsilylacetylide, NOUN 
tweezer, NOUN 
arms, NOUN 
position, NOUN 
slightly, ADV 
closer, ADJ 
inner, ADJ 
acetylide, ADJ 
carbon, NOUN 
atoms, NOUN 
2.946(4, NUM 

, SPACE 
2.949(4, PROPN 
~, PUNCT 
outer, ADJ 
ones, NOUN 
3.021(4, NUM 
2.961(4, NUM 
~, PUNCT 
K, PROPN 
+, CCONJ 
ion, NOUN 
simultaneously, ADV 
binds, VERB 
CsHMe4, ADJ 
ligand, NOUN 
adjacent, ADJ 

, SPACE 
molecule, NOUN 
K, PROPN 
centroid, NOUN 
distance, NOUN 
3.186(5, NUM 
~, PUNCT 
forming, VERB 
polymer, NOUN 
chain, NOUN 
arrangement, NOUN 
molecular, ADJ 
units, NOUN 
complexes, NOUN 
2-$, ADP 

, SPACE 
afford, VERB 
characteristic, ADJ 
EPR, PROPN 
spectra, PROPN 
g--, NOUN 
1.9924, NUM 
1.9935, NUM 
AH-2.0, PROPN 
2.4, NUM 
G, PROPN 
arj-7.8, NOUN 
8.4, NUM 
G, NOUN 
IR, PROPN 
~,(C, PROPN 
C, PROPN 
1935, NUM 
1948, NUM 
cm, NOUN 
-I, PROPN 

, SPACE 
UV, NOUN 
vis, X 
spectra, NOUN 
CT, PROPN 
bands, NOUN 
region, NOUN 
355, NUM 
390, NUM 
nm, NOUN 
molecular, ADJ 
ions, NOUN 
2-$, NUM 
observed, VERB 
E, PROPN 
mass, PROPN 
spectra, PROPN 

, SPACE 
Keywords, PROPN 
Titanium(Ill, PROPN 
Titanium, NOUN 
tweezer, NOUN 
Alkali, PROPN 
metal, NOUN 
ions, NOUN 
X.ray, PROPN 
structure, NOUN 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
titanocene, NOUN 
Ti(lll, NOUN 
tweezer, PROPN 
complex, PROPN 
~s, PROPN 

, SPACE 
Cs, ADJ 
HMe4)2Ti(~, ADJ 
CRCSiMe~)2, NOUN 
~, PUNCT 
Mg(THF)CI, X 
+, CCONJ 

, SPACE 
obtained, VERB 
cleavage, NOUN 
1,4, NUM 
bis(trimethylsilyi)-, NOUN 

, SPACE 
buta-, NOUN 
1,3, NUM 
diyne, NOUN 
Cs, ADJ 
HMe4)2, PUNCT 
TiCI, PROPN 
2, NUM 
Mg, PROPN 
THF, PROPN 
sys-, NOUN 

, SPACE 
tem, NOUN 
Permethylated, ADJ 
titanocene, NOUN 
magnesium, NOUN 
tweezer, NOUN 

, SPACE 
complexes, NOUN 
type, NOUN 
found, VERB 
catalyst, NOUN 

, SPACE 
intermediates, NOUN 
known, VERB 
head, NOUN 
tail, NOUN 
dimeriza-, NOUN 

, SPACE 
tion, NOUN 
alkynes, NOUN 
2, NUM 
Recently, ADV 
alkali, ADJ 
metal, NOUN 

, SPACE 
Ti(lll, NOUN 
tweezer, PROPN 
complex, PROPN 
~S, PROPN 
CsHMe4)2Ti(T, X 
I-, PROPN 

, SPACE 
Cffi, PROPN 
CC, PROPN 
=, PROPN 
SiMe3)2]-[Li(THF, PROPN 
2]+, PROPN 
synthesized, VERB 

, SPACE 
CsHMe4)2TiC, NOUN 
adding, VERB 
equivalents, NOUN 

, SPACE 
LiCtCCDCSiMe3, PROPN 
THF, PROPN 
solution, NOUN 
3, NUM 
Li, PROPN 
+, PROPN 
ion, NOUN 

, SPACE 
coordinating, VERB 
molecules, NOUN 
THF, PROPN 
situated, VERB 
close, ADJ 

, SPACE 
inner, ADJ 
carbon, NOUN 
atoms, NOUN 
inner, ADJ 
pair, NOUN 
triple, ADJ 

, SPACE 
bonds, NOUN 
Alkali, ADJ 
metal, NOUN 
tweezer, NOUN 
complexes, NOUN 
stnxctural, ADJ 

, SPACE 
type, NOUN 
far, ADV 
described, VERB 
permethylmetal-, NOUN 

, SPACE 
locene, NOUN 
derivatives, NOUN 
lanthanide, ADJ 
elements, NOUN 
Y, PROPN 
4, NUM 
Sm, PROPN 
Nd, PROPN 

, SPACE 
Corresponding, PROPN 
author, NOUN 

, SPACE 
0022, NUM 
328X/96/$15.00, NUM 
©, NOUN 
1996, NUM 
Elsevier, ADJ 
Science, PROPN 
S.A., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
SSDI, PROPN 
0022, NUM 
328X(95)06041, NUM 
3, NUM 
Ce, PROPN 
5, NUM 
mentioned, VERB 
large, ADJ 

, SPACE 
number, NOUN 
titanocene, PROPN 
Ti(IV, PROPN 
tweezer, NOUN 
complexes, NOUN 

, SPACE 
alkali, ADJ 
metal, NOUN 
complexes, NOUN 
far, ADV 
reported, VERB 
6, NUM 

, SPACE 
complexes, NOUN 
embedded, VERB 
Group, PROPN 
B, PROPN 
met-, PRON 

, SPACE 
als, NOUN 
Cu, PROPN 
7,8, NUM 
Ag, PROPN 
9, X 
known, VERB 

, SPACE 
report, VERB 
synthesis, NOUN 
alkali, ADJ 
metal, NOUN 
Ti(lll, NOUN 

, SPACE 
tweezer, NOUN 
complexes, NOUN 
~/s, PROPN 
CsHMe4)2Ti(y, ADJ 
CmCSi-, PROPN 

, SPACE 
Me3)2]-M, PROPN 
+, CCONJ 
M,=Li, PROPN 
Na, PROPN 
K, PROPN 
Cs, PROPN 
Ti(IV, PROPN 

, SPACE 
diacetylide, NOUN 
~/S, ADJ 
CsHMe4)2Ti(~lt, NOUN 
CmCSiMe3, PROPN 
2, NUM 

, SPACE 
alkali, ADJ 
metals, NOUN 
toluene, NOUN 
THF, PROPN 
crystal, NOUN 
structure, NOUN 

, SPACE 
potassium.containing, VERB 
complex, NOUN 

, SPACE 
2, X 
Experimental, ADJ 
details, NOUN 

, SPACE 
manipulations, NOUN 
reagents, NOUN 
synthesis, NOUN 

, SPACE 
spectroscopic, NOUN 
measurements, NOUN 
carried, VERB 

, SPACE 
vacuum, NOUN 
sealed, VERB 
glass, NOUN 
devices, NOUN 

, SPACE 
equipped, VERB 
breakable, ADJ 
seals, NOUN 
adjustment, NOUN 
single, ADJ 

, SPACE 
crystals, NOUN 
capillaries, NOUN 
X, NOUN 
ray, NOUN 
analysis, NOUN 
preparation, NOUN 

, SPACE 
KBr, ADJ 
pellets, NOUN 
filling, NOUN 
infrared, PROPN 
cuvettes, NOUN 

, SPACE 
performed, VERB 
atmosphere, NOUN 
purified, ADJ 
nitrogen, NOUN 

, SPACE 
argon, NOUN 


, SPACE 
220, NUM 
V., PROPN 
V, NOUN 
~, NOUN 
Ra, PROPN 
et, NOUN 
eL, NUM 
~, VERB 
Journal, PROPN 
c~, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
514, NUM 
1996, NUM 
219, NUM 
226, NUM 

, SPACE 
2.1, NUM 
Chemicals, NOUN 

, SPACE 
solvents, NOUN 
toluene, NOUN 
hexane, NOUN 
tetrahydrofuran, NOUN 
THF, PROPN 

, SPACE 
2, NUM 
methyltetrahydrofuran, NOUN 
MTHF, PROPN 
purified, VERB 

, SPACE 
conventional, ADJ 
methods, NOUN 
dried, VERB 
refluxing, VERB 
LiAIH4, PROPN 

, SPACE 
stored, VERB 
solutions, NOUN 
dimeric, ADJ 
