~.~Joum'al, PUNCT 

, SPACE 
oI, X 
~, NOUN 
rg~,q, PROPN 

, SPACE 
melaulc, PROPN 

, SPACE 
t_;nemistry, NOUN 

, SPACE 
ELSEVIER, PROPN 
Jounml, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
521, NUM 
996, NUM 
35, NUM 
354, PROPN 

, SPACE 
Ruthenium, PROPN 
catalyzed, VERB 
regioselective, ADJ 
step, NOUN 
growth, NOUN 
copolymerization, NOUN 

, SPACE 
3',4'-methylenedioxyacetophenone, NUM 
-dienes, NOUN 

, SPACE 
Guohong, PROPN 
Wang, PROPN 
Hongjie, PROPN 
Guo, PROPN 
William, PROPN 
P., PROPN 
Weber, PROPN 

, SPACE 
Donahi, PROPN 
P., PROPN 
aml, PROPN 
Kathcrine, PROPN 
B., PROPN 
Lokcr, PROPN 
Itydrocarbon, PROPN 
Research, PROPN 
Institute, PROPN 
Department, PROPN 
Chemistry, PROPN 
Univer,~iiy, PROPN 
Southern, PROPN 
Califi, PROPN 
~, NOUN 
rnia, PROPN 
Las, PROPN 
Angeh, PROPN 

, SPACE 
900~, PROPN 
1661, NUM 
USA, PROPN 

, SPACE 
Received, VERB 
28, NUM 
December, PROPN 
1995, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
Ruthenium, PROPN 
catalyzed, ADJ 
step, NOUN 
growth, NOUN 
copolymerization, NOUN 
3',4'-metl'lylenedioxyacetoplaenone, NUM 
t~.co, ADJ 
dienes, NOUN 
1,3, NUM 
divinyitetra-, VERB 

, SPACE 
methyldisiloxaae, PROPN 
3.3.6,6, PROPN 
tetr, PROPN 
nnethyl-3.6, PROPN 
disila, PROPN 
l.7, ADJ 
octadiene, NOUN 
high, ADJ 
molecular, ADJ 
weight, NOUN 
copoly(3,3,5,5, PROPN 
tetramethyi-4, NUM 
oxa-3.5, NOUN 
disila-, NOUN 

, SPACE 
1,7, PROPN 
heptanylene/2, NOUN 
aceto-4,5, NOUN 
methylenedioxy, NOUN 
l,3, PROPN 
phenylene, NOUN 
copoly(3.3,6.6, PROPN 
tetramethyl-3,6, NUM 
disila, PROPN 
l.8, PROPN 
octanylene/2, PROPN 
aceto-4.5, NOUN 
meth-, NOUN 

, SPACE 
ylenedioxy, NOUN 
1,3, NUM 
phenylene, NOUN 
respectively, ADV 
synthesis, NOUN 
characterization, NOUN 
copolymers, NOUN 
reported, VERB 

, SPACE 
Kcyword, PROPN 
w, PROPN 
Silicon, PROPN 
Ruthenium, PROPN 
Olefin, PROPN 
polymerization, NOUN 
Copolymerization, PROPN 

, SPACE 
I., PROPN 
Introduction, PROPN 

, SPACE 
Murat, PROPN 
cowotkcrs, NOUN 
1, NUM 
3, NUM 
rcpor|ed, VERB 
tlaat, PROPN 
dihy-, NOUN 

, SPACE 
th'idocarbonyl, PROPN 
tris, PROPN 
triplleny, PROPN 
Iphosphine)rulhcilium, X 
Ru, PROPN 

, SPACE 
catalyzes, VERB 
addition, NOUN 
ortho, PROPN 
carbonoohydrogcn, PROPN 

, SPACE 
bonds, NOUN 
acetophenone, NOUN 
carbon-~carbon, NOUN 
douo~, PROPN 

, SPACE 
ble, ADJ 
bonds, NOUN 
olefins, NOUN 
trimethylvinylsilane, NOUN 

, SPACE 
yield, VERB 
ortho, PROPN 
alkyl, PROPN 
subslituled, VERB 
acetophenones, NOUN 

, SPACE 
shown, VERB 
reaction, NOUN 
applied, VERB 
ad, NOUN 
leve, PROPN 

, SPACE 
step, NOUN 
growth, NOUN 
copolymerization, NOUN 
co, NOUN 
oligomerizatit, NOUN 
n, CCONJ 

, SPACE 
aromatic, ADJ 
ketones, NOUN 
co, NOUN 
dienes, NOUN 
4, NUM 
exawple, NOUN 

, SPACE 
reaction, NOUN 
divinyidimethyisii,'me, PROPN 
acetophenone, NOUN 
cat-, NOUN 

, SPACE 
alyzed, VERB 
Ru, PROPN 
150, NUM 
°, NUM 
C, NOUN 
yields, NOUN 
copoly(3,3, NOUN 
dimethyl-3-, PROPN 

, SPACE 
sila, PROPN 
l,5, NUM 
pentanylene/2, ADJ 
aceto, NOUN 
l,3, PROPN 
phenylene, NOUN 
Mw, PROPN 
M, PROPN 

, SPACE 
=, SYM 
35(X)/2430, NUM 
70, NUM 
yield, NOUN 
low, ADJ 
molecular, ADJ 
weight, NOUN 

, SPACE 
copolymer, NOUN 
unexpected, ADJ 
exact, ADJ 
stoi-, NOUN 

, SPACE 
chiometry, NOUN 
essential, ADJ 
achieve, VERB 
high, ADJ 
molecular, ADJ 
weights, NOUN 

, SPACE 
step, NOUN 
growth, NOUN 
copolymerization, NOUN 
reactions, NOUN 
occur, NOUN 
°, VERB 

, SPACE 
Corwsponding, VERB 
attlhor, NOUN 

, SPACE 
n, CCONJ 
Dedicated, ADJ 
Profi,'ssor, PROPN 
R.J.P., PROPN 
Corriu, PROPN 
recognition, NOUN 
out-, X 

, SPACE 
standing, VERB 
contributions, NOUN 
organosilicon, NOUN 
chemistry, NOUN 
general, ADJ 
a,~d, ADP 

, SPACE 
particular, ADJ 
work, NOUN 
elucidated, VERB 
reactivity, NOUN 
nature, NOUN 

, SPACE 
hypervalent, NOUN 
silicon, NOUN 

, SPACE 
0022, NUM 
328x/96/$15.00, NUM 
©, PROPN 
1996, NUM 
Elsevier, ADJ 
Science, PROPN 
S.A., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
Pll, PROPN 
S0022, PROPN 
328X(96)06236, NUM 
5, NUM 
rcnce, NOUN 
nlinor, NOUN 
unknown, ADJ 
reactions, NOUN 
dco, VERB 

, SPACE 
stroy, ADJ 
Ihc, PROPN 
required, VERB 
stoichiometric, NOUN 
balance, NOUN 
regard, NOUN 

, SPACE 
detected, VERB 
Si,~ethyl, PROPN 
end, VERB 
groups, NOUN 
NMR, PROPN 
analysis, NOUN 

, SPACE 
low, ADJ 
molccuhu, NOUN 
weight, NOUN 
coooligomers, NOUN 
prepared, VERB 
Rw, PROPN 

, SPACE 
catalyzed, VERB 
rcactkn, NOUN 
~, VERB 
s, X 
an|hron¢, PROPN 
|, NOUN 
°, NOUN 
hlOI'C|IOtlc, NOUN 

, SPACE 
xanthanone, NOUN 
~, NOUN 
dienes, NOUN 
5, NUM 
groups, NOUN 
couhl, VERB 

, SPACE 
arise, VERB 
hydrogenation, NOUN 
vinyl, NOUN 
group, NOUN 
bonded, VERB 

, SPACE 
silicon, NOUN 
r,~o, PROPN 
°, NUM 
diene, NOUN 
believe, VERB 
tile, NOUN 
source, NOUN 

, SPACE 
hydrosen, NOUN 
reduction, NOUN 
catalyst, NOUN 

, SPACE 
found, VERB 
addition, NOUN 
stoichiometric, ADJ 

, SPACE 
styrene, ADJ 
catalyst, NOUN 
prior, ADV 
addition, NOUN 

, SPACE 
mixture, NOUN 
acetophenone, NOUN 
ot, PROPN 
°, NUM 
diene, NOUN 
leads, VERB 

, SPACE 
quantitative, ADJ 
yield, NOUN 
ethylbenzene, NOUN 
significanlly, ADV 

, SPACE 
higher, ADJ 
molecular, ADJ 
weight, NOUN 
Mw, PROPN 
M, PROPN 
=, NOUN 
30(X)0/2(~IXX~, NOUN 

, SPACE 
higher, ADJ 
copolymers, NOUN 
6, NUM 
issue, NOUN 
molecular, ADJ 
weight, NOUN 

, SPACE 
particularly, ADV 
important, ADJ 
prol, NOUN 
~, NOUN 
rties, NOUN 
l, NOUN 
~, NOUN 
ly, X 
o, NOUN 

, SPACE 
mers, NOUN 
oligomers, NOUN 
change, VERB 
significantly, ADV 
mino, NOUN 

, SPACE 
imum, ADV 
molecular, ADJ 
weight, NOUN 
I0000, PROPN 
~chieved, VERB 

, SPACE 
explored, VERB 
effect, NOUN 
functional, ADJ 

, SPACE 
groups, NOUN 
type, NOUN 
step, NOUN 
growth, NOUN 
copolymerization, NOUN 

, SPACE 
Specifically, ADV 
can'ied, VERB 
successful, ADJ 
copolymcr-, NOUN 

, SPACE 
ization, NOUN 
acetophenones, NOUN 
bearing, VERB 
methoxy, PROPN 
phenoxy, NOUN 

, SPACE 
dialkyhunino, NOUN 
substituents, NOUN 
para, ADJ 
position, NOUN 

, SPACE 
7,8, NUM 
paper, NOUN 
refx, VERB 
~, PUNCT 
rt, PROPN 
successful, ADJ 
Ru, PROPN 
cata, NOUN 
o, NOUN 

, SPACE 
lyzed, VERB 
copolymerization, NOUN 
3',4'-methylenedioxyaceo, ADJ 


, SPACE 
352, NUM 
G., PROPN 
Wang, PROPN 
et, PROPN 
al, PROPN 
Journal, PROPN 
t~, NOUN 
Organometallic, PROPN 
Chemisoy, PROPN 
521, NUM 
1996, NUM 
351, NUM 
354, NUM 

, SPACE 
tophenone, NOUN 
1.3, NUM 
divinyltetramethyldisiloxane, NOUN 

, SPACE 
3.3,6,6, PROPN 
tetramethyl-3,6, NUM 
disila-, ADJ 
1,7, PROPN 
octadiene, NOUN 

, SPACE 
O, INTJ 

, SPACE 

, SPACE 
+, CCONJ 
~.~, NUM 
,i, PROPN 
S, PROPN 
i~, PROPN 
S, PROPN 
i., NOUN 
,,,--,,,~, PUNCT 

, SPACE 

, SPACE 
PPh3)aRuCO, PROPN 
2.2, NUM 
Thermogravimetric, ADJ 
analysis, NOUN 
TGA, PROPN 

, SPACE 
TGA, PROPN 
copolymers, NOUN 
carried, VERB 

, SPACE 
Perkin, PROPN 
Elmer, PROPN 
TGS-2, PROPN 
instrument, NOUN 
nitrogen, NOUN 
flow, NOUN 
rate, NOUN 

, SPACE 
40, NUM 
cc, NOUN 
min-, INTJ 
~., PUNCT 
temperature, NOUN 
program, NOUN 
analy-, PROPN 

, SPACE 
sis, NOUN 
50, NUM 
°, NUM 
C, NOUN 
10, NUM 
min, NOUN 
followed, VERB 
increase, NOUN 
4, NUM 
°, NOUN 
C, NOUN 

, SPACE 
min-~, NOUN 
