ELSEVIER, PROPN 
Journal, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
520, NUM 
1996, NUM 
231, NUM 
234, NUM 
Joumal, PROPN 
olorgang, NOUN 
IIlelalllC, X 

, SPACE 
claemistry, NOUN 

, SPACE 
N, PROPN 
Heterocyclic, PROPN 
carbenes, NOUN 
ligands, NOUN 
high, ADJ 
valent, NOUN 
molybdenum, NOUN 

, SPACE 
tungsten, VERB 
complexes, NOUN 
l, NOUN 

, SPACE 
Wolfgang, PROPN 
A., PROPN 
Herrmann, PROPN 
Gerhard, PROPN 
M., PROPN 
Lobmaier, PROPN 
Martina, PROPN 
Elison, PROPN 

, SPACE 
Anorganisch, PROPN 
chemisches, NOUN 
lnstitur, NOUN 
der, NOUN 
Technischen, PROPN 
Universiti, PROPN 
~, PROPN 
t, PROPN 
Miinchen, PROPN 
Lichtenbergsrrafle, PROPN 
4, NUM 
D-85747, PROPN 
Garching, PROPN 
b., PROPN 
Mibwhen, PROPN 
Germany, PROPN 

, SPACE 
Received, VERB 
27, NUM 
February, PROPN 
1996, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
Oxometal, PROPN 
complexes, NOUN 
molybdenum, NOUN 
tungsten, VERB 
high, ADJ 
oxidation, NOUN 
states, NOUN 
form, VERB 
stable, ADJ 
adducts, NOUN 
1,3, NUM 
dimethylimidazoline-2, NOUN 
ylidene, NOUN 

, SPACE 
L, PROPN 
1, NUM 
carbene, NOUN 
complexes, NOUN 
molybdenum(VI, PROPN 
MoO2CI(L)3]CI, PROPN 
3a, PROPN 
tungsten(VI, PROPN 
WO2CI2(L, PROPN 
2, NUM 
4b, PROPN 
reported, VERB 

, SPACE 
Key, ADJ 
~, PROPN 
twrds, NOUN 
Molybdenum(V1, PROPN 
Tungsten(Vl, NOUN 
lmidazol;ne-2, X 
ylidene, NOUN 
Heterocyclic, PROPN 
carbenes, VERB 

, SPACE 
1, NUM 
Introduction, NOUN 

, SPACE 
N, PROPN 
Heterocyclic, PROPN 
carbenes, NOUN 
derived, VERB 
imidazolium, NOUN 

, SPACE 
pyrazolium, NOUN 
salts, NOUN 
deprotonation, NOUN 
ate, VERB 
estab-, VERB 

, SPACE 
lished, VERB 
ligands, NOUN 
organometailic, ADJ 
chemistry, NOUN 

, SPACE 
