jouma, PROPN 
1, NUM 

, SPACE 
tmel, NOUN 
stry, NOUN 
ELSEVIER, PROPN 
Joumal, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
520, NUM 
996, NUM 
81-, X 
86, NUM 

, SPACE 
Supported, VERB 
transition, NOUN 
metal, NOUN 
catalysts, NOUN 
C, PROPN 
C, PROPN 
coupling, NOUN 
reaction, NOUN 

, SPACE 
ethene, PROPN 
diazoalkanes, VERB 

, SPACE 
M.E., PROPN 
Schneider, PROPN 
U., PROPN 
MiShring, PROPN 
H., PROPN 
Werner, PROPN 

, SPACE 
Institut, PROPN 
ffir, NOUN 
Anorganische, PROPN 
Chemie, PROPN 
tier, NOUN 
UniversitiJ, PROPN 
H:,bland, PROPN 
D-97074, PROPN 
Wiirzburg, PROPN 
Germany, PROPN 

, SPACE 
Received, VERB 
16, NUM 
February, PROPN 
1996, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
preparation, NOUN 
series, NOUN 
immobilized, ADJ 
transition, NOUN 
metal, NOUN 
catalysts, NOUN 
reported, VERB 
catalysts, NOUN 
obtained, VERB 
chemisorption, NOUN 

, SPACE 
rhodium(I, NOUN 
iridium(l, X 
complexes, NOUN 
MX(C2H4)2, X 
M, PROPN 
Rh, PROPN 
X, NOUN 
CI, PROPN 
OAc, NOUN 
acac, NOUN 
f3, PROPN 
acac, NOUN 
f6, NOUN 
acac, PROPN 
SiO, ADJ 
2, NUM 
MgO, PROPN 
supports, NOUN 

, SPACE 
oxides, NOUN 
activated, VERB 
SiCI4, PROPN 
TiCI, PROPN 
support, NOUN 
materials, NOUN 
acidic, ADJ 
nature, NOUN 
surface, NOUN 
substantially, ADV 

, SPACE 
increased, VERB 
activity, NOUN 
immobilized, VERB 
catalysts, NOUN 
tested, VERB 
particularly, ADV 
reaction, NOUN 
ethene, PROPN 
diphenyldiazomethane, NOUN 

, SPACE 
yields, VERB 
mixture, NOUN 
I.l, PROPN 
diphenylpropene, NOUN 
8), NUM 
l.l, PROPN 
diphenylc~,clopropane, ADJ 
9, NUM 
found, VERB 
active, ADJ 
selective, ADJ 

, SPACE 
highest, ADJ 
ratio, NOUN 
8:9, NUM 
catalyst, NOUN 
BI, PROPN 
formed, VERB 
support, NOUN 
material, NOUN 
B, PROPN 
SiO2, NOUN 
activated, VERB 
SiCi4, NUM 
RhCI(C2H,,)2, X 
2, NUM 

, SPACE 
activity, NOUN 
selectivity, NOUN 
BI, PROPN 
comparable, ADJ 
complex, ADJ 
1, NUM 
solution, NOUN 
contrast, NOUN 
supported, VERB 
catalysts, VERB 
A2, PROPN 
D2, PROPN 
A3, PROPN 
D3, PROPN 

, SPACE 
obtained, VERB 
Rh(OAcXC, NOUN 
H4)212, NOUN 
2, NUM 
Rh(acacXC2H4)2, X 
3, X 
active, ADJ 
