Pergamon, PROPN 
0025, NUM 
326X(95)00151, NUM 
4, NUM 
Marine, PROPN 
Pollution, PROPN 
Bulletin, PROPN 
Vol, PROPN 
32, NUM 
3, NUM 
pp, PROPN 
276, NUM 
274, NUM 
1996, NUM 

, SPACE 
Copyright, PROPN 
©, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Printed, PROPN 
Great, PROPN 
Britain, PROPN 
fights, NOUN 
reserved, VERB 

, SPACE 
0025, NUM 
326X/96, NUM 
$, SYM 
15.00, NUM 
+, NUM 
0.00, NUM 

, SPACE 
Petroleum, PROPN 
Biomarkers, PROPN 
Tracers, NOUN 

, SPACE 
Lubricating, VERB 
Oil, PROPN 
Contamination, PROPN 

, SPACE 
TILMAN, NOUN 
BIEGER, PROPN 
JOCELYNE, PROPN 
HELLOUt~, PROPN 
TEOFILO, PROPN 
A., NOUN 
ABRAJANO, PROPN 
Jr, PROPN 

, SPACE 
Dept, PROPN 
Earth, PROPN 
Sciences, PROPN 
Memorial, PROPN 
University, PROPN 
Newfoundland, PROPN 
St, PROPN 
John, PROPN 
Newfoundland, PROPN 
Canada, PROPN 
AIB, PROPN 
3X5, NUM 

, SPACE 
~, PUNCT 
Science, PROPN 
Branch, PROPN 
Dept, PROPN 
Fisheries, PROPN 
Oceans, PROPN 
P.O., PROPN 
Box, PROPN 
5667, NUM 
St, PROPN 
John, PROPN 
Newfoundland, PROPN 
Canada, PROPN 
AIC, PROPN 
5X1, NUM 

, SPACE 
~Author, NOUN 
correspondence, NOUN 
addressed, VERB 

, SPACE 
study, NOUN 
demonstrates, VERB 
use, NOUN 
tricyclic, ADJ 

, SPACE 
pentacyclic, NOUN 
terpanes, NOUN 
trace, NOUN 
constituents, NOUN 
lubricating, VERB 

, SPACE 
oils, NOUN 
indicators, NOUN 
origin, NOUN 
diffuse, NOUN 
lubricating, VERB 
oil, NOUN 

, SPACE 
contamination, NOUN 
plankton, PROPN 
