ELSEVIER, NOUN 

, SPACE 
syntheses, NOUN 
3, NUM 
substituted, VERB 

, SPACE 
perfluoroalkyl, PROPN 
steroids, NOUN 

, SPACE 
John, PROPN 
R., PROPN 
Williams, PROPN 
Timothy, PROPN 
J., PROPN 
Shea, PROPN 

, SPACE 
Department, PROPN 
Chemistry, PROPN 
Temple, PROPN 
University, PROPN 
Philadelphia, PROPN 
Pennsylvania, PROPN 
USA, PROPN 

, SPACE 
syntheses, NOUN 
classes, NOUN 
C-3, PROPN 
perfluoroalkyl, PROPN 
substituted, VERB 
steroids, NOUN 
described, VERB 
3~-hydroxy-, PROPN 

, SPACE 
3o~-perfluoroalkylandrost-4, NUM 
en-17, NUM 
ones, NOUN 
5a, PROPN 
c, PROPN 
3, NUM 
perfluoroalkylandrosta-3,5, NOUN 
dien-3, NOUN 
ones, NOUN 
8a, NUM 
c, NOUN 
3~-hydroxy-, NUM 

, SPACE 
3o~-perfluoroalkylandrost-5, NUM 
en-17, NUM 
ones, NOUN 
12a, NOUN 
c, NOUN 
Addition, NOUN 
series, NOUN 
perfluroalkylorganometallic, ADJ 
reagents, NOUN 

, SPACE 
RFLi, NOUN 
R, PROPN 
F, PROPN 
=, PROPN 
C2F, PROPN 
s, PROPN 
C3F, PROPN 
7, NUM 
C4F9, PROPN 
3, NUM 
position, NOUN 
silylated, VERB 
testosterone, NOUN 
2b, NUM 
afforded, VERB 
A4perfluoroalkyl, PROPN 

, SPACE 
carbinols, NOUN 
3, NUM 
Scheme, NOUN 
1, NUM 
deprotection, NOUN 
HF, PROPN 
oxidation, NOUN 
C-17, PROPN 
carbon, NOUN 
PCC, NOUN 
produced, VERB 
4, NUM 
ketones, NOUN 

, SPACE 
5, NUM 
Scheme, NOUN 
2, NUM 
dehydration, NOUN 
3, NUM 
1,2, NUM 
phenylenephosphorochloridite, NOUN 
iodine, NOUN 
afforded, VERB 
3'5, NUM 
dienes, NOUN 
6, NUM 

, SPACE 
deprotected, VERB 
oxidized, VERB 
C-17, PROPN 
ketones, NOUN 
8, NUM 
Scheme, NOUN 
3, NUM 
isomerization, NOUN 
double, ADJ 
bond, NOUN 

, SPACE 
3, NUM 
C-4, NOUN 
C-5, NOUN 
position, NOUN 
allylic, ADJ 
halogenation, NOUN 
followed, VERB 
treatment, NOUN 
lithium, NOUN 
aluminum, NOUN 

, SPACE 
hydride, NOUN 
led, VERB 
synthesis, NOUN 
double, ADJ 
bond, NOUN 
isomer, PROPN 
series, PROPN 
12, NUM 
new, ADJ 
method, NOUN 
dehydration, NOUN 
developed, VERB 

, SPACE 
average, ADJ 
experimental, ADJ 
error, NOUN 
3~-hydroxy-3o~-perfluoroalkylandrost-5, NUM 
en-17, ADJ 
ones, NOUN 
12a, NOUN 
c, NOUN 

, SPACE 
better, ADJ 
3, NUM 
perfluoroalkylandrosta-3,5, NOUN 
dien-17, NUM 
ones, NOUN 
8a, NUM 
c, NOUN 
3~-hydroxy-3o~-perfluoroalkylandrost-4-, NUM 

, SPACE 
en-17, ADJ 
ones, NOUN 
5a, PROPN 
c, NOUN 
inhibiting, VERB 
glucose-6, NOUN 
phosphate, NOUN 
dehydrogenase, NOUN 
Steroids, PROPN 
61:50, NUM 
57, NUM 
1996, NUM 

, SPACE 
Keywords, NOUN 
synthesis, NOUN 
perfluoroalkyl, PROPN 
steroids, NOUN 
3~-hydroxy-3o~-perfluoroalkylandrost-4, PROPN 
en-17, NUM 
ones, NOUN 
3, NUM 
perfluoroalkylandrosta-, NOUN 

, SPACE 
3,5, NUM 
dien-17, NUM 
ones, NOUN 
3~-hydroxy-3tx, PROPN 
perfluoroalkylandrost-5, PROPN 
en-17, NUM 
ones, NOUN 
dehydration, NOUN 
glucose-6, NOUN 
phosphate, NOUN 
dehydrogenase, NOUN 

, SPACE 
Introduction, PROPN 

, SPACE 
Dehydroepiandrosterone, PROPN 
DHEA, PROPN 
3[3, NUM 
hydroxyandrost-5, NOUN 
en-, NOUN 

, SPACE 
17, NUM 
la, PROPN 
sulfate, NOUN 
abundant, ADJ 

, SPACE 
adrenal, ADJ 
steroids, NOUN 
humans, NOUN 
DHEA, PROPN 
shown, VERB 

, SPACE 
number, NOUN 
beneficial, ADJ 
biological, ADJ 
effects, NOUN 
animals, NOUN 
1, NUM 

, SPACE 
properties, NOUN 
explained, VERB 
fact, NOUN 

, SPACE 
DHEA, PROPN 
inhibitor, NOUN 
important, ADJ 
enzyme, NOUN 
glucose-6-, PRON 

, SPACE 
phosphate, ADJ 
dehydrogenase, NOUN 
G6PDH, PROPN 
2, X 
DHEA, PROPN 

, SPACE 
metabolized, VERB 
estrogens, NOUN 
known, VERB 
tumor, NOUN 
pro-, PROPN 

, SPACE 
moters.1, X 
Previous, ADJ 
work, NOUN 
laboratories, NOUN 
shown, VERB 

, SPACE 
hydrophobic, NOUN 
ring, NOUN 
steroid, NOUN 
3[3, NUM 
methylandrost-5, NUM 
en-17-, PROPN 

, SPACE 
lb, NOUN 
excellent, ADJ 
inhibitor, NOUN 
G6PDH, PROPN 
3, NUM 

, SPACE 
known, VERB 
incorporation, NOUN 
fluorine, NOUN 
impart, VERB 
useful, ADJ 
bi-, PROPN 

, SPACE 
ological, ADJ 
properties, NOUN 
organic, ADJ 
molecules, NOUN 
4'5, NUM 

, SPACE 
program, NOUN 
designed, VERB 
prepare, VERB 
biologically, ADV 
active, ADJ 
ana-, ADJ 

, SPACE 
logs, NOUN 
DHEA, NOUN 
metabolized, VERB 
estro-, PROPN 

, SPACE 
gens, NOUN 
series, NOUN 
3[3, NUM 
hydroxy-3, PROPN 
perfluoroalkyl, PROPN 
substituted, VERB 
4, NUM 

, SPACE 
androsten-17, PROPN 
ones, NOUN 
A3'5, NOUN 
androstadien-17, PROPN 
ones, NOUN 

, SPACE 
synthesized, VERB 
3~-hydroxy-3cx, PROPN 
per-, NOUN 

, SPACE 
fluoroalkyl, PROPN 
androst-4, NUM 
en-17, NUM 
ones, NOUN 
5a, PROPN 
c, PROPN 
3, NUM 
perfluoroalkyl-, NOUN 

, SPACE 
androsta-3,5, ADV 
dien-17, PROPN 
ones, NOUN 
8a, NUM 
c, NOUN 
3~-hydroxy-3~-, PROPN 

, SPACE 
Address, PROPN 
reprint, NOUN 
requests, NOUN 
Dr., PROPN 
John, PROPN 
R., PROPN 
Williams, PROPN 
Department, PROPN 
Chemis-, PROPN 

, SPACE 
try, NOUN 
Temple, PROPN 
University, PROPN 
College, PROPN 
Arts, PROPN 
Sciences, PROPN 
Beury, PROPN 
016, NUM 
00, NUM 

, SPACE 
Philadelphia, PROPN 
PA, PROPN 
19122, NUM 
2585, NUM 
USA, PROPN 

, SPACE 
Received, VERB 
August, PROPN 
7, NUM 
1995, NUM 
accepted, VERB 
September, PROPN 
13, NUM 
1995, NUM 

, SPACE 
Steroids, PROPN 
61:50, NUM 
57, NUM 
1996, NUM 

, SPACE 
©, NOUN 
1996, NUM 
Elsevier, ADJ 
Science, PROPN 
Inc., PROPN 

, SPACE 
655, NUM 
Avenue, PROPN 
Americas, PROPN 
New, PROPN 
York, PROPN 
NY, PROPN 
10010, NUM 
perfluoroalkylandrost-5, PROPN 
en-17, NUM 
ones, NOUN 
12a, NOUN 
c, NOUN 
perfluoro-, NOUN 

, SPACE 
alkyl, ADJ 
groups, NOUN 
=, NOUN 
C2F, PROPN 
5, NUM 
b, NOUN 
=, NOUN 
C3F, PROPN 
7, NUM 
c, NOUN 
=, NOUN 
C4F, PROPN 
9, NUM 

, SPACE 
Experimental, PROPN 

, SPACE 
reagents, NOUN 
solvents, NOUN 
supplied, VERB 

, SPACE 
purification, NOUN 
noted, VERB 
Hexanes, NOUN 
distilled, VERB 

, SPACE 
40, NUM 
×, NOUN 
3, NUM 
cm, NOUN 
Vigreux, PROPN 
column, NOUN 
use, NOUN 
Ether, ADJ 
meth-, ADJ 

, SPACE 
ylene, PROPN 
chloride, PROPN 
obtained, VERB 
Aldrich, PROPN 
Sure, PROPN 
Seal, NOUN 
bottles, NOUN 

, SPACE 
transferred, VERB 
inert, ADJ 
atmosphere, NOUN 
Analytical, ADJ 
thin, ADJ 
layer, NOUN 
chro-, PROPN 

, SPACE 
matography, NOUN 
TLC, PROPN 
conducted, VERB 
Analtech, PROPN 
silica, PROPN 
gel, PROPN 
GF, PROPN 

, SPACE 
plates, NOUN 
250, NUM 
microns, NOUN 
containing, VERB 
fluorescent, ADJ 
indicator, NOUN 
Detection, NOUN 

, SPACE 
performed, VERB 
observation, NOUN 
UV, NOUN 
light, NOUN 
iodine, NOUN 
stain-, ADV 

, SPACE 
ing, PROPN 
Preparative, ADJ 
TLC, PROPN 
carried, VERB 
20, NUM 
cm, NOUN 
2, NUM 
silica, PROPN 
gel, PROPN 
GF, PROPN 

, SPACE 
plates, NOUN 
1000, NUM 
microns, NOUN 
Flash, NOUN 
column, NOUN 
chromatography, NOUN 
per-, PROPN 

, SPACE 
formed, VERB 
Merck, PROPN 
silica, PROPN 
gel, PROPN 
50, NUM 
230, NUM 
400, NUM 
mesh, NOUN 

, SPACE 
Melting, NOUN 
points, NOUN 
determined, VERB 
Thomas, PROPN 
Hoover, PROPN 
capillary, NOUN 

, SPACE 
melting, NOUN 
point, NOUN 
apparatus, NOUN 
uncorrected, VERB 
IR, PROPN 
spectra, PROPN 
re-, ADV 

, SPACE 
corded, VERB 
Mattson, PROPN 
4040, NUM 
FT, PROPN 
IR, PROPN 
spectrometer, NOUN 
data, NOUN 
re-, ADP 

, SPACE 
ported, VERB 
wavenumbers, NOUN 
cm, PROPN 
l, NOUN 
~H, PUNCT 
13C, NUM 
NMR, PROPN 
spectra, NOUN 

, SPACE 
recorded, VERB 
GE, PROPN 
QE, PROPN 
300, NUM 
300, NUM 
MHz, NOUN 
75.48, NUM 
MHz, NOUN 
respec-, X 

