Ultrasonics, PROPN 
34, NUM 
1996, NUM 
177, NUM 
185, NUM 

, SPACE 
New, ADJ 
methods, NOUN 
ultrasonic, ADJ 
welding, NOUN 
metal, NOUN 
plastic, NOUN 
materials, NOUN 

, SPACE 
Jiromaru, PROPN 
Tsujino, PROPN 
Tetsugi, PROPN 
Ueoka, PROPN 
Koichi, PROPN 
Hasegawa, PROPN 
Yuki, PROPN 
Fujita, PROPN 
Toshiyuki, PROPN 
Shiraki, PROPN 

, SPACE 
Takaaki, PROPN 
Okada, PROPN 
Toshiki, PROPN 
Tamura, PROPN 

, SPACE 
Kanagawa, PROPN 
University, PROPN 
Faculty, PROPN 
Engineering, PROPN 
3, NUM 
27, NUM 
l, NOUN 
Rokkakubashi, PROPN 
Yokohama, PROPN 
221, NUM 
Japan, PROPN 

, SPACE 
Abstract, PROPN 

, SPACE 
New, ADJ 
ultrasonic, ADJ 
welding, NOUN 
methods, NOUN 
metal, NOUN 
plastic, NOUN 
materials, NOUN 
proposed, VERB 
author, NOUN 
shown, VERB 

, SPACE 
effectiveness, NOUN 
welding, NOUN 
thick, ADJ 
large, ADJ 
metal, NOUN 
specimens, NOUN 
1, X 
ultrasonic, ADJ 
butt, NOUN 
welding, NOUN 
method, NOUN 
joining, VERB 
thick, ADJ 
metal, NOUN 

, SPACE 
specimens, NOUN 
end, VERB 
end, NOUN 
proposed, VERB 
Large, ADJ 
capacity, NOUN 
vibration, NOUN 
sources, NOUN 
solid, ADJ 
state, NOUN 
power, NOUN 
amplifiers, NOUN 
50,100, NUM 
kW, NOUN 

, SPACE 
developed, VERB 
2, X 
welding, NOUN 
method, NOUN 
vibration, NOUN 
systems, NOUN 
crossed, VERB 
right, ADJ 
angle, NOUN 
effective, ADJ 
10, NUM 
mm, NUM 
thick, ADJ 
aluminum, NOUN 

, SPACE 
plates, NOUN 
joined, VERB 
successfully, ADV 
medium, ADJ 
size, NOUN 
metal, NOUN 
welding, NOUN 
specimens, NOUN 
3, NUM 
complex, ADJ 
vibration, NOUN 
welding, NOUN 
tips, NOUN 

, SPACE 
shown, VERB 
effective, ADJ 
dimensional, ADJ 
complex, ADJ 
vibration, NOUN 
systems, NOUN 
developed, VERB 
simplify, VERB 
systems, NOUN 
welding, NOUN 

, SPACE 
small, ADJ 
metal, NOUN 
specimens, NOUN 
4, NUM 
higher, ADJ 
vibration, NOUN 
frequency, NOUN 
complex, ADJ 
vibration, NOUN 
wire, NOUN 
bonding, NOUN 
systems, NOUN 
proposed, VERB 
shown, VERB 

, SPACE 
significantly, ADV 
effective, ADJ 
Bonding, NOUN 
systems, NOUN 
60, NUM 
600, NUM 
kHz, NOUN 
designed, VERB 
welding, NOUN 
plastic, ADJ 
materials, NOUN 
5, NUM 
high, ADJ 

, SPACE 
frequency, NOUN 
vibration, NOUN 
system, NOUN 
welding, NOUN 
methods, NOUN 
effective, ADJ 

, SPACE 
Keywords, NOUN 
Ultrasonic, ADJ 
butt, NOUN 
welding, NOUN 
vibration, NOUN 
system, NOUN 
ultrasonic, ADJ 
welding, NOUN 
High, ADJ 
frequency, NOUN 
welding, NOUN 
Complex, ADJ 
vibration, NOUN 
ultrasonic, ADJ 

, SPACE 
welding, NOUN 
Ultrasonic, ADJ 
wire, NOUN 
bonding, NOUN 
Ultrasonic, ADJ 
plastic, NOUN 
welding, NOUN 

, SPACE 
1, NUM 
Introduction, NOUN 

, SPACE 
New, ADJ 
ultrasonic, ADJ 
welding, NOUN 
methods, NOUN 
metal, NOUN 
plastic, NOUN 

, SPACE 
materials, NOUN 
proposed, VERB 
l-3, PROPN 
shown, VERB 

, SPACE 
effectiveness, NOUN 
follows, VERB 
welding, NOUN 
thick, ADJ 

, SPACE 
large, ADJ 
metal, NOUN 
specimens, NOUN 
1, X 
ultrasonic, ADJ 
butt, NOUN 
welding, NOUN 

, SPACE 
method, NOUN 
joining, VERB 
thick, ADJ 
metal, NOUN 
specimens, NOUN 
end, VERB 
end, NOUN 

, SPACE 
proposed, VERB 
shown, VERB 
effective, ADJ 

, SPACE 
joining, VERB 
thick, ADJ 
welding, NOUN 
specimens, NOUN 
end, VERB 
end, NOUN 
2, NUM 
71, NUM 

, SPACE 
method, NOUN 
large, ADJ 
capacity, NOUN 
vibration, NOUN 
sources, NOUN 

, SPACE 
power, NOUN 
amplifiers, NOUN 
50, NUM 
100, NUM 
kW, NOUN 
aluminum, NOUN 
plate, NOUN 

, SPACE 
specimens, NOUN 
6, NUM 
mm, NUM 
thickness, NOUN 
400, NUM 
mm, NOUN 
width, NOUN 

, SPACE 
successfully, ADV 
welded, VERB 
changing, VERB 
welding, NOUN 
tip, NOUN 
driving, VERB 

, SPACE 
positions, NOUN 

, SPACE 
welding, NOUN 
medium, NOUN 
large, ADJ 
metal, NOUN 
specimens, NOUN 
2, X 

, SPACE 
welding, NOUN 
method, NOUN 
vibration, NOUN 
systems, NOUN 
crossed, VERB 

, SPACE 
right, ADJ 
angle, NOUN 
drives, VERB 
welding, NOUN 
specimens, NOUN 

, SPACE 
upper, ADJ 
lower, ADJ 
sides, NOUN 
simultaneously, ADV 
enabled, VERB 

, SPACE 
10, NUM 
mm, NOUN 
thick, ADJ 
aluminum, NOUN 
plates, NOUN 
joined, VERB 
successfully, ADV 

, SPACE 
1.0, NUM 
mm, NOUN 
thick, ADJ 
100, NUM 
mm, NOUN 
wide, ADJ 
plates, NOUN 

, SPACE 
Corresponding, VERB 
author, NOUN 
Fax, NOUN 
+81, PROPN 
45, NUM 
491, NUM 
7915, NUM 

, SPACE 
e, NOUN 
mail, NOUN 
tsujino@cc.kanagawa-u.ac.jp, PROPN 

, SPACE 
0041, NUM 
624X/96/%15.00, NUM 
0, NUM 
1996, NUM 
Elsevier, ADJ 
Science, PROPN 
B.V., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
SSDI, PROPN 
0041, NUM 
624X(95)00069, NOUN 
0, PROPN 
joined, VERB 
continuously, ADV 
uniform, ADJ 
strength, NOUN 

, SPACE 
specimen, NOUN 
width, VERB 
l-3,8, PROPN 

, SPACE 
medium, ADJ 
size, NOUN 
metal, NOUN 
welding, NOUN 
specimens, NOUN 
3, NUM 
complex, ADJ 

, SPACE 
vibration, NOUN 
welding, NOUN 
tips, NOUN 
vibrating, VERB 
elliptical, ADJ 
circular, ADJ 

, SPACE 
loci, NOUN 
b, X 
rectangular, ADJ 
square, ADJ 
loci, NOUN 
shown, VERB 

, SPACE 
effective, ADJ 
Bonding, PROPN 
methods, NOUN 
thin, ADJ 
wire, NOUN 
specimens, NOUN 

, SPACE 
thick, ADJ 
large, ADJ 
specimens, NOUN 
dimensional, ADJ 

, SPACE 
complex, ADJ 
vibration, NOUN 
systems, NOUN 
developed, VERB 

, SPACE 
simplify, VERB 
systems, NOUN 
shown, VERB 
effective, ADJ 

, SPACE 
successful, ADJ 
welding, NOUN 
31, NUM 

, SPACE 
welding, NOUN 
small, ADJ 
metal, NOUN 
specimens, NOUN 
ultra-, ADJ 

, SPACE 
sonic, ADJ 
wire, NOUN 
bonding, NOUN 
integrated, ADJ 
circuits, NOUN 
electronic, ADJ 

, SPACE 
devices, NOUN 
following, VERB 
bonding, NOUN 
equipment, NOUN 
effective, ADJ 

, SPACE 
4, X 
ultrasonic, ADJ 
wire, NOUN 
bonding, NOUN 
system, NOUN 
vibration, NOUN 

, SPACE 
frequency, NOUN 
higher, ADJ 
60, NUM 
kHz, NOUN 
con-, DET 

, SPACE 
ventional, ADJ 
wire, NOUN 
bonding, NOUN 
systems, NOUN 
complex, ADJ 

, SPACE 
vibration, NOUN 
welding, NOUN 
tips, NOUN 
vibrating, VERB 
elliptical, ADJ 
circular, ADJ 

, SPACE 
loci, NOUN 
b, X 
rectangular, ADJ 
square, ADJ 
loci, NOUN 
proposed, VERB 

, SPACE 
shown, VERB 
significantly, ADV 
effective, ADJ 
Bonding, PROPN 

, SPACE 
systems, NOUN 
complex, ADJ 
vibration, NOUN 
welding, NOUN 
tips, NOUN 
40, NUM 

, SPACE 
190, NUM 
kHz, NOUN 
high, ADJ 
frequency, ADJ 
linear, ADJ 
vibration, NOUN 
welding, NOUN 

, SPACE 
tips, NOUN 
330,600, NUM 
kHz, NOUN 
designed, VERB 

, SPACE 
equipment, NOUN 
required, VERB 
vibration, NOUN 
velocity, NOUN 

, SPACE 
178, NUM 
J., PROPN 
Tsujino, PROPN 
et, PROPN 
al, PROPN 
1, NUM 
Ultrasonics, PROPN 
34, NUM 
1996, NUM 
177, NUM 
185, NUM 

, SPACE 
smaller, ADJ 
required, ADJ 
welding, NOUN 
time, NOUN 
shorter, ADJ 
compared, VERB 

, SPACE 
conventional, ADJ 
bonding, NOUN 
systems, NOUN 
frequency, NOUN 

, SPACE 
characteristics, NOUN 
required, VERB 
vibration, NOUN 
amplitude, NOUN 

, SPACE 
vibration, NOUN 
velocity, NOUN 
revealed, VERB 
40, NUM 
600, NUM 
kHz, NOUN 

, SPACE 
3,9, NUM 
133, NUM 

, SPACE 
welding, NOUN 
plastic, ADJ 
materials, NOUN 
5, X 
high, ADJ 
frequency, NOUN 

, SPACE 
vibration, NOUN 
system, NOUN 
welding, NOUN 
method, NOUN 
effective, ADJ 

, SPACE 
1,143, NUM 
vibration, NOUN 
system, NOUN 
welding, NOUN 
equipment, NOUN 

, SPACE 
90, NUM 
kHz, NOUN 
upper, ADJ 
lower, ADJ 
vibration, NOUN 
sources, NOUN 

, SPACE 
ultrasonic, ADJ 
transducers, NOUN 
designed, VERB 
shown, VERB 

, SPACE 
required, ADJ 
vibration, NOUN 
velocity, NOUN 
90, NUM 
kHz, NOUN 

, SPACE 
l/3, ADJ 
27, NUM 
kHz, ADJ 
welding, NOUN 
system, NOUN 
vibration-, NUM 

, SPACE 
system, NOUN 
welding, NOUN 
method, NOUN 
different, ADJ 
frequencies, NOUN 

, SPACE 
vibration, NOUN 
direction, NOUN 
crossed, VERB 
right, ADJ 
angle, NOUN 
90, NUM 
kHz, ADJ 

, SPACE 
upper, ADJ 
longitudinal, ADJ 
20, NUM 
kHz, VERB 
lower, ADJ 
torsional, ADJ 
vibration, NOUN 

, SPACE 
systems, NOUN 
effective, ADJ 

, SPACE 
2, X 
Ultrasonic, ADJ 
butt, NOUN 
welding, NOUN 
large, ADJ 
metal, NOUN 
plate, NOUN 

, SPACE 
specimens, VERB 

, SPACE 
Ultrasonic, ADJ 
butt, NOUN 
welding, NOUN 
adequate, ADJ 
welding, VERB 
thick, ADJ 

, SPACE 
specimens, NOUN 
10, NUM 
mm, NOUN 
thick, ADJ 
end, VERB 
end, NOUN 

, SPACE 
conventional, ADJ 
ultrasonic, ADJ 
lapped, NOUN 
spot, NOUN 
welding, NOUN 
method, NOUN 

, SPACE 
possible, ADJ 
weld, VERB 
2, NUM 
3, NUM 
mm, NUM 
thick, ADJ 
plate, NOUN 

, SPACE 
specimens, NOUN 
large, ADJ 
thick, ADJ 
specimens, NOUN 

, SPACE 
impossible, ADJ 
weld, VERB 
way, NOUN 
driving, VERB 
surface, NOUN 

, SPACE 
upper, ADJ 
specimen, NOUN 
endure, VERB 
increasing, VERB 

, SPACE 
driving, VERB 
force, NOUN 
thick, ADJ 
weldment, NOUN 
increasing, VERB 

, SPACE 
shear, ADJ 
displacement, NOUN 
thickness, NOUN 
specimen, NOUN 

, SPACE 
ultrasonic, ADJ 
butt, NOUN 
welding, NOUN 
system, NOUN 
consists, VERB 

, SPACE 
powerful, ADJ 
ultrasonic, ADJ 
vibration, NOUN 
source, NOUN 
upper, ADJ 
passive, ADJ 

, SPACE 
vibration, NOUN 
system, NOUN 
welding, NOUN 
frame, NOUN 
hydraulic, ADJ 

, SPACE 
static, ADJ 
pressure, NOUN 
sources, NOUN 
clamping, VERB 
welding, NOUN 
specimens, NOUN 

, SPACE 
upper, ADJ 
lower, ADJ 
vibration, NOUN 
system, NOUN 

, SPACE 
inducing, VERB 
static, ADJ 
clamping, VERB 
pressure, NOUN 
welding, NOUN 
surface, NOUN 

, SPACE 
shown, VERB 
Fig, PROPN 
1, NUM 
ultrasonic, ADJ 
vibration, NOUN 
source, NOUN 

, SPACE 
consists, VERB 
bolt, ADJ 
clamped, VERB 
Langevin, PROPN 
type, NOUN 
PZT, PROPN 
trans-, VERB 

, SPACE 
ducers, NOUN 
BLT, PROPN 
60, NUM 
mm, NOUN 
diameter, NOUN 
radial, ADJ 
longitu-, NOUN 

, SPACE 
dinal, ADJ 
converter, NOUN 
vibration, NOUN 
power, NOUN 
accumulator, NOUN 

, SPACE 
dimensions, NOUN 
welding, NOUN 
tip, NOUN 
20, NUM 
mm, NUM 
thickness, NOUN 

, SPACE 
52, NUM 
mm, NOUN 
width, NOUN 
15, NUM 
kHz, ADJ 
vibration, NOUN 
source, NOUN 

, SPACE 
transducers, NOUN 
542, NUM 
mm, NOUN 
diameter, NOUN 
28.5, NUM 
kg, NOUN 
weight, NOUN 

, SPACE 
vibration, NOUN 
amplitude, NOUN 
measured, VERB 
ring, NOUN 
type, NOUN 
mag-, NOUN 

, SPACE 
netic, ADJ 
vibration, NOUN 
detectors, NOUN 
installed, VERB 
positions, NOUN 

, SPACE 
vibration, NOUN 
systems, NOUN 
vibration, NOUN 
source, NOUN 
driven, VERB 

, SPACE 
50, NUM 
kW, NOUN 
100, NUM 
kW, NUM 
static, ADJ 
induction, NOUN 
thyristor, NOUN 
power, NOUN 

, SPACE 
amplifier, NOUN 

, SPACE 
weld, NOUN 
condition, NOUN 
aluminum, NOUN 
plate, NOUN 
specimens, NOUN 

, SPACE 
6, NUM 
mm, NUM 
thickness, NOUN 
400, NUM 
mm, NOUN 
width, PROPN 
joined, VERB 
end, NOUN 
end, NOUN 

, SPACE 
shifting, VERB 
welding, NOUN 
tip, NOUN 
driving, VERB 
positions, NOUN 

, SPACE 
specimen, NOUN 
width, PROPN 
shown, VERB 
Fig, PROPN 
2, NUM 
Weld, NOUN 
strength, NOUN 

, SPACE 
uniform, ADJ 
equal, ADJ 
aluminum, NOUN 

, SPACE 
specimen, NOUN 
strength, NOUN 

, SPACE 
Figs, PROPN 
3(a, NUM 
b, NOUN 
cross, NOUN 
sections, NOUN 
different, ADJ 

, SPACE 
metal, NOUN 
specimens, NOUN 
Aluminum, PROPN 
anticorrosive, ADJ 
aluminum, NOUN 
Fig, PROPN 
1, NUM 
Arrangement, NOUN 
ultrasonic, ADJ 
butt, NOUN 
welding, NOUN 
equipment, NOUN 

, SPACE 
15, NUM 
kHz, ADJ 
vibration, NOUN 
source, NOUN 
bolt, ADJ 
clamped, VERB 
Langevin, PROPN 
type, NOUN 
PZT, PROPN 

, SPACE 
transducers, NOUN 
60, NUM 
mm, NOUN 
diameter, NOUN 
installed, VERB 
lower, ADJ 

, SPACE 
welding, NOUN 
system, NOUN 

, SPACE 
Driving, VERB 
specimen, NOUN 

, SPACE 
400, NUM 
mm, NOUN 
width, VERB 

, SPACE 
Fig, PROPN 
2, NUM 
Weld, NOUN 
conditions, NOUN 
aluminum, NOUN 
plate, NOUN 
specimen, NOUN 
6, NUM 
mm, NOUN 

, SPACE 
thickness, NOUN 
400, NUM 
mm, NOUN 
width, NOUN 
joined, VERB 
15, NUM 
kHz, ADJ 
butt, NOUN 
welding, NOUN 

, SPACE 
system, NOUN 
shifting, VERB 
welding, NOUN 
tip, NOUN 
driving, VERB 
positions, NOUN 

, SPACE 
specimen, NOUN 
width, VERB 

, SPACE 
alloy, NOUN 
copper, NOUN 
steel, NOUN 
plate, NOUN 
specimens, NOUN 
welded, VERB 

, SPACE 
successfully, ADV 
equal, ADJ 
weld, NOUN 
strength, NOUN 
aluminum, NOUN 

, SPACE 
anticorrosive, ADJ 
alloy, NOUN 
specimens, NOUN 
end, VERB 
end, VERB 
Burrs, NOUN 

, SPACE 
produced, VERB 
upper, ADJ 
lower, ADJ 
welding, NOUN 
parts, NOUN 

, SPACE 
aluminum, NOUN 
plate, NOUN 
mainly, ADV 
higher, ADJ 
hardness, NOUN 

, SPACE 
copper, NOUN 
steel, NOUN 
specimens, NOUN 
mechanical, ADJ 
charac-, ADJ 

, SPACE 
teristics, NOUN 
welded, VERB 
specimens, NOUN 

, SPACE 
base, NOUN 
metal, NOUN 
specimens, NOUN 
hardness, NOUN 
adjacent, ADJ 

, SPACE 
weldment, NOUN 
decreases, VERB 
slightly, ADV 
according, VERB 
welding, NOUN 

, SPACE 
conditions, NOUN 
temperature, NOUN 
rise, NOUN 
welding, NOUN 
surface, NOUN 

, SPACE 
aluminum, NOUN 
specimen, NOUN 
estimated, VERB 

, SPACE 
480, NUM 
°, NOUN 
C, NOUN 
hardness, NOUN 
measured, VERB 
adjacent, ADJ 

, SPACE 
welding, NOUN 
surface, NOUN 
usual, ADJ 
vibration, NOUN 
amplitude, AUX 

, SPACE 
J., PROPN 
Tsujino, PROPN 
et, PROPN 
al, PROPN 
1, NUM 
Ultrasonics, PROPN 
34, NUM 
1996, NUM 
177, NUM 
185, NUM 
179, NUM 

, SPACE 
4, NUM 

, SPACE 
64, NUM 

, SPACE 
Fig, PROPN 
3, NUM 
Weld, NOUN 
conditions, NOUN 
aluminum, NOUN 
anticorrosive, ADJ 
aluminum, NOUN 
copper, NOUN 

, SPACE 
steel, NOUN 
plate, NOUN 
specimens, NOUN 
6, NUM 
mm, NOUN 
thickness, NOUN 
Cross, NOUN 
section, NOUN 
pure, ADJ 

, SPACE 
aluminum, NOUN 
copper, NOUN 
specimen, NOUN 
b, X 
Cross, NOUN 
section, NOUN 
anticorrosive, ADJ 

, SPACE 
aluminum, NOUN 
alloy, NOUN 
copper, NOUN 
specimens, NOUN 
welded, VERB 
large, ADJ 
vibration, NOUN 

, SPACE 
amplitude, NOUN 

, SPACE 
20, NUM 
urn, NOUN 
peak, NOUN 
zero, NUM 
value, NOUN 
welded, VERB 
surface, NOUN 

, SPACE 
usually, ADV 
flat, ADJ 
smooth, ADJ 
disordered, VERB 
inclusions, NOUN 

, SPACE 
produced, VERB 
case, NOUN 
large, ADJ 
vibration, NOUN 
amplitude, NOUN 

, SPACE 
25, NUM 
30, NUM 
urn, NOUN 
seen, VERB 
Fig, PROPN 
3(b, NUM 

, SPACE 
welding, NOUN 
condition, NOUN 
pure, ADJ 
aluminum, NOUN 
steel, NOUN 

, SPACE 
plate, NOUN 
specimens, NOUN 
6, NUM 
mm, NUM 
thickness, NOUN 
shown, VERB 
Fig, PROPN 
4, NUM 

, SPACE 
relationship, NOUN 
vibration, NOUN 
amplitude, NOUN 
input, NOUN 

, SPACE 
power, NOUN 
weld, NOUN 
strength, NOUN 
plate, NOUN 
specimens, NOUN 
shown, VERB 

, SPACE 
figure, NOUN 
maximum, ADJ 
weld, NOUN 
strength, NOUN 
obtained, VERB 

, SPACE 
equal, ADJ 
aluminum, NOUN 
specimen, NOUN 
strength, NOUN 

, SPACE 
vibration, NOUN 
amplitude, NOUN 
15.5, NUM 
17, NUM 
urn, NOUN 
aluminum--, NOUN 

, SPACE 
steel, NOUN 
specimens, NOUN 
required, ADJ 
vibration, NOUN 
amplitude, NOUN 

, SPACE 
aluminumcopper, NOUN 
specimens, NOUN 
higher, ADJ 

, SPACE 
aluminum, NOUN 
steel, NOUN 
specimens, NOUN 
larger, ADJ 
heat, NOUN 
con-, VERB 

, SPACE 
ductivity, NOUN 
copper, NOUN 
times, NOUN 

, SPACE 
steel, NOUN 
Thin, ADJ 
burrs, NOUN 
produced, VERB 

, SPACE 
aluminum, NOUN 
specimen, NOUN 
difference, NOUN 
hardness, ADJ 
Vibration, PROPN 
amplitude, NOUN 
pm, NOUN 

, SPACE 
Fig, PROPN 
4, NUM 
Welding, NOUN 
conditions, NOUN 
aluminum, NOUN 
steel, NOUN 
plate, NOUN 
specimens, NOUN 

, SPACE 
6, NUM 
mm, NOUN 
thickness, NOUN 

, SPACE 
specimens, NOUN 
case, NOUN 
anticorrosive, ADJ 

, SPACE 
aluminum, NOUN 
copper, NOUN 
specimens, NOUN 
burrs, NOUN 
produced, VERB 

, SPACE 
sides, NOUN 
specimens, NOUN 
required, VERB 
input, NOUN 
power, NOUN 

, SPACE 
joined, ADJ 
aluminum, NOUN 
copper, NOUN 
steel, NOUN 
plate, NOUN 
specimens, NOUN 

, SPACE 
5, NUM 
kW, NOUN 
cm-, NOUN 
4, NUM 
kW, NUM 
cmm2, NOUN 

, SPACE 
3, X 
Ultrasonic, ADJ 
welding, NOUN 
vibration, NOUN 
systems, NOUN 

, SPACE 
welding, NOUN 
equipment, NOUN 
vibration, NOUN 
systems, NOUN 

, SPACE 
significantly, ADV 
effective, ADJ 
joining, VERB 
thick, ADJ 
large, ADJ 

, SPACE 
specimens, NOUN 
effective, ADJ 
joining, VERB 
wide, ADJ 

, SPACE 
plate, NOUN 
specimens, NOUN 
uniform, NOUN 
weld, NOUN 
strength, NOUN 
successfully, ADV 

, SPACE 
configuration, NOUN 
vibration, NOUN 
system, NOUN 
welding, NOUN 

, SPACE 
equipment, NOUN 
shown, VERB 
Fig, PROPN 
5, NUM 
ultrasonic, ADJ 
welding, NOUN 

, SPACE 
equipment, NOUN 
consists, VERB 
upper, ADJ 
27, NUM 
kHz, NOUN 
lower, ADJ 

, SPACE 
15, NUM 
kHz, ADJ 
longitudinal, ADJ 
vibration, NOUN 
systems, NOUN 
crossed, VERB 
right, ADJ 

, SPACE 
27, NUM 
kHz, VERB 
upper, ADJ 
vibration, NOUN 
system, NOUN 
6, NUM 
BLT, NOUN 
transducers, NOUN 

, SPACE 
40, NUM 
mm, PROPN 
dia, PROPN 
27, NUM 
kHz, VERB 
1, NUM 
h, NOUN 
length, NOUN 

, SPACE 
longitudinal, ADJ 
d, X 
supporters, NOUN 

, SPACE 
mm, PROPN 
dia, PROPN 
15, NUM 
1, NUM 
h, NOUN 
length, NOUN 

, SPACE 
longitudinal, ADJ 
vibration, NOUN 
rod, NOUN 

, SPACE 
15, NUM 
kHz, VERB 
lower, ADJ 
vibration, NOUN 
system, NOUN 
70, NUM 
mm, NOUN 

, SPACE 
diameter, NOUN 
bolt, NOUN 
clamped, VERB 
Langevin, PROPN 
type, NOUN 
transducer, NOUN 

, SPACE 
Fig, PROPN 
5, NUM 
Ultrasonic, ADJ 
lapped, ADJ 
spot, NOUN 
welding, NOUN 
equipment, NOUN 
longi-, PRON 

, SPACE 
tudinal, ADJ 
vibration, NOUN 
systems, NOUN 
ultrasonic, ADJ 
welding, NOUN 
equipment, NOUN 
27, NUM 
kHz, NOUN 

, SPACE 
15, NUM 
kHz, ADJ 
vibration, NOUN 
systems, NOUN 
crossed, VERB 
right, ADJ 
angle, NOUN 

, SPACE 
180, NUM 
J., PROPN 
Tsujino, PROPN 
et, PROPN 
al, PROPN 
Ultrasonics, PROPN 
34, NUM 
1996, NUM 
177, NUM 
185, NUM 

, SPACE 
angle, NOUN 
welding, NOUN 
frame, NOUN 
hydraulic, ADJ 
static, NOUN 

, SPACE 
clamping, VERB 
pressure, NOUN 
source, NOUN 
upper, ADJ 
27, NUM 
kHz, NOUN 
vibration, NOUN 

, SPACE 
system, NOUN 
wavelength, NOUN 
longitudinal, ADJ 
vibration, NOUN 
rod, NOUN 

, SPACE 
welding, NOUN 
tips, NOUN 
center, NOUN 
stepped, VERB 
horn, NOUN 

, SPACE 
vibration, NOUN 
velocity, NOUN 
transforming, NOUN 
ratio, NOUN 
4, NUM 
vibration, NOUN 

, SPACE 
source, NOUN 
bolt, ADJ 
clamped, VERB 
Langevin, PROPN 
type, NOUN 
PZT, PROPN 
trans-, VERB 

, SPACE 
ducers, NOUN 
40, NUM 
mm, NOUN 
diameter, NOUN 
lower, ADJ 
15, NUM 
kHz, ADJ 
vibration, NOUN 

, SPACE 
system, NOUN 
wavelength, NOUN 
longitudinal, ADJ 
vibration, NOUN 
rod, NOUN 

, SPACE 
welding, NOUN 
tips, NOUN 
center, NOUN 
stepped, VERB 
horn, NOUN 

, SPACE 
vibration, NOUN 
velocity, NOUN 
transforming, VERB 
ratio, NOUN 
4, NUM 

, SPACE 
bolt, NOUN 
clamped, VERB 
Langevin, PROPN 
type, NOUN 
PZT, PROPN 
transducer, NOUN 
70, NUM 
mm, NUM 

, SPACE 
diameter, NOUN 
vibration, NOUN 
systems, NOUN 
driven, VERB 
4, NUM 

, SPACE 
5, NUM 
kW, NOUN 
power, NOUN 
amplifiers, NOUN 
independently, ADV 

, SPACE 
Welding, NOUN 
specimens, NOUN 
inserted, VERB 
upper, ADJ 

, SPACE 
lower, ADJ 
welding, NOUN 
tips, NOUN 
driven, VERB 
parallel, NOUN 
welding, NOUN 
surfaces, NOUN 

, SPACE 
crossed, VERB 
directions, NOUN 
