Pergamon, PROPN 
Vacuum, PROPN 
volume, NOUN 
47lnumber, NUM 
5lpages, NOUN 
437, NUM 
44311996, NUM 

, SPACE 
Copyright, PROPN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Printed, PROPN 
Great, PROPN 
Britain, PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
0042, NUM 
207x(95Mo258, NUM 
8, NUM 
0042, NUM 
207X/96, NUM 
$, SYM 
15.00+.00, NUM 

, SPACE 
Damage, NOUN 
Si, PROPN 
substrates, NOUN 
SiO, NUM 
etching, VERB 

, SPACE 
Opportunities, NOUN 
subsequent, ADJ 
removal, NOUN 

, SPACE 
optimized, VERB 
cleaning, NOUN 
procedures, NOUN 

, SPACE 
H, PROPN 
H, PROPN 
Richter, PROPN 
Wolff, PROPN 
K, PROPN 
Blum, PROPN 
K, PROPN 
Hoeppner, PROPN 
D, PROPN 
Kriiger, PROPN 
R, PROPN 
Sorge, PROPN 
lnstitut, ADJ 
fur, NOUN 
Halbleiterphysik, PROPN 

, SPACE 
W, PROPN 
Korsing, PROPN 
Str, PROPN 
2, NUM 
D-, PROPN 
15230, NUM 
Frankfurt, PROPN 
Oder, PROPN 
Germany, PROPN 

, SPACE 
received, VERB 
1, NUM 
October, PROPN 
7995, NUM 

, SPACE 
Surface, PROPN 
residues, NOUN 
present, ADJ 
surface, NOUN 
near, ADJ 
surface, NOUN 
region, NOUN 
Si, PROPN 
substrates, NOUN 
reactive, ADJ 
ion, NOUN 

, SPACE 
etching, VERB 
R, NOUN 
E, NOUN 
SiO, PROPN 
Si, PROPN 
CHF&F, PROPN 
investigated, VERB 
Auger, PROPN 
electron, PROPN 
spectroscopy, NOUN 
atomic, ADJ 

, SPACE 
force, NOUN 
microscopy, NOUN 
thin, ADJ 
fluorocarbon, NOUN 
film, NOUN 
found, VERB 
develop, VERB 
etched, VERB 
samples, NOUN 
efficiency, NOUN 

, SPACE 
different, ADJ 
ex, NOUN 
situ, NOUN 
cleaning, NOUN 
procedures, NOUN 
examined, VERB 
cleaning, NOUN 
treatment, NOUN 
Si, PROPN 
consumption, NOUN 
unable, ADJ 

, SPACE 
remove, VERB 
residue, ADJ 
layer, NOUN 
required, ADJ 
manner, NOUN 
contrast, NOUN 
post, ADJ 
RIE, ADJ 
treatments, NOUN 
characterized, VERB 

, SPACE 
oxidation, NOUN 
SiO, NOUN 
wet, ADJ 
etch, NOUN 
respectively, ADV 
Cl,-N, PROPN 
RIE, PROPN 
step, NOUN 
yield, NOUN 
surfaces, NOUN 
suitable, ADJ 
device, NOUN 
processing, NOUN 

, SPACE 
confirmed, VERB 
capacitance, NOUN 
voltage, NOUN 
C, NOUN 
V, PROPN 
