Vacuum, PROPN 
volume, NOUN 
47lnumbers, PROPN 
6, NUM 
8jpages, NUM 
697, NUM 
700/1996, NUM 

, SPACE 
Copyright, PROPN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Printed, PROPN 
Great, PROPN 
Britain, PROPN 
rights, NOUN 
reserved, VERB 
Pergamon, PROPN 

, SPACE 
PII, PROPN 
SOO42, PROPN 
207X(96)00050, PROPN 
4, NUM 
0042, NUM 
207X/56, PROPN 
$, SYM 
15.00+.00, NUM 

, SPACE 
Hydrogen, PROPN 
permeation, NOUN 
properties, NOUN 
surface, NOUN 
structure, NOUN 

, SPACE 
BN, PROPN 
coated, VERB 
stainless, ADJ 
steel, NOUN 
membrane, NOUN 

, SPACE 
Itakura, PROPN 
M, PROPN 
Tosa, PROPN 
S, PROPN 
lkeda, NOUN 
K, PROPN 
Yoshihara, PROPN 
National, PROPN 
Research, PROPN 
institute, NOUN 
Metals, PROPN 
l-2, PROPN 
7, PROPN 
Sengen, PROPN 

, SPACE 
Tsukuba, PROPN 
305, NUM 
Japan, PROPN 

, SPACE 
developed, VERB 
boron, NOUN 
nitride, ADV 
coated, VERB 
stainless, ADJ 
steel, NOUN 
vacuum, NOUN 
vessel, NOUN 
materials, NOUN 
low, ADJ 
adsorption, NOUN 
rate, NOUN 

, SPACE 
oxygen, NOUN 
carbonates, NOUN 
extremely, ADV 
high, ADJ 
vacuum, NOUN 
range, NOUN 
70, NUM 
lo, PROPN 
Pa, PROPN 
main, ADJ 
component, NOUN 
residual, ADJ 

, SPACE 
gas, NOUN 
hydrogen, NOUN 
found, VERB 
low, ADJ 
adsorption, NOUN 
rate, NOUN 
hydrogen, NOUN 
surface, NOUN 
precipitated, VERB 
BN, PROPN 
precipitated, VERB 

, SPACE 
BN, PROPN 
layer, NOUN 
lower, VERB 
hydrogen, NOUN 
permeation, NOUN 
rate, NOUN 
stainless, ADJ 
steel, NOUN 
membrane, NOUN 
BN, NOUN 
coating, NOUN 

, SPACE 
effect, NOUN 
reduction, NOUN 
outgassing, NOUN 
adsorbed, VERB 
hydrogen, NOUN 
surface, NOUN 
vessel, NOUN 
materials, NOUN 

, SPACE 
contained, VERB 
hydrogen, NOUN 
vessel, NOUN 
materials, NOUN 
successfully, ADV 
coated, VERB 
BN, PROPN 
stainless, ADJ 
steel, NOUN 
surface, NOUN 

, SPACE 
surface, NOUN 
segregation, NOUN 
BN, PROPN 
stainless, ADJ 
steel, NOUN 
co, ADJ 
deposited, ADJ 
film, NOUN 
RHEED, ADJ 
pattern, NOUN 
BN, PROPN 
showed, VERB 

, SPACE 
diffraction, NOUN 
rings, NOUN 
spots, NOUN 
hexagonal, ADJ 
BN, NOUN 
C, NOUN 
axis, NOUN 
orientated, VERB 
surface, NOUN 
normal, ADJ 

, SPACE 
image, NOUN 
transmission, NOUN 
electron, NOUN 
microscopy, NOUN 
showed, VERB 
lattice, NOUN 
h, PROPN 
BN, PROPN 
basal, NOUN 
plane, NOUN 
diameter, NOUN 

, SPACE 
BN, PROPN 
crystals, NOUN 
50, NUM 
80, NUM 
nm, NOUN 
crystal, NOUN 
structure, NOUN 
inhibited, VERB 
hydrogen, NOUN 
permeation, NOUN 
Copyright, NOUN 
0, NUM 
7996, NUM 

, SPACE 
Published, VERB 
Elsevier, ADJ 
Science, PROPN 
Ltd., PROPN 

, SPACE 
Introduction, NOUN 

, SPACE 
demand, NOUN 
extremely, ADV 
high, ADJ 
vacuum, NOUN 
systems, NOUN 
increasing, VERB 

, SPACE 
especially, ADV 
field, NOUN 
surface, NOUN 
analysis, NOUN 
thin, ADJ 
film, NOUN 
preparation, NOUN 

, SPACE 
technology, NOUN 
major, ADJ 
performances, NOUN 
necessary, ADJ 
build, VERB 

, SPACE 
maintain, VERB 
XHV, NOUN 
system, NOUN 
high, ADJ 
pumping, NOUN 
speed, NOUN 
vac-, PROPN 

, SPACE 
uum, ADJ 
pumps, NOUN 
low, ADJ 
outgassing, VERB 
rate, NOUN 
material, NOUN 

, SPACE 
surface, NOUN 
composes, VERB 
vacuum, NOUN 
system, NOUN 
pumps, NOUN 

, SPACE 
developed, VERB 
improved, ADJ 
pumping, VERB 
speed, NOUN 
Outgassing, NOUN 

, SPACE 
reduced, VERB 
new, ADJ 
materials, NOUN 
vacuum, NOUN 
system, NOUN 
surface, NOUN 

, SPACE 
treatments, NOUN 
surface, NOUN 
polishing, NOUN 
TIN, PROPN 
coating, NOUN 
oxide, NOUN 
layer, NOUN 

, SPACE 
considered, VERB 
origins, NOUN 
outgassing, NOUN 
1, NUM 

, SPACE 
desorption, NOUN 
adsorbed, ADJ 
molecules, NOUN 
stuck, VERB 
material, NOUN 
surfaces, NOUN 

, SPACE 
2, NUM 
evolution, NOUN 
occluded, VERB 
atoms, NOUN 
and/or, CCONJ 
molecules, NOUN 
chamber, NOUN 

, SPACE 
materials, NOUN 
components, NOUN 
3, NUM 
permeation, NOUN 
atoms, NOUN 

, SPACE 
outside, NOUN 
materials, NOUN 
developed, VERB 
boron, NOUN 
nitride, NOUN 

, SPACE 
BN)-coated, VERB 
stainless, ADJ 
steel, NOUN 
vacuum, NOUN 
vessel, NOUN 
materials, NOUN 
low, ADJ 

, SPACE 
adsorption, NOUN 
rate, NOUN 
low, ADJ 
outgassing, ADJ 
rate, NOUN 
oxygen, NOUN 
carbon-, NOUN 

, SPACE 
ates.4, X 
Hydrogen, PROPN 
main, ADJ 
component, NOUN 
residual, ADJ 
gas, NOUN 

, SPACE 
extreme, ADJ 
high, ADJ 
vacuum, NOUN 
IO--, PUNCT 
Pa, NOUN 
range, NOUN 
objective, NOUN 

, SPACE 
study, NOUN 
establish, VERB 
suitable, ADJ 
surface, NOUN 
treatment, NOUN 
technique, NOUN 

, SPACE 
reduce, VERB 
hydrogen, NOUN 
outgassing, VERB 
