Pergamon, PROPN 
Vacuum, PROPN 
volume, NOUN 
47, NUM 
numbers, NOUN 
6, NUM 
g, NOUN 
pages, NOUN 
919, NUM 
929/1996, NUM 

, SPACE 
Copyright, PROPN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Printed, PROPN 
Great, PROPN 
Britain, PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
PII, PROPN 
SOO42, PROPN 
207X(96100094, PROPN 
2, NUM 
0042, NUM 
207X/96$15.00+.00, NUM 

, SPACE 
dimensional, ADJ 
measurements, NOUN 
thin, ADJ 
film, NOUN 
erosion, NOUN 

, SPACE 
deposition, NOUN 
calorimetry, NOUN 
interference, NOUN 
colors, NOUN 

, SPACE 
application, NOUN 
fusion, NOUN 
devices, NOUN 

, SPACE 
P, PROPN 
Wienhold, PROPN 
F, PROPN 
Weschenfelder, PROPN 
lnstitut, ADJ 
fiir, PROPN 
Plasmaphysik, PROPN 
Forschungszentrum, PROPN 
Jiilich, PROPN 
GmbH, PROPN 
Ass, PROPN 

, SPACE 
EURATOM, PROPN 
KFA, PROPN 
D-52425, PROPN 
Jiilich, PROPN 
Germany, PROPN 

, SPACE 
paper, NOUN 
describes, VERB 
time, NOUN 
resolved, VERB 
observations, NOUN 
erosion, NOUN 
thin, ADJ 
Z, PROPN 
705, NUM 
nm, PROPN 
transparent, VERB 
B, NOUN 
:D, PUNCT 
film, NOUN 

, SPACE 
roof, NOUN 
like, ADJ 
graphite, NOUN 
test, NOUN 
probe, NOUN 
60, NUM 
mm, NOUN 
x, SYM 
63, NUM 
mm, PROPN 
scrape, VERB 
layer, NOUN 
plasma, NOUN 
tokamak, NOUN 
TEXTOR-94, NOUN 

, SPACE 
Steady, ADJ 
state, NOUN 
erosion, NOUN 
pattern, NOUN 
achieved, VERB 
22, NUM 
discharges, NOUN 
727.3s, NUM 
total, ADJ 
exposure, NOUN 
time, NOUN 

, SPACE 
pulses, NOUN 
interference, NOUN 
color, NOUN 
pattern, NOUN 
illuminating, VERB 
light, NOUN 
3200, NUM 
K, PROPN 
color, NOUN 
temperature, NOUN 

, SPACE 
observed, VERB 
means, NOUN 
conventional, ADJ 
video, NOUN 
technique, NOUN 
color, NOUN 
coordinates, NOUN 
R, PROPN 
G, PROPN 
B, PROPN 
measured, VERB 

, SPACE 
related, VERB 
unique, ADJ 
y, PROPN 
film, NOUN 
thickness, NOUN 
contour, ADJ 
maps, NOUN 
profiles, NOUN 
evaluated, VERB 
erosion, NOUN 
rates, NOUN 

, SPACE 
determined, VERB 
Net, ADJ 
deposition, NOUN 
parts, NOUN 
surface, NOUN 
observed, VERB 
results, NOUN 
described, VERB 

, SPACE 
erosion, NOUN 
hydrogen, NOUN 
