Pergamon, PROPN 
Vacuum, PROPN 
volume, NOUN 
47Jnumbers, NOUN 
6, NUM 
8, NUM 
pages, NOUN 
985, NUM 
99011996, NUM 

, SPACE 
Copyright, PROPN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
Ltd, PROPN 

, SPACE 
Printed, PROPN 
Great, PROPN 
Britain, PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
PII, PROPN 
SOO42, PROPN 
207X(96300106, PROPN 
X, NOUN 
0042, NUM 
207X/96, NUM 
$, SYM 
15.00+.00, NUM 

, SPACE 
Hydrogen, PROPN 
isotope, NOUN 
analysis, NOUN 
thick, ADJ 
layers, NOUN 
deposited, VERB 

, SPACE 
tokamaks, NOUN 

, SPACE 
J, PROPN 
P, PROPN 
Goad, PROPN 
B, NOUN 
G, PROPN 
Skorodumov, PROPN 
b, X 
V, NOUN 
G, NOUN 
Ulano@, INTJ 
C, PROPN 
H, PROPN 
Wu, PROPN 
JETJoint, PROPN 
Undertaking, PROPN 
Abingdon, PROPN 
Oxon, PROPN 
0X14, NOUN 
3EA, NUM 

, SPACE 
UK, PROPN 
Institute, PROPN 
Nuclear, PROPN 
Physics, PROPN 
Academy, PROPN 
Science, PROPN 
Uzbekistan, PROPN 
702132, NUM 
Tashkent, PROPN 
Uzbekistan, PROPN 
NET, PROPN 

, SPACE 
Team, PROPN 
Max, PROPN 
Planck, PROPN 
lnstitut, NOUN 
fuer, NOUN 
Plasmaph, PROPN 
ysik, NOUN 
D-85748, NOUN 
Garching, PROPN 
Germany, PROPN 

, SPACE 
Predictions, NOUN 
tritium, NOUN 
retention, NOUN 
future, ADJ 
tokamaks, NOUN 
ITER, PROPN 
based, VERB 
analyses, NOUN 

, SPACE 
D, ADJ 
retention, NOUN 
redeposited, VERB 
films, NOUN 
existing, VERB 
tokamaks, NOUN 
amounts, NOUN 
H+D, NOUN 

, SPACE 
saturation, NOUN 
level, NOUN 
frequently, ADV 
observed, VERB 
measurement, NOUN 
invariably, ADV 
Ion, PROPN 
Beam, PROPN 
methods, NOUN 
NRA, PROPN 

, SPACE 
ERDA, NOUN 
analyse, NOUN 
depth, NOUN 
region, NOUN 
micron, NOUN 
whilst, SCONJ 
total, ADJ 
content, NOUN 
thick, ADJ 

, SPACE 
layers, NOUN 
relevance, NOUN 
ITER, VERB 
article, NOUN 
compares, VERB 
near, ADJ 
surface, NOUN 
data, NOUN 
methods, NOUN 
developed, VERB 

, SPACE 
determine, VERB 
composition, NOUN 
thick, ADJ 
C, PROPN 
H, PROPN 
films, NOUN 
100, NUM 
microns, NOUN 
Neutron, PROPN 
induced, VERB 
Elastic, PROPN 
Recoil, PROPN 

, SPACE 
Detection, PROPN 
Analysis, PROPN 
n, CCONJ 
