ELSEVIER, NOUN 

, SPACE 
EFFECTS, NOUN 
TRANSFORMING, NOUN 
GROWTH, PROPN 
FACTOR, PROPN 
P, NOUN 
ACTIVIN, PROPN 
VITRO, X 

, SPACE 
PORCINE, NOUN 
GRANULOSA, PROPN 
CELL, PROPN 
STEROIDOGENESIS, PROPN 

, SPACE 
W.Y., PROPN 
Chang, PROPN 
F., PROPN 
Shidaifat, PROPN 
M., PROPN 
Uzumcu, PROPN 
Y.C., PROPN 
Lin, PROPN 

, SPACE 
Laboratory, PROPN 
Reproductive, PROPN 
Molecular, PROPN 
Endocrinology, PROPN 

, SPACE 
Department, PROPN 
Veterinary, PROPN 
Physiology, PROPN 
Pharmacology, PROPN 
College, PROPN 
Veterinary, PROPN 
Medicine, PROPN 

, SPACE 
Ohio, PROPN 
State, PROPN 
University, PROPN 
Columbus, PROPN 
OH, PROPN 
USA, PROPN 

, SPACE 
Received, VERB 
publication, NOUN 
August, PROPN 
23, NUM 
1995, NUM 

, SPACE 
Accepted, PROPN 
January, PROPN 
23, NUM 
1996, NUM 

, SPACE 
ABSTRACT, NOUN 

, SPACE 
mammalian, ADJ 
ovarian, ADJ 
cycle, NOUN 
strictly, ADV 
regulated, VERB 
process, NOUN 
dependent, ADJ 
intimate, ADJ 

, SPACE 
interactions, NOUN 
3, NUM 
cell, NOUN 
types, NOUN 
follicle, NOUN 
theta, NOUN 
granulosa, NOUN 
oocyte, PROPN 
cycle, NOUN 
shown, VERB 

, SPACE 
controlled, VERB 
gonadotropins, NOUN 
locally, ADV 
produced, VERB 
peptide, ADJ 
factors, NOUN 
study, NOUN 
vitro, X 

, SPACE 
culture, NOUN 
system, NOUN 
study, VERB 
roles, NOUN 
2, NUM 
locally, ADV 
produced, VERB 
ovarian, ADJ 
peptide, NOUN 
factors, NOUN 
transforming, VERB 

, SPACE 
growth, NOUN 
factor-, VERB 
0, NUM 
TGF, PROPN 
P, PROPN 
activin, NOUN 
porcine, NOUN 
granulosa, NOUN 
cell, NOUN 
steroidogenesis, NOUN 
Gonadotropin-, PROPN 

, SPACE 
stimulated, VERB 
cultured, ADJ 
porcine, NOUN 
granulosa, NOUN 
cells, NOUN 
medium, ADJ 
sized, ADJ 
follicles, NOUN 
pretreated, VERB 
IO0, PROPN 
ml, PROPN 

, SPACE 
follicle, NOUN 
stimulating, VERB 
hormone, NOUN 
FSH, NOUN 
48, NUM 
h, NOUN 
treated, VERB 
ng, PROPN 
ml, PROPN 
TGF, PROPN 
P, PROPN 
100, NUM 
ng, PROPN 
ml, PROPN 
activin, NOUN 

, SPACE 
TGF-0, PROPN 
plus, CCONJ 
activin, NOUN 
received, VERB 
treatment, NOUN 
control, NOUN 
48, NUM 
h., NOUN 
previous, ADJ 
studies, NOUN 

, SPACE 
concentrations, NOUN 
2, NUM 
growth, NOUN 
factors, NOUN 
determined, ADJ 
produce, VERB 
maximal, ADJ 
antisteroidogenic, ADJ 
effects, NOUN 

, SPACE 
porcine, NOUN 
granulosa, NOUN 
cells, NOUN 
Progesterone, NOUN 
P4, PROPN 
production, NOUN 
estradiol-, X 
l7jJ, X 
6, NUM 
production, NOUN 
aromatase, NOUN 

, SPACE 
activity, NOUN 
gonadotropin, NOUN 
stimulated, VERB 
porcine, NOUN 
granulosa, NOUN 
cells, NOUN 
treated, VERB 
TGF, PROPN 
P, PROPN 
activin, NOUN 
TGF-0, PROPN 

, SPACE 
plus, CCONJ 
activin, NOUN 
significantly, ADV 
P, NOUN 
<, X 
0.05, NUM 
reduced, VERB 
fromthat, PRON 
control, NOUN 
procedures, NOUN 

, SPACE 
conducted, VERB 
basal, NOUN 
steroidogenesis, NOUN 
studies, NOUN 
pretreatment, NOUN 
FSH, PROPN 
performed, VERB 
P, NOUN 

, SPACE 
Ez, PROPN 
production, NOUN 
aromatase, NOUN 
activity, NOUN 
porcine, NOUN 
granulosa, NOUN 
cells, NOUN 
treated, VERB 
TGF, PROPN 
B, PROPN 
activin, NOUN 

, SPACE 
TGF, PROPN 
P, PROPN 
plus, CCONJ 
activin, NOUN 
significantly, ADV 
P, NOUN 
<, X 
0.05, NUM 
inhibited, VERB 
compared, VERB 
control, NOUN 
results, NOUN 

, SPACE 
indicate, VERB 
TGF-/3, NOUN 
activin, NOUN 
inhibit, VERB 
FSH, NOUN 
stimulated, VERB 
basal, NOUN 
steroidogeneses, NOUN 
porcine, NOUN 

, SPACE 
granulosa, NOUN 
cells, NOUN 
act, VERB 
local, ADJ 
atretic, ADJ 
factors, NOUN 
follicular, ADJ 
development, NOUN 
2, NUM 
growth, NOUN 

, SPACE 
factors, NOUN 
given, VERB 
combination, NOUN 
concentrations, NOUN 
produce, VERB 
maximal, ADJ 
steroidogenic, ADJ 
inhibition, NOUN 

, SPACE 
able, ADJ 
produce, VERB 
synergistic, ADJ 
effect, NOUN 
results, NOUN 
consistent, ADJ 
current, ADJ 
theory, NOUN 

, SPACE 
TGF-0, PROPN 
activin, NOUN 
act, VERB 
messenger, NOUN 
system, NOUN 
serine, NOUN 
threonine, NOUN 
kinase, NOUN 

, SPACE 
Key, ADJ 
words, NOUN 
pig, NOUN 
ovary, ADJ 
aromatase, NOUN 
progesterone, NOUN 
estradiol-, X 
l7p, NOUN 

, SPACE 
Acknowledgments, PROPN 

, SPACE 
study, NOUN 
partially, ADV 
supported, VERB 
NIH, PROPN 
grants, NOUN 
P30CA-, PROPN 
16058, NUM 
DK459, PROPN 
16, NUM 
CA-66, PROPN 
93, NUM 
NATO, PROPN 

, SPACE 
Scientific, PROPN 
Training, PROPN 
Program, PROPN 
Scientific, PROPN 
Technical, PROPN 
Research, PROPN 
Council, PROPN 
Turkey, PROPN 
FSH, NOUN 

, SPACE 
study, NOUN 
supplied, VERB 
NIH, PROPN 
National, PROPN 
Hormone, PROPN 
Pituitary, PROPN 
Program, PROPN 
Activin, PROPN 

, SPACE 
generously, ADV 
provided, VERB 
Ajinomoto, PROPN 
Co., PROPN 
Inc., PROPN 
Japan, PROPN 
arrangement, NOUN 
Dr., PROPN 
M., PROPN 
Takahashi, PROPN 

, SPACE 
Veterinary, PROPN 
Medical, PROPN 
Sciences, PROPN 
University, PROPN 
Tokyo, PROPN 
Japan, PROPN 

, SPACE 
Current, PROPN 
Address, PROPN 
Department, PROPN 
Animal, PROPN 
Science, PROPN 
Washington, PROPN 
State, PROPN 
University, PROPN 
Pullman, PROPN 
WA, PROPN 
99, NUM 
164, NUM 

, SPACE 
6332, NUM 

, SPACE 
correspondence, NOUN 
addressed, VERB 
Laboratory, PROPN 
Reproductive, PROPN 
Molecular, PROPN 

, SPACE 
Endocrinology, PROPN 
College, PROPN 
Veterinary, PROPN 
Medicine, PROPN 
Ohio, PROPN 
State, PROPN 
University, PROPN 
Columbus, PROPN 
Ohio, PROPN 
43210, NUM 

, SPACE 
1092, NUM 
TELE, NOUN 
614, NUM 
292, NUM 
9706, NUM 
FAX, NOUN 
6, NUM 
14, NUM 
292, NUM 
2077, NUM 

, SPACE 
Theriogenology, PROPN 
45:1463, PROPN 
1472, NUM 
1996, NUM 

, SPACE 
0, NUM 
1996, NUM 
Elsevier, ADJ 
Science, PROPN 
Inc., PROPN 
0093.691XfS6/$15.00, NUM 

, SPACE 
PII, PROPN 
s0093, PROPN 
691x(96)00114, NUM 
3, NUM 

, SPACE 
1464, NUM 
Theriogenology, PROPN 

, SPACE 
INTRODUCTION, NOUN 

, SPACE 
estrous, ADJ 
cycle, NOUN 
mammal, NOUN 
cohort, NOUN 
quiescent, ADJ 
primordial, ADJ 
follicles, NOUN 
recruited, VERB 

, SPACE 
develop, VERB 
select, ADJ 
polytocous, ADJ 
animals, NOUN 
eventually, ADV 
mature, ADJ 
stage, NOUN 
capable, ADJ 

, SPACE 
ovulation, NOUN 
developing, VERB 
follicles, NOUN 
undergo, VERB 
atresia, NOUN 
degenerate, VERB 
selective, ADJ 
process, NOUN 

, SPACE 
partially, ADV 
regulated, VERB 
gonadotropins, NOUN 
local, ADJ 
factors, NOUN 
implicated, VERB 
1, NUM 

, SPACE 
general, ADJ 
morphology, NOUN 
mammalian, ADJ 
ovarian, ADJ 
follicle, NOUN 
consists, VERB 
outer, ADJ 
layer, NOUN 
theta, NOUN 
cells, NOUN 

, SPACE 
inner, ADJ 
layers, NOUN 
granulosa, NOUN 
cells, NOUN 
surround, VERB 
oocyte, NOUN 
3, NUM 
cell, NOUN 
types, NOUN 
follicle, NOUN 
theta, NOUN 

, SPACE 
granulosa, NOUN 
oocyte, PROPN 
interact, VERB 
structurally, ADV 
functionally, ADV 
incorporating, VERB 
endocrine, NOUN 
paracrine, NOUN 

, SPACE 
autocrine, NOUN 
processes, NOUN 
granulosa, NOUN 
cell, NOUN 
processes, NOUN 
regulate, VERB 
cellular, ADJ 
differentiation, NOUN 

, SPACE 
contributes, VERB 
state, NOUN 
follicular, ADJ 
development, NOUN 
14, NUM 
Differentiation, NOUN 
follicle, NOUN 
small, ADJ 

, SPACE 
follicle, NOUN 
characterized, VERB 
increased, VERB 
aromatase, NOUN 
activity, NOUN 
androgen, VERB 
synthesis, NOUN 
estrogen, PROPN 
synthesis, NOUN 
14, NUM 

, SPACE 
Transforming, VERB 
growth, NOUN 
factor, NOUN 
p, NOUN 
TGF, PROPN 
P, PROPN 
activin, NOUN 
2, NUM 
growth, NOUN 
factors, NOUN 
belong, VERB 

, SPACE 
family, NOUN 
inhibin, PROPN 
TGF-0, PROPN 
IO, PROPN 
activin, PROPN 
4,23, PROPN 
isolated, VERB 
mammalian, ADJ 
ovaries, NOUN 
TGF, PROPN 
B, PROPN 

, SPACE 
approximately, ADV 
25, NUM 
kDa, NOUN 
peptide, NOUN 
homodimeric, ADJ 
subunits, NOUN 
produced, VERB 
mammalian, ADJ 

, SPACE 
cells, NOUN 
investigated, VERB 
normal, ADJ 
