ELSEVIER, NOUN 

, SPACE 
Calculation, PROPN 
flow, NOUN 
heat, NOUN 
transfer, NOUN 
near, ADP 

, SPACE 
entrance, NOUN 
film, NOUN 
cooling, VERB 
holes, NOUN 

, SPACE 
dimensional, ADJ 
mesh, NOUN 
embedding, VERB 

, SPACE 
solution, NOUN 
adaptation, NOUN 

, SPACE 
B., PROPN 
L., PROPN 
Lapworth, PROPN 
M., PROPN 
G., PROPN 
Rose, PROPN 

, SPACE 
Aerospace, PROPN 
Group, PROPN 
Rolls, PROPN 
Royce, PROPN 
plc, PROPN 
Derby, PROPN 
UK, PROPN 

, SPACE 
R., PROPN 
G., PROPN 
D., PROPN 
Nedar, PROPN 

, SPACE 
Volvo, PROPN 
Aero, PROPN 
Corporation, PROPN 
Combuster, PROPN 
Divison, PROPN 
Engineering, PROPN 
Trollh, PROPN 
~, VERB 
itan, ADJ 
Sweden, PROPN 

, SPACE 
dimensional, ADJ 
3, NUM 
D, NOUN 
mesh, NOUN 
embedding, VERB 
algorithm, PROPN 
Navier, PROPN 
Stokes, PROPN 
equa-, VERB 

, SPACE 
tions, NOUN 
presented, VERB 
upwind, NOUN 
control, NOUN 
volume, NOUN 
discretization, NOUN 
maintain, VERB 

, SPACE 
accuracy, NOUN 
stability, NOUN 
embedding, VERB 
interfaces, NOUN 
minor, ADJ 
restrictions, NOUN 
cell, NOUN 

, SPACE 
shape, NOUN 
fluxes, NOUN 
conserved, VERB 
interfaces, NOUN 
hanging, VERB 
nodes, NOUN 

, SPACE 
interfaces, NOUN 
treated, VERB 
implicitly, ADV 
avoid, VERB 
internal, ADJ 
boundaries, NOUN 
flow, NOUN 

, SPACE 
degrade, VERB 
rate, NOUN 
convergence, NOUN 
embedded, VERB 
mesh, NOUN 
solver, NOUN 
model, VERB 
90, NUM 

, SPACE 
30, NUM 
°, NUM 
cylindrical, ADJ 
film, NOUN 
cooling, VERB 
holes, NOUN 
ingesting, VERB 
flow, NOUN 
parallel, ADJ 
sided, ADJ 
duct, NOUN 

, SPACE 
low-, ADJ 
medium-, ADJ 
high, ADJ 
suction, NOUN 
ratios, NOUN 
Adaptation, NOUN 
mesh, NOUN 
flow, NOUN 
solution, NOUN 

, SPACE 
improve, VERB 
resolution, NOUN 
high, ADJ 
gradient, NOUN 
regions, NOUN 
influences, NOUN 

, SPACE 
inclination, NOUN 
angle, NOUN 
suction, NOUN 
ratio, NOUN 
flow, NOUN 
heat, NOUN 
transfer, NOUN 
vicinity, NOUN 

, SPACE 
hole, NOUN 
hole, NOUN 
discharge, NOUN 
coefficient, NOUN 
modelled, VERB 
compared, VERB 
re-, ADV 

, SPACE 
ported, VERB 
experimental, ADJ 
measurements, NOUN 

, SPACE 
Keywords, NOUN 
film, NOUN 
cooling, VERB 
holes, NOUN 
mesh, NOUN 
embedding, VERB 
solution, NOUN 
adaptation, NOUN 
upwind, NOUN 
con-, VERB 

, SPACE 
trol, NOUN 
volumes, NOUN 

, SPACE 
Introduction, PROPN 

, SPACE 
Turbine, PROPN 
entry, NOUN 
temperatures, NOUN 
TET, PROPN 
modern, ADJ 
gas, NOUN 
turbine, NOUN 
engines, NOUN 

, SPACE 
typically, ADV 
150, NUM 
°, NUM 
K, NOUN 
melting, NOUN 
point, NOUN 
blade, NOUN 
material, NOUN 

, SPACE 
Consequently, ADV 
cooling, VERB 
blade, NOUN 
necessary, ADJ 
turbine, NOUN 

, SPACE 
useful, ADJ 
working, NOUN 
life, NOUN 
Arrays, NOUN 
film, NOUN 
cooling, VERB 
holes, NOUN 

, SPACE 
release, VERB 
cool, ADJ 
air, NOUN 
bled, VERB 
compressor, NOUN 
blade, NOUN 
surface, NOUN 

, SPACE 
commonly, ADV 
control, VERB 
surface, NOUN 
temperatures, NOUN 
heat, NOUN 

, SPACE 
fluxes, NOUN 
turbine, NOUN 
designers, NOUN 
strive, VERB 
higher, ADJ 
TET, PROPN 

, SPACE 
important, ADJ 
film, NOUN 
cooling, VERB 
hole, NOUN 
designs, NOUN 
achieve, VERB 
target, NOUN 

, SPACE 
thermal, ADJ 
performances, NOUN 

, SPACE 
Numerical, PROPN 
modeling, NOUN 
plays, VERB 
important, ADJ 
role, NOUN 
film, NOUN 
cooling, VERB 

, SPACE 
design, NOUN 
use, NOUN 
dimensional, ADJ 
2, NUM 
D, NOUN 
quasi, ADJ 
three-, ADJ 

, SPACE 
dimensional, ADJ 
3, NUM 
D, NOUN 
boundary, ADJ 
layer, NOUN 
analysis, NOUN 
methods, NOUN 
e.g., ADV 
Norton, PROPN 

, SPACE 
et, PROPN 
al, PROPN 
1990, NUM 
methods, NOUN 
intended, VERB 
parametric, ADJ 
design, NOUN 

, SPACE 
studies, NOUN 
model, NOUN 
laterally, ADV 
averaged, VERB 
behaviour, NOUN 

, SPACE 
film, NOUN 
cooling, VERB 
rows, NOUN 
detailed, ADJ 
analyses, NOUN 
3, NUM 
D, NOUN 
flow, NOUN 

, SPACE 
film, NOUN 
cooling, VERB 
holes, NOUN 
concentrated, VERB 
jets, NOUN 
injecting, VERB 

, SPACE 
cross, ADJ 
flow, NOUN 
Bergeles, PROPN 
et, PROPN 
al, PROPN 
1978, NUM 
modelled, VERB 
single, ADJ 
jet, NOUN 

, SPACE 
semi, ADJ 
elliptic, ADJ 
procedure, NOUN 
immediately, ADV 
down-, NUM 

, SPACE 
Address, PROPN 
reprint, NOUN 
requests, NOUN 
B., PROPN 
L., PROPN 
Lapworth, PROPN 
Rolls, PROPN 
Royce, PROPN 
plc, PROPN 

, SPACE 
P.O., PROPN 
Box, PROPN 
31, NUM 
Derby, PROPN 
DE24, PROPN 
8B, PROPN 
J, PROPN 
UK, PROPN 

, SPACE 
Received, VERB 
20, NUM 
January, PROPN 
1995, NUM 
accepted, VERB 
26, NUM 
October, PROPN 
1995, NUM 

, SPACE 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
17, NUM 
155, NUM 
166, NUM 
1996, NUM 

, SPACE 
©, NOUN 
1996, NUM 
Elsevier, ADJ 
Science, PROPN 
Inc., PROPN 

, SPACE 
655, NUM 
Avenue, PROPN 
Americas, PROPN 
New, PROPN 
York, PROPN 
NY, PROPN 
10010, NUM 
stream, NOUN 
hole, NOUN 
coupled, VERB 
marching, NOUN 
procedure, NOUN 

, SPACE 
key, ADJ 
aspect, NOUN 
calculations, NOUN 
use, NOUN 
nonisotropic, ADJ 

, SPACE 
form, NOUN 
high, ADJ 
Reynolds, PROPN 
number, NOUN 
k-~, NOUN 
model, NOUN 
improved, VERB 

, SPACE 
predictions, NOUN 
film, NOUN 
cooling, VERB 
effectiveness, NOUN 
White, PROPN 
1980, NUM 
mod-, X 

, SPACE 
elled, VERB 
single, ADJ 
jet, NOUN 
separate, ADJ 
computations, NOUN 
pipe, NOUN 

, SPACE 
cross, ADJ 
flow, ADJ 
duct, NOUN 
iteratively, ADV 
linked, VERB 
jet, NOUN 
exit, NOUN 

, SPACE 
plane, NOUN 
White, PROPN 
nonisotropic, ADJ 
k-~, NOUN 
model, NOUN 
improve, VERB 

, SPACE 
predictions, NOUN 
velocity, NOUN 
profiles, NOUN 
downstream, ADV 
hole, NOUN 

, SPACE 
White, PROPN 
demonstrated, VERB 
need, NOUN 
elliptic, ADJ 

, SPACE 
procedure, NOUN 
downstream, ADJ 
hole, NOUN 
model, VERB 
strong, ADJ 

, SPACE 
recirculations, NOUN 
higher, ADJ 
injection, NOUN 
rates, NOUN 
reduce, VERB 
computational, ADJ 

, SPACE 
resources, NOUN 
number, NOUN 
models, NOUN 
locally, ADV 
elliptic, ADJ 

, SPACE 
procedures, NOUN 
near, ADJ 
injection, NOUN 
region, NOUN 
coupled, VERB 
marching, NOUN 

, SPACE 
procedures, NOUN 
away, ADV 
hole, NOUN 
e.g., ADV 
Demuren, PROPN 
et, PROPN 
al, PROPN 
1985, NUM 

, SPACE 
Dibelius, PROPN 
et, PROPN 
al, PROPN 
1990, NUM 
Alvarez, PROPN 
et, PROPN 
al, PROPN 
1993, NUM 
reported, VERB 
fully, ADV 
elliptic, ADJ 

, SPACE 
calculations, NOUN 
single, ADJ 
jet, NOUN 
cross, ADJ 
flow, NOUN 
isotropic, ADJ 

, SPACE 
k, PROPN 
e, NOUN 
model, NOUN 
wall, NOUN 
functions, NOUN 
second, ADJ 
moment, NOUN 
closure, NOUN 

, SPACE 
model, NOUN 
Alvarez, PROPN 
concluded, VERB 
overall, ADJ 
models, NOUN 
gave, VERB 
similar, ADJ 

, SPACE 
level, NOUN 
agreement, NOUN 
measurements, NOUN 

, SPACE 
measurements, NOUN 
Andreopoulus, PROPN 
Rodi, PROPN 
1984, NUM 
demon-, VERB 

, SPACE 
strated, VERB 
biasing, NOUN 
jet, NOUN 
exit, NOUN 
flow, NOUN 
downstream, ADJ 

, SPACE 
hole, NOUN 
importance, NOUN 
including, VERB 
pipe, NOUN 

, SPACE 
calculations, NOUN 
calculations, NOUN 
generally, ADV 
assume, VERB 
plug, NOUN 

, SPACE 
fully, ADV 
developed, VERB 
flow, NOUN 
pipe, NOUN 
entrance, NOUN 
turbine, NOUN 

, SPACE 
cooling, VERB 
applications, NOUN 
pipe, NOUN 
fed, VERB 
internal, ADJ 
cooling, NOUN 
pas-, NOUN 

, SPACE 
sages, NOUN 
produce, VERB 
complex, ADJ 
flow, NOUN 
patterns, NOUN 
pipe, NOUN 
entry, NOUN 

, SPACE 
0142, NUM 
727X/96/$15.00, PROPN 

, SPACE 
SSDI, PROPN 
0142, NUM 
727X(95)00099, NUM 
2, NUM 


, SPACE 
Mesh, PROPN 
embedding, VERB 
film, NOUN 
cooling, VERB 
holes, NOUN 
B., PROPN 
L., PROPN 
Lapworth, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
Numerical, PROPN 
