~!~l, PROPN 
I~, VERB 

, SPACE 
review, NOUN 
empirical, ADJ 
flame, NOUN 
impingement, VERB 

, SPACE 
heat, NOUN 
transfer, NOUN 
correlations, NOUN 

, SPACE 
C., PROPN 
E., PROPN 
Baukal, PROPN 
Jr., PROPN 
B., PROPN 
Gebhart, PROPN 

, SPACE 
Department, PROPN 
Mechanical, PROPN 
Engineering, PROPN 
Applied, PROPN 
Mechanics, PROPN 
University, PROPN 
Pennsylvania, PROPN 

, SPACE 
Philadelphia, PROPN 
PA, PROPN 
USA, PROPN 

, SPACE 
Impinging, PROPN 
flames, NOUN 
industrial, ADJ 
heating, NOUN 
melting, NOUN 
safety, NOUN 
research, NOUN 
aerospace, NOUN 

, SPACE 
applications, NOUN 
Multiple, ADJ 
modes, NOUN 
heat, NOUN 
transfer, NOUN 
commonly, ADV 
important, ADJ 
processes, NOUN 

, SPACE 
detailed, ADJ 
heat, NOUN 
transfer, NOUN 
mechanisms, NOUN 
understood, VERB 
available, ADJ 

, SPACE 
semianalytical, ADJ 
heat, NOUN 
transfer, NOUN 
solutions, NOUN 
limited, ADJ 
applicability, NOUN 
re-, SCONJ 

, SPACE 
searchers, NOUN 
designers, NOUN 
measurements, NOUN 
empirical, ADJ 
correlations, NOUN 

, SPACE 
determine, VERB 
heat, NOUN 
flux, NOUN 
rates, NOUN 
empirical, ADJ 
correlations, NOUN 
reviewed, VERB 
correla-, NOUN 

, SPACE 
tions, NOUN 
arranged, VERB 
flow, NOUN 
geometry, NOUN 
geometries, NOUN 
studied, VERB 

, SPACE 
include, VERB 
flames, NOUN 
impinging, VERB 
1, X 
normal, ADJ 
cylinders, NOUN 
cross, ADJ 
flow, ADJ 
2, X 
normal, ADJ 
hemispheri-, NOUN 

, SPACE 
cally, ADV 
nosed, ADJ 
cylinders, NOUN 
3, X 
normal, ADJ 
plane, NOUN 
surfaces, NOUN 
4, NUM 
plane, NOUN 
surfaces, NOUN 

, SPACE 
correlations, NOUN 
arranged, VERB 
size, NOUN 
region, NOUN 
target, NOUN 
consideration, NOUN 

, SPACE 
Correlations, NOUN 
apply, VERB 
small, ADJ 
region, NOUN 
target, NOUN 
stagnation, NOUN 
point, NOUN 

, SPACE 
referred, VERB 
local, ADJ 
heat, NOUN 
flux, NOUN 
Correlations, NOUN 
apply, VERB 
large, ADJ 
region, NOUN 
target, NOUN 

, SPACE 
entire, ADJ 
body, NOUN 
cylindrical, ADJ 
target, NOUN 
referred, VERB 
average, ADJ 
heat, NOUN 
flux, NOUN 

, SPACE 
correlations, NOUN 
arranged, VERB 
type, NOUN 
heat, NOUN 
transfer, NOUN 
Correlations, NOUN 
natural, ADJ 

, SPACE 
forced, VERB 
convection, NOUN 
thermochemical, ADJ 
heat, NOUN 
release, NOUN 
TCHR, PROPN 
radiation, NOUN 
forced, VERB 
convection, NOUN 

, SPACE 
TCHR, PROPN 
forced, VERB 
convection, NOUN 
radiation, NOUN 
reported, VERB 
combinations, NOUN 

, SPACE 
geometry, NOUN 
operating, NOUN 
conditions, NOUN 
Finally, ADV 
correlations, NOUN 
arranged, VERB 
flow, NOUN 
type, NOUN 

, SPACE 
laminar, NOUN 
turbulent, NOUN 
Correlations, NOUN 
exist, VERB 
combinations, NOUN 
geometry, NOUN 

, SPACE 
operating, NOUN 
conditions, NOUN 
recommendations, NOUN 
given, VERB 
research, NOUN 

, SPACE 
Keywords, NOUN 
flame, NOUN 
impingement, ADJ 
heat, NOUN 
transfer, NOUN 
empirical, ADJ 
correlations, NOUN 
forced, VERB 
convection, NOUN 

, SPACE 
natural, ADJ 
convection, NOUN 
radiation, NOUN 

, SPACE 
Introduction, PROPN 

, SPACE 
Flame, PROPN 
impingement, VERB 
heating, NOUN 
important, ADJ 
processes, NOUN 

, SPACE 
Low, ADJ 
intensity, NOUN 
flames, NOUN 
heat, VERB 
metal, NOUN 
bars, NOUN 
prior, ADV 
rolling, VERB 

, SPACE 
sheets, NOUN 
safety, NOUN 
research, NOUN 
applica-, NOUN 

, SPACE 
tion, NOUN 
quantify, VERB 
heating, NOUN 
rate, NOUN 
caused, VERB 

, SPACE 
buoyant, ADJ 
fires, NOUN 
impinging, VERB 
walls, NOUN 
ceilings, NOUN 

, SPACE 
simulate, VERB 
extensive, ADJ 
fires, NOUN 
impinging, VERB 
structural, ADJ 
ele-, NOUN 

, SPACE 
ments, NOUN 
high, ADJ 
velocity, NOUN 
flames, NOUN 
caused, VERB 
ruptured, ADJ 
fuel, NOUN 

, SPACE 
pipes, NOUN 
High, ADJ 
intensity, NOUN 
flame, NOUN 
impingement, VERB 
arises, VERB 
applica-, NOUN 

, SPACE 
tions, NOUN 
commonly, ADV 
melt, VERB 
scrap, NOUN 
metal, NOUN 
shape, VERB 

, SPACE 
glass, NOUN 
