~llk, NOUN 
~ll, PROPN 
tl, PROPN 

, SPACE 
Effect, NOUN 
rotation, NOUN 
temperature, NOUN 
response, NOUN 

, SPACE 
thermochromic, NOUN 
liquid, NOUN 
crystal, NOUN 

, SPACE 
B., PROPN 
J., PROPN 
Syson, PROPN 
R., PROPN 
G., PROPN 
Pilbrow, PROPN 
J., PROPN 
M., PROPN 
Owen, PROPN 

, SPACE 
School, PROPN 
Mechanical, PROPN 
Engineering, PROPN 
University, PROPN 
Bath, PROPN 
Bath, PROPN 
UK, PROPN 

, SPACE 
Encapsulated, VERB 
thermochromic, NOUN 
liquid, NOUN 
crystal, NOUN 
TLC, PROPN 
determine, VERB 
surface, NOUN 

, SPACE 
temperature, NOUN 
stationary, ADJ 
rotating, VERB 
bodies, NOUN 
narrow, ADJ 
band, NOUN 
TLC, PROPN 
colour, ADJ 
change, NOUN 

, SPACE 
red, ADJ 
blue, VERB 
bandwidth, NOUN 
1, NUM 
°, NUM 
C, NOUN 
temperatures, NOUN 
stationary, ADJ 
surfaces, NOUN 

, SPACE 
measured, VERB 
uncertainty, NOUN 
+0.1, PROPN 
°, NOUN 
C, NOUN 
gas, NOUN 
turbine, NOUN 
applications, NOUN 

, SPACE 
centripetal, ADJ 
accelerations, NOUN 
excess, NOUN 
104, NUM 
g, NOUN 
common, ADJ 
belief, NOUN 
held, VERB 

, SPACE 
research, NOUN 
workers, NOUN 
TLC, PROPN 
significantly, ADV 
affected, VERB 
rotation, NOUN 
rotational, ADJ 
shifts, NOUN 

, SPACE 
observed, VERB 
temperature, NOUN 
measurements, NOUN 
thermocouples, NOUN 
TLC, PROPN 
diverge, VERB 

, SPACE 
increasing, VERB 
rotational, ADJ 
speed, NOUN 
shifts, NOUN 
7, NUM 
°, NUM 
C, NOUN 
104, NUM 
g, NOUN 
observed, VERB 

, SPACE 
paper, NOUN 
surface, NOUN 
temperature, NOUN 
rotating, VERB 
disc, NOUN 
