JOURNAL, PROPN 

, SPACE 
biochemical, ADJ 

, SPACE 
biophysical, ADJ 

, SPACE 
methods, NOUN 
ELSEVIER, PROPN 
J., PROPN 
Biochem, PROPN 
Biophys, NOUN 
Methods, NOUN 
32, NUM 
1996, NUM 
85, NUM 
96, NUM 

, SPACE 
Research, PROPN 
article, NOUN 

, SPACE 
Cytokine, ADJ 
activity, NOUN 
assay, VERB 
means, NOUN 
proliferation, NOUN 

, SPACE 
measured, VERB 
plane, NOUN 
convex, PROPN 
microtiter, NOUN 
wells, PROPN 

, SPACE 
Karola, PROPN 
Vorauer, PROPN 
Franz, PROPN 
Steindl, PROPN 
Alois, PROPN 
Jungbauer, PROPN 
Rainer, PROPN 
Hahn, PROPN 

, SPACE 
Hermann, PROPN 
Katinger, PROPN 

, SPACE 
Institute, PROPN 
Applied, PROPN 
Microbiology, PROPN 
Unil, PROPN 
~, PUNCT 
er.sit~, PROPN 
qf, ADP 
Agriculture, PROPN 
N@dmferkinde, VERB 
l, NOUN 
I90, PROPN 
Vienna, PROPN 
Amtria, PROPN 

, SPACE 
Received, VERB 
15, NUM 
November, PROPN 
1995, NUM 
revised, VERB 
6, NUM 
February, PROPN 
1996, NUM 
accepted, VERB 
6, NUM 
February, PROPN 
1996, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
new, ADJ 
assay, NOUN 
measure, VERB 
cell, NOUN 
proliferation, NOUN 
turbidimetric, ADJ 
evaluation, NOUN 
cultures, NOUN 
specially, ADV 

, SPACE 
designed, VERB 
microtiter, NOUN 
plates, NOUN 
set, VERB 
IL-2, ADJ 
dependent, ADJ 
proliferation, NOUN 
CTLL-2, NOUN 
cell, NOUN 
line, NOUN 

, SPACE 
model, NOUN 
novel, ADJ 
microtiter, NOUN 
plate, NOUN 
detection, NOUN 
system, NOUN 
General, PROPN 
Cell, PROPN 
Screening, PROPN 
System, PROPN 

, SPACE 
GCSS, PROPN 
evaluation, NOUN 
cell, NOUN 
proliferation, NOUN 
assay, NOUN 
test, NOUN 
system, NOUN 
utilizes, VERB 

, SPACE 
population, NOUN 
growth, NOUN 
rate, NOUN 
CL, PROPN 
cells, NOUN 
tests, NOUN 
performed, VERB 
specially, ADV 
designed, VERB 
microtiter, NOUN 

, SPACE 
plates, NOUN 
read, VERB 
scanning, NOUN 
spectrophotometer, NOUN 
results, NOUN 
compared, VERB 

, SPACE 
calorimetric, NOUN 
assays, NOUN 
3-(4,5, ADJ 
dimethylthiazol-2, VERB 
yl)-2,5, NOUN 
diphenyltetrazolium, NOUN 
bromide, NOUN 
MTTI, NOUN 

, SPACE 
3-(4,5, NUM 
dimethylthiazol-2, NUM 
yl)-5-(3, PROPN 
carboxymethoxyphenyl~-2-(4, PROPN 
sulfophenyl)-2, PROPN 
H, PROPN 
tetrazolium, PROPN 

, SPACE 
inner, ADJ 
salt, NOUN 
MTS, PROPN 
substrates, NOUN 
contrast, NOUN 
conventional, ADJ 
methods, NOUN 
presently, ADV 
described, VERB 
system, NOUN 

, SPACE 
end, NOUN 
point, NOUN 
method, NOUN 
means, VERB 
cell, NOUN 
growth, NOUN 
observed, VERB 
certain, ADJ 
period, NOUN 

, SPACE 
limited, VERB 
single, ADJ 
moment, NOUN 
period, NOUN 
cell, NOUN 
growth, NOUN 
advantage, NOUN 

, SPACE 
reduction, NOUN 
manual, ADJ 
manipulations, NOUN 
avoidance, NOUN 
toxic, ADJ 
radioactive, ADJ 
substances, NOUN 

, SPACE 
organic, ADJ 
solvents, NOUN 
higher, ADJ 
number, NOUN 
samples, NOUN 
analyzed, VERB 
compared, VERB 

, SPACE 
methods, NOUN 
range, NOUN 
detection, NOUN 
0.015, NUM 
10, NUM 
units, NOUN 
IL-2, NOUN 
accuracy, NOUN 

, SPACE 
range, NOUN 
<, SYM 
0.005, NUM 
standard, ADJ 
deviation, NOUN 

, SPACE 
Kqwords, NOUN 
Interleukin-2, NOUN 
Proliferation, NOUN 
assay, NOUN 
General, PROPN 
cell, NOUN 
screening, NOUN 
system, NOUN 
Cytotoxic, PROPN 
T, PROPN 
cell, NOUN 
line, NOUN 
3-(4.5, NUM 
Di-, NOUN 

, SPACE 
methylthiazol-2, PROPN 
yl)-2,5, NOUN 
diphenyltetrazolium, NOUN 
bromide, NOUN 
3-(4.5, NUM 
Dimethylthiazol-2.yl)-5-(3, PROPN 
carboxymetho-, PROPN 

, SPACE 
xyphenyl)-2-(4, PROPN 
sulfophenyl)-2, PROPN 
H, PROPN 
tetrazolium, PROPN 

, SPACE 
Corresponding, VERB 
author, NOUN 
Fax, NOUN 
43, NUM 
1, NUM 
369, NUM 
7615, NUM 

, SPACE 
0165, NUM 
022X/96/$15.00, NUM 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
B.V., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
PII, PROPN 
SO1, PROPN 
65, NUM 
022X(96)00002, NUM 
4, NUM 

, SPACE 
1, NUM 
Introduction, NOUN 

, SPACE 
Determination, PROPN 
cytokines, NOUN 
growth, NOUN 
factors, NOUN 
biological, ADJ 
relevant, ADJ 
manner, NOUN 

, SPACE 
complex, ADJ 
assay, NOUN 
based, VERB 
growth, NOUN 
kinetics, NOUN 
Conventional, ADJ 
proliferation, NOUN 

, SPACE 
assays, NOUN 
points, NOUN 
considerations, NOUN 
culture, NOUN 
starting, VERB 
point, NOUN 
end, NOUN 
point, NOUN 

, SPACE 
culture, NOUN 
end, NOUN 
point, NOUN 
evaluated, VERB 
l-3, PROPN 
approach, NOUN 

, SPACE 
considered, VERB 
kinetics, NOUN 
assay, VERB 
Modifying, VERB 
conventional, ADJ 
assays, NOUN 
true, ADJ 
kinetics, NOUN 
assays, AUX 

, SPACE 
multiplies, NOUN 
number, NOUN 
cell, NOUN 
culture, NOUN 
experiments, NOUN 
number, NOUN 
observations, NOUN 

, SPACE 
kinetics, NOUN 
studies, NOUN 
described, VERB 
methods, NOUN 
limitation, NOUN 
cell, NOUN 

, SPACE 
culture, NOUN 
measured, VERB 
non, ADJ 
destructive, ADJ 
way, NOUN 
different, ADJ 
time, NOUN 
periods, NOUN 

, SPACE 
chosen, VERB 
IL-2, ADJ 
dependent, ADJ 
cell, NOUN 
line, NOUN 
CTLL-2, NOUN 
exemplary, ADJ 
model, NOUN 

, SPACE 
cytokine, ADJ 
induced, VERB 
proliferation, NOUN 
IL-2, NOUN 
considered, VERB 
major, ADJ 
regulatory, ADJ 

, SPACE 
molecules, NOUN 
immune, ADJ 
system, NOUN 
4, NUM 
61, NUM 
Interleukin-2, NOUN 
IL-2, NUM 
I8, NOUN 
kDa, PROPN 
glycopeptide, NOUN 

, SPACE 
produced, VERB 
activated, VERB 
T, PROPN 
lymphocytes, NOUN 
biological, ADJ 
processes, NOUN 
driven, VERB 
IL-2, NOUN 

, SPACE 
proliferation, NOUN 
and/or, CCONJ 
differentiation, NOUN 
T, PROPN 
lymphocytes, NOUN 
modulation, NOUN 
B-, PROPN 

, SPACE 
lymphocytes, VERB 
responses, NOUN 
increasing, VERB 
cytotoxic, ADJ 
activity, NOUN 
natural, ADJ 
killer, NOUN 
cells, NOUN 

, SPACE 
monocytes, NOUN 

, SPACE 
conventional, ADJ 
assays, NOUN 
commonly, ADV 
evaluate, VERB 
cell, NOUN 
proliferation, NOUN 
colorimet-, PROPN 

, SPACE 
ric, PROPN 
radioisotopic, ADJ 
assays, NOUN 
calorimetric, NOUN 
assay, NOUN 
2.71, NUM 
substrate, NOUN 
3-(45dimeth-, NUM 

, SPACE 
ylthiazol-2, PROPN 
yll-2.5diphenyltetrazolium, NOUN 
bromide, NOUN 
MTT, NOUN 
3-(45dimethylthiazol-2, NUM 
y@, NOUN 

, SPACE 
S-(3, PROPN 
carboxymethoxyphenyl)-3-(4, PROPN 
sulfophenyl)-2, PROPN 
H, PROPN 
tetrazolium, PROPN 
inner, ADJ 
salt, NOUN 
MTS, PROPN 
8, X 

, SPACE 
reduced, VERB 
mitochondrial, ADJ 
dehydrogenases, NOUN 
formazan, NOUN 
radioisotopic, NOUN 
assays, NOUN 

, SPACE 
measurement, NOUN 
DNA, PROPN 
synthesis, NOUN 
rate, NOUN 
growing, VERB 
cells, NOUN 
pulse, NOUN 
radiolabelled, VERB 

, SPACE 
nucleotides, NOUN 
performed, VERB 
3, NUM 

, SPACE 
order, NOUN 
avoid, VERB 
use, NOUN 
radioisotopes, NOUN 
toxic, ADJ 
tetrazolium, NOUN 
salts, NOUN 
developed, VERB 

, SPACE 
computer, NOUN 
controlled, VERB 
system, NOUN 
making, VERB 
possible, ADJ 
measure, VERB 
IL-2, ADJ 
dependent, ADJ 
prolifer-, NOUN 

, SPACE 
ation, NOUN 
CTLL-2, NOUN 
cells, NOUN 
manipulations, NOUN 

, SPACE 
principle, NOUN 
assay, NOUN 
based, VERB 
evaluation, NOUN 
turbidity, NOUN 
cell, NOUN 
culture, NOUN 

, SPACE 
measuring, VERB 
entire, ADJ 
volume, NOUN 
concentration, NOUN 
steps, NOUN 
General, PROPN 
Cell, PROPN 

, SPACE 
Screening, PROPN 
System, PROPN 
GCSS, PROPN 
allows, VERB 
quantification, NOUN 
particle, NOUN 
content, NOUN 

, SPACE 
non, ADJ 
homogeneously, ADV 
distributed, VERB 
suspensions, NOUN 

, SPACE 
turbidity, NOUN 
measurement, NOUN 
heavily, ADV 
dependent, ADJ 
cell, NOUN 
density, NOUN 
size, NOUN 
shape, NOUN 

, SPACE 
growth, NOUN 
pattern, NOUN 
cells, NOUN 
major, ADJ 
requirement, NOUN 
cell, NOUN 
count, NOUN 
determination, NOUN 

, SPACE 
development, NOUN 
special, ADJ 
designed, VERB 
GCSS, NOUN 
plates, NOUN 
plates, NOUN 
rectangular, ADJ 

, SPACE 
planconvex, NOUN 
shape, NOUN 
conical, ADJ 
