EUFWIER, PROPN 
March, PROPN 
1996, NUM 

, SPACE 
Materials, PROPN 
Letters, PROPN 
26, NUM 
19, NUM 
249, NUM 
257, NUM 

, SPACE 
Effect, PROPN 
source, NOUN 
gas, NOUN 
composition, NOUN 
synthesis, NOUN 
Sic, PROPN 
C, PROPN 

, SPACE 
functionally, ADV 
gradient, ADJ 
materials, NOUN 
CVD, PROPN 

, SPACE 
Yootaek, PROPN 
Kim, PROPN 
Jun, PROPN 
Tae, PROPN 
Choi, PROPN 
Jong, PROPN 
Koen, PROPN 
Choi, PROPN 
b, PROPN 
Keun, PROPN 
Ho, PROPN 
Auh, PROPN 

, SPACE 
Depan?nent, PROPN 
Materials, PROPN 
Science, PROPN 
Engineering, PROPN 
Kyonggi, PROPN 
University, PROPN 
won, VERB 
442, NUM 
760, NUM 
South, PROPN 
Korea, PROPN 

, SPACE 
b, PRON 
Ceramic, PROPN 
Materials, PROPN 
Research, PROPN 
Institute, PROPN 
Hanyang, PROPN 
University, PROPN 
Seoul, PROPN 
133, NUM 
791, NUM 
South, PROPN 
Korea, PROPN 

, SPACE 
Department, PROPN 
Ceramic, PROPN 
Engineering, PROPN 
Hanyang, PROPN 
University, PROPN 
Seoul, PROPN 
133, NUM 
791, NUM 
South, PROPN 
Korea, PROPN 

, SPACE 
Received, VERB 
19, NUM 
July, PROPN 
1995, NUM 
revised, VERB 
28, NUM 
August, PROPN 
1995, NUM 
accepted, VERB 
8, NUM 
September, PROPN 
1995, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
Sic, PROPN 
C, NOUN 
composite, ADJ 
layers, NOUN 
compositions, NOUN 
deposited, VERB 
graphite, NOUN 
substrates, NOUN 
chemical, NOUN 
vapor, NOUN 
deposition, NOUN 

, SPACE 
effects, NOUN 
C, PROPN 
l, NOUN 
C, PROPN 
+, PUNCT 
Sil, PROPN 
H,/[C, NOUN 
+, ADJ 
Si, PROPN 
ratios, NOUN 
source, NOUN 
gas, NOUN 
composition, NOUN 
growth, NOUN 
rate, NOUN 
preferred, ADJ 

, SPACE 
orientation, NOUN 
morphology, NOUN 
deposited, ADJ 
layers, NOUN 
studied, VERB 
revealed, VERB 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
H,/[C, NOUN 
+, CCONJ 
Si, PROPN 

, SPACE 
ratios, NOUN 
input, NOUN 
gas, NOUN 
affected, VERB 
carbon, NOUN 
content, NOUN 
deposited, VERB 
film, NOUN 
Sic, NOUN 
C, PROPN 
functionally, ADV 
gradient, ADJ 
materials, NOUN 
FGMs, PROPN 

, SPACE 
prepared, VERB 
basis, NOUN 
