ELSEWIER, PROPN 
June, PROPN 
1996, NUM 

, SPACE 
Materials, PROPN 
Letters, PROPN 
27, NUM 
1996, NUM 
77, NUM 
80, NUM 

, SPACE 
Diamond, PROPN 
coating, NOUN 
titanium, NOUN 
alloys, NOUN 
tempering, VERB 
temperature, NOUN 

, SPACE 
L., PROPN 
Vandenbulcke, PROPN 
D., PROPN 
Rats, PROPN 
R., PROPN 
Herbin, PROPN 

, SPACE 
Laboratoire, PROPN 
de, PROPN 
Combustion, PROPN 
et, NOUN 
Sysdmes, PROPN 
R&actifs, PROPN 
CNRS, PROPN 
IC, PROPN 
au, ADP 
de, PROPN 
la, PROPN 
Recherche, PROPN 
Scientijique, PROPN 
F-45071, NOUN 
O&ans, PROPN 
Cedex, PROPN 
2, NUM 
France, PROPN 

, SPACE 
Received, VERB 
11, NUM 
July, PROPN 
1995, NUM 
accepted, VERB 
30, NUM 
October, PROPN 
1995, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
Polycrystalline, PROPN 
diamond, NOUN 
films, NOUN 
deposited, VERB 
pure, ADJ 
titanium, NOUN 
Ti-6Al-4V, NOUN 
microwave, NOUN 
plasma, NOUN 
reactor, NOUN 

, SPACE 
CH,-H, PROPN 
CO, PROPN 
H, PROPN 
gas, NOUN 
mixtures, NOUN 
temperature, NOUN 
range, NOUN 
600, NUM 
900, NUM 
°, NUM 
C, NOUN 
X, NOUN 
ray, NOUN 
diffraction, NOUN 
scanning, VERB 
electron, NOUN 

, SPACE 
microscopy, PROPN 
Raman, PROPN 
spectroscopy, NOUN 
showed, VERB 
l-10, NOUN 
pm, PROPN 
diamond, NOUN 
layers, NOUN 
produced, VERB 
600, NUM 
°, NOUN 
C, NOUN 
fairly, ADV 
good, ADJ 

, SPACE 
crystallinity, NOUN 
residual1, NOUN 
stresses, NOUN 
limited, VERB 
5, NUM 
GPa, NOUN 
intrinsic, ADJ 
properties, NOUN 
heat, NOUN 
treated, VERB 
titanium, NOUN 
alloys, NOUN 

, SPACE 
maintained, VERB 
tempering, VERB 
temperature, NOUN 
spalling, NOUN 
occurred, VERB 
appropriate, ADJ 
pretreatment, NOUN 
carried, VERB 

, SPACE 
expect, VERB 
diamond, NOUN 
coated, VERB 
titanium, NOUN 
alloys, NOUN 
general, ADJ 
engineering, NOUN 
applications, NOUN 
low, ADJ 

, SPACE 
friction, NOUN 
coefficient, NOUN 
low, ADJ 
wear, NOUN 
rate, NOUN 
load, NOUN 
bearing, VERB 
capacity, NOUN 
necessary, ADJ 

, SPACE 
Kqvwords, NOUN 
Diamond, NOUN 
Titanium, NOUN 
alloys, NOUN 
Tempering, VERB 

, SPACE 
1, NUM 
Introduction, NOUN 

, SPACE 
Titanium, PROPN 
alloys, NOUN 
attractive, ADJ 
properties, NOUN 
includ-, VERB 

, SPACE 
ing, ADJ 
high, ADJ 
specific, ADJ 
strengths, NOUN 
moduli, NOUN 
coupled, VERB 

, SPACE 
relatively, ADV 
low, ADJ 
density, NOUN 
properties, NOUN 
led, VERB 

, SPACE 
use, NOUN 
titanium, NOUN 
alloys, NOUN 
aerospace, NOUN 
applications, NOUN 

, SPACE 
bioimplants, NOUN 
poor, ADJ 
wear, VERB 
resis-, X 

, SPACE 
tance, NOUN 
limited, VERB 
engineering, NOUN 
applications, NOUN 
Vari-, NOUN 

, SPACE 
ous, ADJ 
processes, NOUN 
applied, VERB 
titanium, NOUN 
alloy, NOUN 

, SPACE 
substrates, NOUN 
including, VERB 
thermochemical, ADJ 
treatments, NOUN 

, SPACE 
physical, ADJ 
PVD, PROPN 
chemical, NOUN 
vapor, NOUN 
deposition, NOUN 

, SPACE 
CVD, PROPN 
ll, AUX 
Diamond, NOUN 
like, ADJ 
carbon, NOUN 
amorphic, NOUN 

, SPACE 
polycrystalline, ADJ 
diamond, NOUN 
films, NOUN 
recently, ADV 

, SPACE 
deposited, VERB 
improve, VERB 
friction, NOUN 
erosion, NOUN 
proper-, NOUN 

, SPACE 
ties, NOUN 
titanium, NOUN 
alloy, NOUN 
substrates, NOUN 
2, NUM 
51, NUM 
previ-, NOUN 

, SPACE 
ous, ADJ 
studies, NOUN 
polycrynalline, NOUN 
diamond, NOUN 
films, NOUN 
presented, VERB 

, SPACE 
high, ADJ 
residual, ADJ 
compressive, ADJ 
stresses, NOUN 
7, NUM 

, SPACE 
GPa, NOUN 
deposition, NOUN 
carried, VERB 
800-, NUM 

, SPACE 
850, NUM 
°, NUM 
C, NOUN 
3,6, NUM 
mainly, ADV 
large, ADJ 
thermal, ADJ 

, SPACE 
expansion, NOUN 
mismatch, NOUN 
diamond, NOUN 
titanium, NOUN 

, SPACE 
Spalling, VERB 
generally, ADV 
occurs, VERB 
thin, ADJ 
layers, NOUN 
<, X 
1, NUM 
pm, NOUN 
peel, VERB 
cooling, VERB 
samples, NOUN 

, SPACE 
deposition, NOUN 
room, VERB 
temperature, NOUN 

, SPACE 
intrinsic, ADJ 
properties, NOUN 
heat, NOUN 
treated, VERB 
titanium, NOUN 

, SPACE 
alloy, NOUN 
substrates, NOUN 
retained, VERB 
temperatures, NOUN 

, SPACE 
higher, ADJ 
600, NUM 
°, NUM 
C, NOUN 

, SPACE 
lower, ADJ 
deposition, NOUN 
temperature, NOUN 
employed, VERB 

, SPACE 
minimize, VERB 
thermal, ADJ 
stresses, NOUN 
searched, VERB 

, SPACE 
high, ADJ 
nucleation, NOUN 
density, NOUN 
increase, VERB 
intrinsic, ADJ 

, SPACE 
stresses, NOUN 
generally, ADV 
tensile, ADJ 
diamond, NOUN 

, SPACE 
layers, NOUN 
7, NUM 
order, NOUN 
reduce, VERB 
total, ADJ 
residual, ADJ 
stresses, NOUN 

, SPACE 
Information, NOUN 
fiIm, PROPN 
microstructure, NOUN 
purity, NOUN 

, SPACE 
residual, ADJ 
stresses, NOUN 
provided, VERB 
X, NOUN 
ray, NOUN 

, SPACE 
diffraction, NOUN 
XRD, PROPN 
scanning, VERB 
electron, NOUN 
microscopy, ADJ 

, SPACE 
@EM, PROPN 
Raman, PROPN 
spectroscopy, NOUN 

, SPACE 
2, X 
Experimental, PROPN 

, SPACE 
Diamond, PROPN 
deposition, NOUN 
carried, VERB 
plasma, NOUN 

, SPACE 
tubular, ADJ 
reactor, NOUN 
crossed, VERB 
wave, NOUN 
guide, NOUN 
connected, VERB 

, SPACE 
00167, NUM 
577X/96/$12.00, NUM 
4, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
B.V., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
SSDI, PROPN 
0167, NUM 
577X(95)00258, NUM 
8, NUM 

, SPACE 
78, NUM 
L., PROPN 
Vandenbulcke, PROPN 
et, PROPN 
al, PROPN 
/Materials, PROPN 
Letters, NOUN 
27, NUM 
1996, NUM 
77, NUM 
80, NUM 

, SPACE 
1.2, NUM 
kW, NOUN 
microwave, NOUN 
generator, NOUN 
2.45, NUM 
GHz, NOUN 
Vari-, NOUN 

, SPACE 
ous, ADJ 
CH,-H, NOUN 
CO, PROPN 
H, PROPN 
gas, NOUN 
mixtures, NOUN 

, SPACE 
diamond, NOUN 
growth, NOUN 
generally, ADV 
carried, VERB 

, SPACE 
1, NUM 
CH, NOUN 
8, NUM 
CO, PROPN 
H, PROPN 
total, ADJ 
gas, NOUN 
flow, NOUN 

, SPACE 
rate, NOUN 
fixed, VERB 
200, NUM 
total, ADJ 
pressure, NOUN 

, SPACE 
maintained, VERB 
range, NOUN 
5-, PROPN 
10, NUM 
Torr, PROPN 
deposition, NOUN 

, SPACE 
temperature, NOUN 
measured, VERB 
axial, ADJ 
thermocouple, NUM 

, SPACE 
set, VERB 
0.5, NUM 
mm, NOUN 
deposition, NOUN 
surface, NOUN 

, SPACE 
varied, ADJ 
range, NOUN 
600, NUM 
900, NUM 
°, NUM 
C, NOUN 
cylindrical, ADJ 
sam-, NOUN 

, SPACE 
ples, NOUN 
18, NUM 
mm, NOUN 
diameter, NOUN 
7, NUM 
mm, NOUN 
thickness, NOUN 

, SPACE 
machined, VERB 
commercial, ADJ 
titanium, NOUN 
an-, X 

, SPACE 
nealed, ADJ 
Ti-6Al-4V, NOUN 
alloy, NOUN 
polished, ADJ 

, SPACE 
different, ADJ 
diamond, NOUN 
pastes, NOUN 
cleaned, VERB 
acetone, NOUN 

, SPACE 
ethanol, NOUN 
nucleation, NOUN 
density, NOUN 
enhanced, VERB 

, SPACE 
seeding, VERB 
surface, NOUN 
1, NUM 
pm, NOUN 
diamond, NOUN 
paste, NOUN 

, SPACE 
situ, NOUN 
pretreatment, NOUN 
applied, VERB 

, SPACE 
ensure, VERB 
adherence, NOUN 
films, NOUN 
deposited, VERB 
mod-, ADJ 

, SPACE 
erate, NOUN 
temperatures, NOUN 
8, NUM 

, SPACE 
Raman, PROPN 
measurements, NOUN 
performed, VERB 
back-, NOUN 

, SPACE 
scattering, VERB 
configuration, NOUN 
514.5, NUM 
nm, PROPN 
Ar, PROPN 
inci-, NOUN 

, SPACE 
dent, ADJ 
laser, NOUN 
beam, NOUN 
100, NUM 
mW, NUM 
power, NOUN 

, SPACE 
3, X 
Results, NOUN 
discussion, NOUN 

, SPACE 
XRD, PROPN 
revealed, VERB 
presence, NOUN 
diamond, NOUN 
non-, NOUN 

, SPACE 
stoichiometric, ADJ 
titanium, NOUN 
carbide, NOUN 
oxycarbide, VERB 

, SPACE 
titanium, NOUN 
Ti, ADJ 
phase, NOUN 
hexagonal, ADJ 
structure, NOUN 

, SPACE 
present, ADJ 
pure, ADJ 
titanium, NOUN 
/3, PROPN 
Ti, PROPN 
phase, NOUN 

, SPACE 
cubic, ADJ 
