cQ@J, NOUN 
li!B, PROPN 
July, PROPN 
1996, NUM 

, SPACE 
Materials, PROPN 
Letters, PROPN 
27, NUM 
1996, NUM 
2, NUM 
15, NUM 
2, NUM 
18, NUM 
ELSEVIER, NOUN 

, SPACE 
Photochromic, ADJ 
properties, NOUN 
silylated, VERB 
spirooxazine, NOUN 
sol, ADJ 
gel, NOUN 

, SPACE 
coatings, NOUN 

, SPACE 
L., PROPN 
Hou, PROPN 
a3, PROPN 
H., PROPN 
Schmidt, PROPN 
b, PROPN 

, SPACE 
Shanghai, PROPN 
Institute, PROPN 
Optics, PROPN 
Fine, PROPN 
Mechanics, PROPN 
Academia, PROPN 
Sinica, PROPN 
P.O., PROPN 
Box, PROPN 
800, NUM 
21, NUM 
201800, NUM 
Shanghai, PROPN 
China, PROPN 

, SPACE 
Insitutfir, PROPN 
Neue, PROPN 
Materialien, PROPN 
Geb.43, PROPN 
m, VERB 
Stadtwald, PROPN 
D-66123, VERB 
Saarbriicken, PROPN 
Germany, PROPN 

, SPACE 
Received, VERB 
25, NUM 
July, PROPN 
1995, NUM 
revised, VERB 
20, NUM 
November, PROPN 
1995, NUM 
accepted, VERB 
20, NUM 
November, PROPN 
1995, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
time, NOUN 
silylated, VERB 
spirooxazine, NOUN 
introduced, VERB 
organically, ADV 
modified, VERB 
ceramics, NOUN 
Ormocer, NOUN 
coatings, NOUN 

, SPACE 
sol, ADJ 
gel, NOUN 
method, NOUN 
photochromic, ADJ 
properties, NOUN 
studied, VERB 
compared, VERB 
free, ADJ 
non, ADJ 
silylated, ADJ 
spirooxazine, NOUN 

, SPACE 
results, NOUN 
reveal, VERB 
silylation, NOUN 
little, ADJ 
influence, NOUN 
spectroscopic, NOUN 
properties, NOUN 
photochromic, ADJ 
intensity, NOUN 

, SPACE 
silylated, VERB 
dye, NOUN 
Ormocer, PROPN 
coatings, NOUN 
level, NOUN 
free, ADJ 
dye, NOUN 
decolouration, NOUN 
rate, NOUN 
dye, NOUN 

, SPACE 
reduced, VERB 
silylation, NOUN 
decolouration, NOUN 
exhibits, VERB 
significant, ADJ 
deviation, NOUN 
order, NOUN 
kinetics, NOUN 
free, ADJ 
dye, NOUN 

, SPACE 
obeys, NOUN 
dye, NOUN 
matrix, NOUN 
connectivity, NOUN 

, SPACE 
Kepvrds, NOUN 
Sylilated, PROPN 
spirooxazine, NOUN 
Sol, PROPN 
gel, NOUN 
Photochromic, ADJ 
coating, VERB 

, SPACE 
1, NUM 
Introduction, NOUN 

, SPACE 
photochromic, ADJ 
material, NOUN 
characterized, VERB 

, SPACE 
ability, NOUN 
undergo, VERB 
reversible, ADJ 
colour, NOUN 
change, NOUN 

, SPACE 
states, NOUN 
having, VERB 
different, ADJ 
optical, ADJ 
absorption, NOUN 
spectra, NOUN 

, SPACE 
