l5B, NUM 
ELSEVIER, NOUN 

, SPACE 
Low, ADJ 
temperature, NOUN 
September, PROPN 
1996, NUM 

, SPACE 
Materials, PROPN 
Letters, PROPN 
28, NUM 
1996, NUM 
17, NUM 
20, NUM 

, SPACE 
preparation, NOUN 
perovskite, PROPN 
Pb, PROPN 
Sc0.5Ta, PROPN 
0, NUM 
thin, ADJ 

, SPACE 
films, NOUN 
MOCVD, PROPN 

, SPACE 
Donhang, PROPN 
Liu, PROPN 
Haydn, PROPN 
Chen, PROPN 

, SPACE 
Department, PROPN 
Materials, PROPN 
Science, PROPN 
Engineering, PROPN 
Materials, PROPN 
Research, PROPN 
Laboratory, PROPN 
Uniuersity, PROPN 
Illinois, PROPN 
Urbana, PROPN 
Champaign, PROPN 
IL, PROPN 

, SPACE 
61801, NUM 
Urbana, PROPN 
Champaign, PROPN 
USA, PROPN 

, SPACE 
Received, VERB 
12, NUM 
December, PROPN 
1995, NUM 
accepted, VERB 
16, NUM 
December, PROPN 
1995, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
Single, ADJ 
perovskite, ADJ 
phase, NOUN 
Pb(Sco,,Ta,,,)O, NOUN 
PST, PROPN 
thin, ADJ 
films, NOUN 
grown, VERB 
stage, NOUN 
MOCVD, NOUN 
method, NOUN 

, SPACE 
processing, NOUN 
temperature, NOUN 
600, NUM 
°, NOUN 
C, NOUN 
film, NOUN 
structure, NOUN 
function, NOUN 
Pb/(Sc, NOUN 
+, PROPN 
Ta, PROPN 
flow, NOUN 
ratio, NOUN 
determined, VERB 
X, NOUN 
ray, NOUN 

, SPACE 
diffraction, NOUN 
XRD, PROPN 
scanning, VERB 
electron, NOUN 
microscopy, ADJ 
@EM, PROPN 

, SPACE 
Keywords, NOUN 
Lead, ADJ 
scandium, NOUN 
tantalate, NOUN 
Ferroelectric, ADJ 
Pyroelectric, PROPN 
Imaging, PROPN 
Perovskite, PROPN 
Thin, ADJ 
films, NOUN 
MOCVD, PROPN 
Silicon, PROPN 
substrates, NOUN 
Low, ADJ 

, SPACE 
temperature, NOUN 
deposition, NOUN 

, SPACE 
1, NUM 
