cm, PROPN 
ll!B, VERB 
September, PROPN 
1996, NUM 

, SPACE 
ELSEVIER, PROPN 
Materials, PROPN 
Letters, PROPN 
28, NUM 
1996, NUM 
183-, NUM 
188, NUM 

, SPACE 
Formation, PROPN 
Pb, PROPN 
Fe, PROPN 
1, NUM 
Ta, PROPN 
1,2, NUM 
0, NUM 
thin, ADJ 
films, NOUN 
sol, ADJ 
gel, NOUN 
processing, NOUN 

, SPACE 
Qingxin, PROPN 
Su, PROPN 
l, PROPN 
Ji, PROPN 
Zhou, PROPN 
K.M., PROPN 
Moulding, PROPN 
D.J., PROPN 
Barber, PROPN 

, SPACE 
Physics, PROPN 
Department, PROPN 
Hong, PROPN 
Kong, PROPN 
Unicersiq, PROPN 
Science, PROPN 
Technology, PROPN 
Clear, PROPN 
Water, PROPN 
Bay, PROPN 
Kowloon, PROPN 
Hong, PROPN 
Kong, PROPN 

, SPACE 
Received, VERB 
8, NUM 
January, PROPN 
1996, NUM 
accepted, VERB 
23, NUM 
January, PROPN 
1996, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
Pb(Fe, PROPN 
Ta, PROPN 
2, NUM 
>, NOUN 
O, NOUN 
PFT, PROPN 
thin, ADJ 
films, NOUN 
perovskite, PROPN 
structure, NOUN 
prepared, VERB 
successfully, ADV 
Si(II1, NOUN 
substrates, NOUN 

, SPACE 
sol, ADJ 
gel, NOUN 
process, NOUN 
crystallinity, NOUN 
thin, ADJ 
films, NOUN 
characterized, VERB 
X, NOUN 
ray, NOUN 
diffraction, NOUN 
micro, PROPN 
structures, NOUN 

, SPACE 
observed, VERB 
transmission, NOUN 
electron, NOUN 
microscopy, NOUN 
TEM, PROPN 
found, VERB 
perovskite, ADJ 
phase, NOUN 
formed, VERB 

, SPACE 
excess, ADJ 
lead, NOUN 
content, NOUN 
stoichiometric, ADJ 
composition, NOUN 
primary, ADJ 
perovskite, NOUN 
phase, NOUN 
strong, ADJ 
1, NUM 
IO, PROPN 
orientation, NOUN 

, SPACE 
obtained, VERB 
annealing, VERB 
temperatures, NOUN 
680, NUM 
°, NOUN 
C, NOUN 
730, NUM 
°, NUM 
C, NOUN 

, SPACE 
Keywords, PROPN 
PFT, PROPN 
Perovskite, PROPN 
Ferroelectric, ADJ 
Thin, ADJ 
films, NOUN 
Sol, PROPN 
gel, PROPN 
Orientation, PROPN 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
Growing, VERB 
demand, NOUN 
ferroelectric, ADJ 
materials, NOUN 

, SPACE 
device, NOUN 
capability, NOUN 
produced, VERB 
great, ADJ 
interest, NOUN 

, SPACE 
fabrication, NOUN 
ferroelectric, ADJ 
thin, ADJ 
films, NOUN 
controlled, VERB 

, SPACE 
microstructures, NOUN 
Thin, ADJ 
films, NOUN 
epitaxial, ADJ 
oriented, VERB 

, SPACE 
structures, NOUN 
preferred, ADJ 
electronic, ADJ 

, SPACE 
photo, NOUN 
optic, NOUN 
devices, NOUN 
non, ADJ 
volatile, ADJ 
memo-, NOUN 

, SPACE 
ries, NOUN 
surface, NOUN 
acoustic, ADJ 
wave, NOUN 
devices, NOUN 
optical, ADJ 
wave-, NOUN 

, SPACE 
guides, NOUN 
1,2, NUM 
Sol, PROPN 
gel, PROPN 
processing, NOUN 
promising, VERB 

, SPACE 
preparation, NOUN 
epitaxial, ADJ 
oriented, VERB 
ferroelectric, ADJ 
thin, ADJ 

, SPACE 
films, NOUN 
established, VERB 
methods, NOUN 
epitaxial, ADJ 

, SPACE 
growth, NOUN 
MOCVD, PROPN 
MBE, PROPN 
distinct, ADJ 

, SPACE 
advantages, NOUN 
sol, ADJ 
gel, NOUN 
method, NOUN 
include, VERB 
good, ADJ 
con-, X 

, SPACE 
Corresponding, VERB 
author, NOUN 

, SPACE 
Present, ADJ 
address, NOUN 
Manchester, PROPN 
Materials, PROPN 
Science, PROPN 
Centre, PROPN 
Uni-, PROPN 

, SPACE 
versity, NOUN 
Manchester, PROPN 
UMIST, PROPN 
Grosvenor, PROPN 
Street, PROPN 
Manchester, PROPN 

, SPACE 
MI, PROPN 
7HS, NUM 
UK, PROPN 
trol, NOUN 
composition, NOUN 
structural, ADJ 
chemical, NOUN 
uni-, NOUN 

, SPACE 
formity, NOUN 
low, ADJ 
cost, NOUN 
Recently, ADV 
preferred, ADJ 
orientation, NOUN 

, SPACE 
epitaxy, PROPN 
ferroelectric, ADJ 
thin, ADJ 
films, NOUN 
different, ADJ 

, SPACE 
substrates, NOUN 
reported, VERB 
authors, NOUN 
cor-, ADV 

, SPACE 
responding, VERB 
thin, ADJ 
film, NOUN 
ferroelectric, ADJ 
compounds, NOUN 
include, VERB 

, SPACE 
PbTiO, PROPN 
31, NUM 
Pb(Zr, PROPN 
.Ti.)O, PROPN 
PZT, PROPN 
141, NUM 

, SPACE 
Pb(Mg,,,Nb,,,)O, PROPN 
PMN, PROPN 
5, NUM 
LiNbO, NOUN 
6, NUM 

, SPACE 
shown, VERB 
epitaxy, PROPN 
orientation, NOUN 
behavior, NOUN 

, SPACE 
depends, VERB 
factors, NOUN 
especially, ADV 
structure, NOUN 

, SPACE 
orientation, NOUN 
substrate, NOUN 
heat, NOUN 
treat-, X 

, SPACE 
ment, ADJ 
conditions, NOUN 

, SPACE 
Pb(Fe,,,Ta,,,)O, PROPN 
PFT, PROPN 
lead, NOUN 
based, VERB 
ferro-, NUM 

, SPACE 
electric, ADJ 
material, NOUN 
crystallizes, VERB 
general, ADJ 

, SPACE 
perovskite, ADJ 
structure, NOUN 
ABO, PROPN 
compound, NOUN 
cubic, ADJ 

, SPACE 
paraelectric, ADJ 
room, NOUN 
temperature, NOUN 
Curie, PROPN 

, SPACE 
temperature, NOUN 
T, PROPN 
-40, PRON 
°, NUM 
C, NOUN 
previ-, NOUN 

, SPACE 
ous, ADJ 
research, NOUN 
material, NOUN 
indicates, VERB 
random, ADJ 

, SPACE 
distribution, NOUN 
B, NOUN 
site, NOUN 
ions, NOUN 
Fe3, PROPN 
+, CCONJ 
