Nuclear, ADJ 
lnsuumentc, NOUN 
Methods, PROPN 
hys, PROPN 
~, PUNCT 
c, NOUN 
Research, PROPN 
B, PROPN 
IOR, PROPN 
15, NUM 
fl, ADP 
0, NUM 
I3, PROPN 

, SPACE 
C, PROPN 
H, PROPN 
L, PROPN 
E!!B, NOUN 

, SPACE 
ELSEVIER, NOUN 

, SPACE 
new, ADJ 
technique, NOUN 
measure, VERB 
etch, NOUN 
rate, NOUN 
mica, PROPN 

, SPACE 
E., PROPN 
Fmm;;u, PROPN 
a., PROPN 
D., PROPN 
Snowden, PROPN 
lfft, PROPN 
ah, INTJ 

, SPACE 
Absttmct, PROPN 

, SPACE 
dm, AUX 
~, PROPN 
lopcd, NOUN 
ryw, NOUN 
l&tnupc, NOUN 
mcasurmg, PROPN 
gcnctal, ADJ 
etch, PROPN 
ntc, PROPN 
mica, PROPN 
m, PROPN 
hyclrofltxxic, ADJ 
awl, NOUN 
Iasc~, PROPN 

, SPACE 
interfemmcter, NOUN 
montlor, VERB 
thwtncss, NOUN 
9’~, PROPN 
sampk, NOUN 
tt, PROPN 
etches, NOUN 
l&s, PROPN 
Icchnq~~~, PROPN 
lx, INTJ 
etlcnckd, VERB 
10, NUM 
othcf, NOUN 
maLen, PROPN 

, SPACE 
etchmts, NOUN 

, SPACE 

, SPACE 
1, NUM 

, SPACE 
Tk, PROPN 
efqy, VERB 
dcposatial, ADJ 
o, NOUN 
heavy, PROPN 
Ym5, PROPN 
cn, NUM 
4xlsc, NUM 
lacnr, NOUN 

, SPACE 
avlr, PROPN 
fotmabab, PROPN 
m, PROPN 
mtca, ADJ 
lhcu, PROPN 
trrh, PROPN 
fwcakd, NOUN 

, SPACE 
e&r@, PROPN 
chemical, PROPN 
ekiiiz, NOUN 
W&I, PROPN 
mmmed, VERB 
tn, INTJ 

, SPACE 
chmt, NOUN 
SUCJI, PROPN 
m, PROPN 
hyxirnfluonc, PROPN 
acd, PROPN 
HF, PROPN 
mm, PROPN 
w, NOUN 
ll, PROPN 
c&h, PROPN 
wth, NOUN 

, SPACE 
rgendetdImeofoT, PROPN 
pefpe?dicu, NOUN 
~, NOUN 
tothcckrv~, NOUN 

, SPACE 
pbruhikckhiftgtifhm.3~~i, NOUN 
akmgtJtcprth, NOUN 

, SPACE 
oCtheprtick[l, X 
~, PUNCT 
Thr, PROPN 
~, X 
etch.-aucsmuchhtgb, PROPN 

, SPACE 
c,-loou, PROPN 
TtXkxfamwiEn, PROPN 
r==C:/CI, PROPN 
>, X 
I., PROPN 
ln, ADJ 
I%3, NOUN 

, SPACE 
Pticeaadwaikefd&ove&thatforEacksfmnedby, NOUN 

, SPACE 
r%sian, PROPN 
~, NOUN 
T(isso~~sisconddc.adtobe, X 

, SPACE 
dinite, NOUN 
2, NUM 
Ihis, PROPN 
reasm, NOUN 
CXpeIimae, PROPN 
c, PROPN 
g., NOUN 
farion, NOUN 
a-, PROPN 

, SPACE 
tiag+thmuscfibanthgmaNsdonotrcquircaprecise, VERB 

, SPACE 
-of, PRON 
cL.RaznUyanAbnnicFmrM~, ADJ 

, SPACE 
rcope(AFM)hrbearusedtostudysmallarts(etchcd, PROPN 

, SPACE 
dt, PROPN 
~, PUNCT 
th, X 
-~l, PROPN 
~, PUNCT 
A)f, NOUN 
~, X 
iarn, VERB 
~, PUNCT 
~, NOUN 
~, PUNCT 
awrgy, NOUN 

, SPACE 
ions[31ByusingtheAFMwe, PROPN 
~, VERB 
abktoduetmineuack, ADV 

, SPACE 
pthswithares&&mof&s.6ms, NOUN 
Forthesecrpefi-, NOUN 

, SPACE 
mews, VERB 
salsitive, ADJ 
nntawmmtof, PROPN 
c, PROPN 
iscnticaltob5cr-, PROPN 

, SPACE 
mining, NOUN 
s., VERB 
Unf, PROPN 
tlrtlmely, ADV 
CuITwt, NOUN 
bxlaiques, NOUN 
far, ADV 
measuf’ng, NOUN 

, SPACE 
uL, PUNCT 
arci~., X 

, SPACE 
Simple, ADJ 
tecmiquer, NOUN 
thickness, NOUN 
mcwltemcnl, NOUN 

, SPACE 
ing, VERB 
micranaer, NOUN 
weight, NOUN 
loss, NOUN 
reqi, NOUN 
~, NOUN 
ite, VERB 
tJbe, PROPN 
removal, NOUN 

, SPACE 
appmximately, ADV 
IO, PROPN 
+, ADP 
rn, ADP 
material, NOUN 
zcutate, NOUN 
mea-, ADJ 

, SPACE 
surements, NOUN 
Muscovite, PROPN 
mica, PROPN 
typically, ADV 
etches, VERB 
tate, NOUN 

, SPACE 
0.01, NUM 
0.03, NUM 
rm, PROPN 
h, NOUN 
making, VERB 
technique, NOUN 
imprazticai, NOUN 
Sev-, PROPN 

, SPACE 
emltnotesophi&catedtechniqueshavebeentried, VERB 
Inl977, PROPN 

, SPACE 
I)artygeetal.[4]shdiedthccrosssta, PROPN 
~, NOUN 
~, NOUN 
zionaaclrs, NOUN 

, SPACE 
assumed, VERB 
anisotropic, NOUN 
nata, NOUN 
etching, VERB 

, SPACE 
couklbesummarizedbythreeratespetpendiculartothe, ADJ 

, SPACE 
thrre, PROPN 
planes, NOUN 
mica, NOUN 
mica, NOUN 
cleaved, VERB 

, SPACE 
l, NOUN 
Corresponding, PROPN 
author, NOUN 
e, X 
mail, NOUN 
freernan@dilbert+bericeley.edu, PROPN 
rr, VERB 
I-, PRON 
pLurLonc, X 
~, PUNCT 
fthcvratcsvouldhcarnezMr~, NUM 

, SPACE 
r?Cnt, NOUN 
~, PUNCT 
R, NOUN 
~magme, X 
pmnt, NOUN 
source, NOUN 

, SPACE 
etchant, NOUN 
rt,-, ADJ 
mbca, NOUN 
poiyWmr, PROPN 
wa, NOUN 
~, PROPN 
kl, PROPN 
formed, VERB 
de-, X 

, SPACE 
f;d, PROPN 
b, PROPN 
x, PROPN 
II~~IOII, PROPN 
crh, ADJ 
play, NOUN 
uudytng, ADJ 

, SPACE 
nwnamal, ADJ 
d, X 
Ii,.:ro, PROPN 
track5, PROPN 
WI, PROPN 
vmaA5, PROPN 
dnelvatKm, ADJ 

, SPACE 
plmcstJq, PROPN 
Ihl,~yhtdrocrandexbnodlhe, ADJ 

, SPACE 
etchnw, PROPN 
Thirmefhodattobextremelym&rectrdnot, NOUN 

, SPACE 
ripmu5ly, NOUN 
med, ADJ 
l%S, NOUN 
Rice, PROPN 
-uJ, PROPN 
ofm(uala, ADP 

, SPACE 
strpu, NOUN 
nissw, ADV 
rn+ctic, ADJ 
tnauqmk, NOUN 
rcrch, NOUN 
15, NUM 
Tlr, PROPN 
Jph, PROPN 

, SPACE 
decaycha5du~“andlll~‘2, PROPN 
prxxhlaeschab&L, NOUN 
~, PUNCT 
cn, PROPN 

, SPACE 
mical%eInicaisiMa3s, PROPN 
~, PUNCT 
verotbcalphas.~d3cl~--rw’-, X 

, SPACE 
ny&ughcfsabngthedaaych8inspoQwruack5~, PROPN 

, SPACE 
althoughvayshurt.arvlzibkinm+icaimbosqre, NOUN 

, SPACE 
Tbegenedewhraewasdedudbymtaurmgthc, PROPN 

, SPACE 
mcfc.awinbrcsurfax&nsityofdwoctakswithin-, X 

, SPACE 
c, ADV 
eased, VERB 
etching, VERB 
linear, ADJ 
rebanship, NOUN 
EMEUI, INTJ 
n-, X 

, SPACE 
s, PROPN 
~, PUNCT 
ty, PRON 
time, NOUN 
mfer, VERB 
etch, NOUN 
ntc, NOUN 

, SPACE 
techniques, NOUN 
resulted, VERB 
III, NUM 
dlfbrnt, VERB 
values, NOUN 
C-, PROPN 

, SPACE 
illustrated, VERB 
Table, PROPN 
motivattan, NOUN 
ntw, NOUN 

, SPACE 
teclmiqbu, NOUN 
wa5, NOUN 
resolve, VERB 
dlwty, NOUN 
pnious, ADJ 
m&h-, PROPN 

, SPACE 
o&almrequmdalasge, NOUN 
amamtrAtimcandcllefgymtk, NOUN 

, SPACE 
studyofjustonetypeofmicaWeexpectdifferentmicas, X 

, SPACE 
tohavediffereae%hmesamlwemedtobeabktomake, VERB 

, SPACE 
nwasurements, NOUN 
quickly, ADV 
easily, ADV 
Fina!ly, PUNCT 

, SPACE 
the5e, PROPN 
mcthocb, NOUN 
fequife, NOUN 
assumptions, NOUN 
etchmg, NOUN 

, SPACE 
chanaaistics, PROPN 
mica, PROPN 
optical, ADJ 
interferometer, NOUN 
tech-, NOUN 

, SPACE 
niqucdratwehPvedtvelopodiseasylouxanddatsnot, ADV 

, SPACE 
ely, ADV 
assumptions, NOUN 

, SPACE 
Weuseaninterfcruncwto, PROPN 
measurethechangeinthe, VERB 

, SPACE 
thickness, NOUN 
mica, NOUN 
etches, VERB 
interferetbx, NOUN 
pattent, NOUN 

, SPACE 
produced, VERB 
phase, NOUN 
diffenaxe, NOUN 
Ag, PROPN 

, SPACE 
beams, NOUN 
reflected, VERB 
surfaces, NOUN 
setup, NOUN 

, SPACE 
Ol68, PROPN 
583X/%/$15.00, PROPN 
0, NUM 
19, NUM 
Elsevier, ADJ 
Science, PROPN 
B.V., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
S.sD, NOUN 
0168, NUM 
583X(95)00979, NUM 
5, NUM 

, SPACE 
30, NUM 
E., PROPN 
Freeman, PROPN 
0, PUNCT 
Smwien, PROPN 
lfR, PROPN 
Nucl, PROPN 
lnsw, PROPN 
Merh, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
108, NUM 
19961, NUM 
129, NUM 
132, NUM 

, SPACE 
hg, PROPN 
1, X 
Expcnmcntal, ADJ 
utup, NOUN 

, SPACE 
sketched, VERB 
Fig, PROPN 
I., NOUN 
photo, NOUN 
monitor, VERB 

, SPACE 
intensity, NOUN 
fringe, NOUN 
pattern, NOUN 
IIe, NOUN 
voltage, NOUN 
diode, NOUN 

, SPACE 
measured, VERB 
cycles, NOUN 
fringe, NOUN 
pattern, NOUN 
moves, VERB 

, SPACE 
mica, PROPN 
removed, VERB 
given, VERB 

, SPACE 
A4, NOUN 

, SPACE 
1, NUM 

, SPACE 
h1, VERB 
a\, NUM 
t, PROPN 
r, PRON 
y, NOUN 
.dr, PUNCT 
16, NUM 
mcr, PROPN 
n, CCONJ 
nz, PROPN 
c, NOUN 
re-, ADV 

, SPACE 
sent, VERB 
tttc, NOUN 
index, NOUN 
r&action, NOUN 
liquid, NOUN 
mka, PROPN 

, SPACE 
respectively, ADV 
ad, NOUN 
8, NUM 
angk, NOUN 
incident, NOUN 
light, NOUN 
relative, NOUN 

, SPACE 
surface, NOUN 
Measuring, VERB 
8, NUM 
rcur8tcly, NOUN 
expcrimarc, NOUN 

, SPACE 
difficult, ADJ 
Focr, ADJ 
~, PUNCT 
natcly, ADV 
Eq, PROPN 
1, X 
maxim&d, PROPN 
8, NUM 
0, NUM 

, SPACE 
beam, NOUN 
normal, ADJ 
mica, PROPN 
surface, NOUN 

, SPACE 
gA, NOUN 

, SPACE 
1’1, NOUN 
=, NOUN 
2n, NUM 
4tly, ADV 
2, NUM 

, SPACE 
Table, NOUN 

, SPACE 
Measurements, NOUN 
r, NOUN 
different, ADJ 
micas, NOUN 
Note, VERB 
n, CCONJ 
drops, VERB 
tie, NOUN 
equation, NOUN 

, SPACE 
required, VERB 
meast*re, VERB 
index, NOUN 
refraction, NOUN 
HF, PROPN 

, SPACE 
0ne, NOUN 
st.engths, NOUN 
technique, NOUN 
