~~, ADJ 

, SPACE 
~, PUNCT 

, SPACE 
ELSEVIERNuclearInstruments, PROPN 
andMethodsinPhysicsResearchB108(1996, ADJ 
223, NUM 
226, NUM 

, SPACE 
Energyloss, PROPN 
MeV, PROPN 
heavy, ADJ 
ions, NOUN 
carbon*BeamInteractions, NOUN 

, SPACE 
withMaterials, NOUN 
Atoms, PROPN 

, SPACE 
V., PROPN 
Hari, PROPN 
kumar, PROPN 
A.P.Pathak, PROPN 
a,*,S.K., PROPN 
Sharma, PROPN 
b, PROPN 
Shyamkumar, PROPN 
b, PROPN 
N., PROPN 
Nath, PROPN 
b, PROPN 
D., PROPN 
Kabiraj, PROPN 
c, PROPN 

, SPACE 
D.K.Avasthi, PROPN 
c, PROPN 

, SPACE 
aSchoolofPhysics, PROPN 
University, PROPN 
ofHyderabad, PROPN 
Hyderabad, PROPN 
-500046, PROPN 
India, PROPN 

, SPACE 
bPhysicsDepartment, NOUN 
Kurukshetra, PROPN 
University, PROPN 
Kurukshetra, PROPN 
-132119,India, NUM 

, SPACE 
CNuclearScienceCentre, PROPN 
P.O., PROPN 
Box, PROPN 
10502, NUM 
New, PROPN 
Delhi-110067, PROPN 
India, PROPN 

, SPACE 
Received, VERB 
14March1995;revisedformreceived22August, NUM 
1995, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
novel, NOUN 
technique, NOUN 
secondary, ADJ 
forward, PROPN 
recoil, NOUN 
ions, NOUN 
generated, VERB 
thinstandard, NOUN 
targets, NOUN 
energetic, ADJ 
heavy, ADJ 

, SPACE 
primary, ADJ 
ion, NOUN 
beam, NOUN 
employed, VERB 
measure, VERB 
energy, NOUN 
loss, NOUN 
ion, NOUN 
species, NOUN 
21=8, NUM 
29, NUM 
covering, VERB 
energies, NOUN 

, SPACE 
0.1, NUM 
1.0, NUM 
MeV, NOUN 
/u, PUNCT 
Energyvariation, NOUN 
simply, ADV 
affected, VERB 
bychanging, VERB 
thedetector, NOUN 
anglebetween, NOUN 
35, NUM 
°, NUM 
70, NUM 
°, NUM 

, SPACE 
avoiding, VERB 
thedominant, ADJ 
elasticscattering, NOUN 
primary, ADJ 
beam, NOUN 
twin, NOUN 
detectorpermitted, VERB 
simultaneous, ADJ 
measurement, NOUN 

, SPACE 
unabsorbed, PROPN 
andabsorbed, PROPN 
spectra, PROPN 
experimental, ADJ 
data, NOUN 
onstopping, VERB 
powerarecompared, VERB 
withevaluated, ADJ 
values, NOUN 
LSS, PROPN 

, SPACE 
theory, NOUN 
TRIM, NOUN 
betterunderstanding, NOUN 
validity, NOUN 
available, ADJ 
theoretical, ADJ 
evaluations, NOUN 
hasbecomepossible, ADJ 

, SPACE 
need, NOUN 
higher, ADJ 
precision, NOUN 
inexperimental, ADJ 
data, NOUN 
cases, NOUN 

, SPACE 
1.Introduction, PROPN 

, SPACE 
Heavy, ADJ 
ion, NOUN 
beams, NOUN 
MeV, PROPN 
range, NOUN 
increasingly, ADV 

, SPACE 
near, ADJ 
surface, NOUN 
characterisation, NOUN 
andmodifica­, PROPN 

, SPACE 
tion, NOUN 
ofmaterials, NOUN 
devices, NOUN 
Precisevalues, NOUN 
energy, NOUN 
loss, NOUN 

, SPACE 
rates, NOUN 
essential, ADJ 
parameters, NOUN 
studies, NOUN 

, SPACE 
beensystematically, ADV 
carrying, VERB 
outstopping, VERB 
powerexperi­, NOUN 

, SPACE 
ments, NOUN 
low, ADJ 
energy, NOUN 
region, NOUN 
heavy, ADJ 
ions, NOUN 
21=8­, NUM 

, SPACE 
29, NUM 
broaderperspective, ADJ 
tosupplement, NOUN 
theinsuffi­, NOUN 

, SPACE 
cientstopping, VERB 
powerdataavailable, ADJ 
region, NOUN 
Itwas, PROPN 

, SPACE 
theoretically, ADV 
predicted, VERB 
the21oscillations, NOUN 
elec­, ADJ 

, SPACE 
tronicstopping, NOUN 
power[1, NOUN 
dampout, VERB 
in­, ADJ 

, SPACE 
creasestheprojectile, ADJ 
velocity, NOUN 
2;-3, NUM 
a.u, NOUN 
velocity, NOUN 

, SPACE 
2, NUM 
far, ADV 
prediction, NOUN 
haseludedexperimental, NOUN 
verifica­, PROPN 

, SPACE 
tion, NOUN 
inadequate, ADJ 
stopping, VERB 
powerdata, NOUN 
region, NOUN 

, SPACE 
Elastic, PROPN 
Recoil, PROPN 
Detection, PROPN 
Analysis, PROPN 

, SPACE 
ERDA, PROPN 
techniques, VERB 
todeduceelectronic, ADJ 
stopping, VERB 
power, NOUN 

, SPACE 
values, NOUN 
carbonfor, ADJ 
heavy, ADJ 
ions, NOUN 
secondary, ADJ 
ion, NOUN 

, SPACE 
beams, NOUN 
projectile, NOUN 
ions, NOUN 
ERDAprovides, NOUN 

, SPACE 
-irPresented, VERB 
brieflyat, NOUN 
13th, NOUN 
Int, PROPN 
Conf, PROPN 
Applications, PROPN 

, SPACE 
Accelerators, NOUN 
inResearchandIndustry, NOUN 
Denton(USA),7, PROPN 
10Nov, NOUN 

, SPACE 
1994, NUM 

, SPACE 
•Corresponding, VERB 
author, NOUN 
Tel.+9140258500(direct:258227, PROPN 

, SPACE 
fax+9140258145and258120,e-mail:appsp@uohyd.emet.in.greaterflexibility, NOUN 
tochooseprojectile, NOUN 
heavy, ADJ 
ions, NOUN 

, SPACE 
changing, VERB 
beam, NOUN 
source, NOUN 
achieved, VERB 
fo­, PROPN 

, SPACE 
cussingtheprimary, ADJ 
beam, NOUN 
appropriate, ADJ 
thin, ADJ 
target, NOUN 

, SPACE 
fixed, VERB 
target, NOUN 
ladder, NOUN 
scattering, VERB 
chamber, NOUN 

, SPACE 
species, NOUN 
light, ADJ 
medium, ADJ 
secondary, ADJ 
ions(projectiles, NOUN 

, SPACE 
obtained, VERB 
bymerelychanging, VERB 
target, NOUN 

, SPACE 
single, ADJ 
loading, NOUN 
ladder, NOUN 
Different, ADJ 
energies, NOUN 

, SPACE 
secondary, ADJ 
ion, NOUN 
beam, NOUN 
selected, VERB 
bychanging, VERB 

, SPACE 
detection, NOUN 
angle, NOUN 
facilities, NOUN 
help, VERB 
optimise, VERB 

, SPACE 
beam, NOUN 
time, NOUN 
utilization, NOUN 
Simultaneous, ADJ 
detection, NOUN 
ab­, NOUN 

, SPACE 
sorbed, VERB 
unabsorbed, ADJ 
spectraatdifferent, NOUN 
energieshelps, NOUN 
avoid, VERB 

, SPACE 
repeated, VERB 
openingandclosingoftheexperimental, ADJ 
chamber, NOUN 

, SPACE 
Thetheoretical, ADJ 
approach, NOUN 
3,4, NUM 
stopping, VERB 
cross, NOUN 
sec­, NOUN 

, SPACE 
tions, NOUN 
heavy, ADJ 
ions, NOUN 
matterhas, PROPN 
incorporated, VERB 

, SPACE 
semi, ADJ 
empirical, ADJ 
way, NOUN 
5,6, X 
existing, VERB 
methods, NOUN 

, SPACE 
TRIMcodetabulations, PROPN 
6,7, NUM 
limited, VERB 
avail­, PROPN 

, SPACE 
ability, NOUN 
energyloss, NOUN 
data, NOUN 
MeV, PROPN 
heavy, ADJ 
ions, NOUN 

, SPACE 
deviations, NOUN 
noted, VERB 
8, NUM 
respect, NOUN 
TRIM, VERB 

, SPACE 
values, NOUN 

, SPACE 
Ourpreliminary, PROPN 
study, NOUN 
stopping, VERB 
powers, NOUN 
Mylar, PROPN 

, SPACE 
foils, NOUN 
160and48Tiions, NOUN 
9, X 
mentioned, VERB 

, SPACE 
novelapproach, NOUN 
approach, NOUN 
ofemploying, VERB 
sec­, NOUN 

, SPACE 
ondary, ADJ 
recoil, NOUN 
ion, NOUN 
beams, NOUN 
variable, ADJ 
energies, NOUN 
obtained, VERB 

, SPACE 
heavy, ADJ 
primaryionspecies)and, NOUN 
provision, NOUN 

, SPACE 
simultaneously, ADV 
detecttheunabsorbed, VERB 
absorbed, VERB 
spec­, PROPN 

, SPACE 
tra, NOUN 
extended, VERB 
tootherion, NOUN 
species, NOUN 

, SPACE 
carbonfoil, NOUN 
asabsorber, NOUN 
Asimilartechnique, PROPN 

, SPACE 
stopping, VERB 
powermeasurements, NOUN 
byanothergroup, NOUN 

, SPACE 
10, NUM 

, SPACE 
0168, NUM 
583Xj96jSlS.OO, NOUN 
©, PROPN 
1996ElsevierScienceB.V., PROPN 
Allrights, PROPN 
reserved, VERB 

, SPACE 
SSDlOI68, ADJ 
583X(9S)OI053, NUM 
X, NOUN 

, SPACE 
224, NUM 
V., PROPN 
Hari, PROPN 
kumar, PROPN 
et, PROPN 
at./Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
inPhys, NOUN 
Res, PROPN 
B, PROPN 
108, NUM 
996)223, NUM 
226, NUM 

, SPACE 
2.Experimental, ADJ 
information, NOUN 
New, PROPN 
Delhi, PROPN 
India, PROPN 
collimated, VERB 
primary, ADJ 
ion, NOUN 
beams, NOUN 

, SPACE 
89, NUM 
MeV, PROPN 
Iodine, PROPN 
wasused, VERB 
tocreate, NOUN 
secondaryrecoil, NOUN 
ionsof, NOUN 

, SPACE 
ThedE, PROPN 
dxmeasurements, NOUN 
carried, VERB 
desired, VERB 
species, NOUN 
thin, ADJ 
1000A)elernental, NUM 
com-, NOUN 

, SPACE 
15, NUM 
MV, PROPN 
Pelletron, PROPN 
facility, NOUN 
Nuclear, PROPN 
Science, PROPN 
Centre, PROPN 
pound, NOUN 
targets, NOUN 
Carbon, NOUN 
foils, NOUN 
prepared, VERB 
vacuum, PROPN 

, SPACE 
Table1, NUM 

, SPACE 
Stoppingpowersfor0,AI, PROPN 
Ti, PROPN 
FeandCu, PROPN 
ionsincarboninunitsofMeVcm2, PROPN 
mgasafunctionoftheenergyinMeVlu, PROPN 

, SPACE 
VX, PROPN 
108cmz, NUM 
E(MeVlu, PROPN 
Experimental, ADJ 
stoppingpower, NOUN 
Calculated, VERB 
stoppingpowervalue, NOUN 

, SPACE 
