Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
107, NUM 
1996, NUM 
393, NUM 
396, NUM 
cm, NOUN 
li!B, PROPN 

, SPACE 
ELSEVIER, NOUN 
NIIM, PROPN 
B, PROPN 

, SPACE 
Beam, PROPN 
lnteraotions, NOUN 

, SPACE 
Materials&Atoms, NOUN 

, SPACE 
Solvent, PROPN 
induced, VERB 
track, NOUN 
sensitization, NOUN 
Role, PROPN 
amines, NOUN 

, SPACE 
T., PROPN 
Steckenreiter, PROPN 
ay, ADP 
M., PROPN 
Esser, PROPN 
b, PROPN 
H., PROPN 
Fuess, PROPN 
J., PROPN 
Fuhrmann, PROPN 
b, PROPN 
R., PROPN 
Spohr, PROPN 
C., PROPN 
Trautmann, PROPN 

, SPACE 
TH, PROPN 
Darmstadt, PROPN 
Petersenstr, PROPN 
20, NUM 
D-64287, PROPN 
Darmstadt, PROPN 
Germany, PROPN 

, SPACE 
b, PROPN 
TU, PROPN 
Clausthal, PROPN 
Arnold, PROPN 
Sommerfeld, PROPN 
Str, PROPN 
4, NUM 
D-38678, ADJ 
Clausthal, PROPN 
Zellerfeld, PROPN 
Germany, PROPN 

, SPACE 
GSI, PROPN 
Planckstr, PROPN 
1, NUM 
D-64291, PROPN 
Darmstadt, PROPN 
Germany, PROPN 

, SPACE 
Abstract, PROPN 

, SPACE 
necessary, ADJ 
condition, NOUN 
etching, VERB 
particle, NOUN 
tracks, NOUN 
polymers, NOUN 
selective, ADJ 
removal, NOUN 
molecular, ADJ 
fragments, NOUN 
formed, VERB 

, SPACE 
ion, NOUN 
path, NOUN 
recently, ADV 
assumed, VERB 
solvent, ADJ 
induced, VERB 
track, NOUN 
sensitization, NOUN 
N, PROPN 
N, NOUN 
dimethylformamide, NOUN 
DMF, PROPN 

, SPACE 
poly(ethyleneterephthalate, PROPN 
PET, PROPN 
removes, VERB 
oligomers, NOUN 
track, NOUN 
core, NOUN 
exclusively, ADV 
dissolution, NOUN 
process, NOUN 

, SPACE 
present, ADJ 
study, NOUN 
shows, VERB 
degradation, NOUN 
products, NOUN 
DMF, PROPN 
particular, ADJ 
amines, NOUN 
involved, VERB 
sensitization, NOUN 
process, NOUN 

, SPACE 
purpose, NOUN 
chemical, ADJ 
interaction, NOUN 
amines, NOUN 
heavy, ADJ 
ion, NOUN 
irradiated, VERB 
PET, PROPN 
examined, VERB 
techniques, NOUN 

, SPACE 
shown, VERB 
amines, NOUN 
induce, VERB 
selective, ADJ 
track, NOUN 
pre, ADJ 
etching, VERB 
Compared, VERB 
pure, ADJ 
DMF, PROPN 
track, NOUN 
etching, VERB 
