Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
1, NUM 
I8, NOUN 
1996, NUM 
596, NUM 
601, NUM 

, SPACE 
ELSEVIER, NOUN 
Beam, PROPN 
Interactions, PROPN 

, SPACE 
Materials&Atoms, NOUN 

, SPACE 
Ion, NOUN 
beam, NOUN 
analysis, NOUN 
diamond, NOUN 
like, ADJ 
carbon, NOUN 
films, NOUN 

, SPACE 
J, PROPN 
P., PROPN 
Hirvonen, PROPN 
J., PROPN 
Koskinen, PROPN 
P., PROPN 
Torri, PROPN 
b, PROPN 
R., PROPN 
Lappalainen, PROPN 
b, PROPN 
A., PROPN 
Anttila, PROPN 
b, NOUN 

, SPACE 
VlT, PROPN 
Manufacturing, PROPN 
Technology, PROPN 
02044, NUM 
VrT., NOUN 
Finland, PROPN 

, SPACE 
b, PROPN 
University, PROPN 
Helsinki, PROPN 
Department, PROPN 
Physics, PROPN 
00014, NUM 
University, PROPN 
Helsinki, PROPN 
Finland, PROPN 

, SPACE 
Abstract, PROPN 

, SPACE 
Diamond, PROPN 
like, ADJ 
carbon, NOUN 
films, NOUN 
deposited, VERB 
number, NOUN 
different, ADJ 
methods, NOUN 
results, VERB 
wide, ADJ 
variety, NOUN 
different, ADJ 

, SPACE 
microstructures, NOUN 
compositions, NOUN 
films, NOUN 
challenges, VERB 
characterization, NOUN 
capabilities, NOUN 
Ion, NOUN 
beam, NOUN 
analysis, NOUN 

, SPACE 
ways, NOUN 
probe, VERB 
properties, NOUN 
films, NOUN 
classic, ADJ 
application, NOUN 
determination, NOUN 
hydrogen, NOUN 
concentrations, NOUN 

, SPACE 
hydrogenated, VERB 
amorphous, ADJ 
carbon, NOUN 
films, NOUN 
H, NOUN 
C., PROPN 
performed, VERB 
resonance, NOUN 
nuclear, ADJ 
reaction, NOUN 

, SPACE 
H(15N, ADJ 
ay)‘*C, NOUN 
forward, ADJ 
recoiling, VERB 
technique, NOUN 
Diamond, NOUN 
like, ADJ 
films, NOUN 
doped, VERB 
metals, NOUN 
Si, PROPN 
F, PROPN 
etc, X 
order, NOUN 

, SPACE 
modify, VERB 
mechanical, ADJ 
tribological, ADJ 
optical, ADJ 
properties, NOUN 
Dopand, ADJ 
concentrations, NOUN 
qualitatively, ADV 
measured, VERB 

, SPACE 
backscattering, NOUN 
nuclear, ADJ 
reaction, NOUN 
analysis, NOUN 
NRA, PROPN 
method, NOUN 
fairly, ADV 
trivial, ADJ 
application, NOUN 
utilization, NOUN 
Rutherford, PROPN 

, SPACE 
non, ADJ 
Rutherford, ADJ 
backscattering, VERB 
obtain, VERB 
number, NOUN 
carbon, NOUN 
