cm, PROPN 
Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
118, NUM 
1996, NUM 
684, NUM 
687, NUM 

, SPACE 

, SPACE 
NONI, PROPN 
B, PROPN 

, SPACE 
ELSEVIER, PROPN 
Beam, PROPN 
Interactions, PROPN 

, SPACE 
Materials&Atoms, NOUN 

, SPACE 
Channeling, VERB 
analyses, NOUN 
epitaxially, ADV 
grown, VERB 
YB, PROPN 
C, PROPN 
O, PROPN 
thin, ADJ 
film, NOUN 

, SPACE 
J.Z., PROPN 
Qu, PROPN 
J.R., PROPN 
Liu, PROPN 
Q.Y., PROPN 
Chen, PROPN 
X.T., PROPN 
Cui, PROPN 
W.K., PROPN 
Chu, PROPN 

, SPACE 
Texus, PROPN 
Center, PROPN 
ftir, VERB 
Superconductivity, PROPN 
Uniuersity, PROPN 
of’Houston, PROPN 
Houston, PROPN 
TX772045932, PROPN 
USA, PROPN 

, SPACE 
Abstract, PROPN 

, SPACE 
structure, NOUN 
features, NOUN 
YBCO, PROPN 
IO&films, NOUN 
110, NUM 
SrTiO, PROPN 
substrate, NOUN 
studied, VERB 
3.05, NUM 
MeV, PROPN 
He’+, NOUN 
6, NUM 
MeV, NOUN 

, SPACE 
Li3, PROPN 
+, CCONJ 
ion, NOUN 
channeling, VERB 
measurement, NOUN 
Li3, NOUN 
+, PROPN 
Ion, PROPN 
enhance, VERB 
mass, ADJ 
resolution, NOUN 
Ba, PROPN 
Y, PROPN 
Cu, PROPN 
Angular, ADJ 
scan, PROPN 

, SPACE 
IO, PROPN 
directions, NOUN 
reflected, VERB 
misorientation, NOUN 
film, NOUN 
substrate, NOUN 
sample, NOUN 
consisting, VERB 
distinctive, ADJ 

, SPACE 
layers, NOUN 
deposited, VERB 
different, ADJ 
conditions, NOUN 
study, VERB 
relationships, NOUN 
deposition, NOUN 
conditions, NOUN 

, SPACE 
crystallographic, ADJ 
orientation, NOUN 
angle, NOUN 
misorientation, NOUN 
consistent, ADJ 
tilting, NOUN 
compensating, NOUN 
lattice, NOUN 
parameter, NOUN 

, SPACE 
difference, NOUN 
substrate, NOUN 
YBCO, ADJ 
film, NOUN 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
Cuprate, ADJ 
high, ADJ 
temperature, NOUN 
superconductors, NOUN 
layer, NOUN 

, SPACE 
compounds, NOUN 
orthorhombic, ADJ 
crystal, NOUN 
structure, NOUN 

, SPACE 
YBa, PROPN 
Cu, PROPN 
O, INTJ 
YBCO, PROPN 
CuO, ADJ 
planes, NOUN 
parallel, ADJ 

, SPACE 
a-, X 
b, NOUN 
axes, NOUN 
called, VERB 
ab, NOUN 
planes, NOUN 

, SPACE 
exist, VERB 
unit, NOUN 
cell, NOUN 
c, NOUN 
axis, NOUN 
perpendicular, NOUN 

, SPACE 
believe, VERB 
coupling, NOUN 
CuO, ADJ 
planes, NOUN 
carries, VERB 

, SPACE 
important, ADJ 
clue, NOUN 
mechanism, NOUN 
high, ADJ 
temperature, NOUN 

, SPACE 
superconductivity, NOUN 
understanding, VERB 
anisotropic, NOUN 

, SPACE 
behaviors, NOUN 
layer, NOUN 
compounds, NOUN 
help, VERB 
shed, VERB 

, SPACE 
light, NOUN 
Bulk, ADJ 
crystals, NOUN 
layer, NOUN 
compounds, NOUN 

, SPACE 
thin, ADJ 
c, NOUN 
direction, NOUN 
0.1, NUM 
mm, NUM 
thicker, ADJ 
2, NUM 
4, NUM 

, SPACE 
mm, PROPN 
ab, PROPN 
directions, NOUN 
makes, VERB 
measurements, NOUN 

, SPACE 
plane, NOUN 
behaviours, NOUN 
i.e., X 
properties, NOUN 
c, NOUN 
direc-, NUM 

, SPACE 
tion, NOUN 
difficult, ADJ 

, SPACE 
means, NOUN 
solve, VERB 
problem, NOUN 
thin, ADJ 
film, NOUN 
deposition, NOUN 

, SPACE 
successfully, ADV 
fabricate, VERB 
c-, X 
u, ADJ 
oriented, VERB 

, SPACE 
materials, NOUN 
c-, NOUN 
axis, ADJ 
respectively, ADV 
perpendicular, ADJ 

, SPACE 
substrate, NOUN 
film, NOUN 
surface, NOUN 
2, NUM 
41, NUM 
c, NOUN 
films, NOUN 

, SPACE 
state, NOUN 
art, NOUN 
u, NOUN 
films, NOUN 
difficult, ADJ 

, SPACE 
produce, VERB 
reliable, ADJ 
fashion, NOUN 
c-, VERB 
films, NOUN 

, SPACE 
usually, ADV 
deposited, VERB 
IOO, PROPN 
surface, NOUN 
substrate, NOUN 

, SPACE 
