s, VERB 
Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
118, NUM 
1996, NUM 
162-, PROPN 
166, NUM 

, SPACE 

, SPACE 
II, PROPN 

, SPACE 
ELSEVIER, PROPN 
IHIIIHU, NOUN 
B, NOUN 

, SPACE 
Beam, PROPN 
Interactions, PROPN 

, SPACE 
Materials, NOUN 
Atoms, PROPN 

, SPACE 
Rutherford, PROPN 
backscattering, VERB 
spectrometry, NOUN 
analysis, NOUN 

, SPACE 
atmospheric, ADJ 
aerosols, NOUN 

, SPACE 
P., PROPN 
Kov%, PROPN 
J., PROPN 
Dobrovodskf, PROPN 
S., PROPN 
Kalbitzer, PROPN 
b, PROPN 
Ch, PROPN 
Klatt, PROPN 
b, PROPN 

, SPACE 
Department, PROPN 
Nuclear, PROPN 
Physics, PROPN 
Technology, PROPN 
Faculty, PROPN 
Electrical, PROPN 
Engineering, PROPN 
Slovak, PROPN 
Technical, PROPN 
University, PROPN 

, SPACE 
812, NUM 
19, NUM 
Bratislavu, PROPN 
Slovakia, PROPN 

, SPACE 
b, PRON 
Max, PROPN 
Planck, PROPN 
Institutfr, NOUN 
Kernphysik, PROPN 
Postfach, PROPN 
103980, NUM 
D-69029, PROPN 
Heidelberg, PROPN 
Germany, PROPN 

, SPACE 
Abstract, PROPN 

, SPACE 
results, NOUN 
application, NOUN 
Rutherford, PROPN 
Backscattering, PROPN 
Spectrometry, PROPN 
RBS, PROPN 
analysis, NOUN 
heavy, ADJ 
metals, NOUN 
content, NOUN 

, SPACE 
aerosol, NOUN 
samples, NOUN 
described, VERB 
Procedures, NOUN 
sample, NOUN 
collection, NOUN 
preparation, NOUN 
measurement, NOUN 
characterized, VERB 

, SPACE 
respect, NOUN 
main, ADJ 
instrumental, ADJ 
demands, NOUN 
stage, NOUN 
development, NOUN 
RBS, PROPN 
looks, VERB 
promising, VERB 
respect, NOUN 

, SPACE 
established, VERB 
analytical, ADJ 
methods, NOUN 
presently, ADV 
achieved, VERB 
sensitivity, NOUN 
lo, PROPN 
cm2, NOUN 
satisfying, VERB 

, SPACE 
enhanced, VERB 
order, NOUN 
magnitude, NOUN 
Si, PROPN 
multidetector, NOUN 
array, NOUN 
instead, ADV 
single, ADJ 
device, NOUN 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
Increasing, VERB 
interest, NOUN 
air, NOUN 
quality, NOUN 
problems, NOUN 

, SPACE 
stimulating, ADJ 
factors, NOUN 
development, NOUN 
sensitive, ADJ 
analyt-, ADJ 

, SPACE 
ical, ADJ 
methods, NOUN 
suitable, ADJ 
tracing, VERB 
pollutants, NOUN 
pollu-, NUM 

, SPACE 
tant, NOUN 
group, NOUN 
considerable, ADJ 
current, ADJ 
interest, NOUN 
treated, VERB 

, SPACE 
present, ADJ 
paper, NOUN 
certain, ADJ 
heavy, ADJ 
metals, NOUN 
incorporated, VERB 

, SPACE 
atmospheric, ADJ 
aerosols, NOUN 
conjunction, NOUN 
recom-, NOUN 

, SPACE 
mended, VERB 
European, ADJ 
emission, NOUN 
limits, VERB 
selection, NOUN 

, SPACE 
focused, VERB 
elements, NOUN 
predominantly, ADV 
anthropogeneous, ADJ 

, SPACE 
origin, NOUN 
V, PROPN 
Cr, PROPN 
Mn, PROPN 
Ni, PROPN 
Cu, PROPN 
Zn, PROPN 
Cd, PROPN 
Pb, PROPN 

, SPACE 
analytical, ADJ 
methods, NOUN 
routinely, ADV 
trace, NOUN 

, SPACE 
element, NOUN 
analysis, NOUN 
Fig, PROPN 
1, NUM 
shows, VERB 
impurity, NOUN 
detection, NOUN 

, SPACE 
limits, NOUN 
typical, ADJ 
methods, NOUN 
RBS, PROPN 
established, VERB 

, SPACE 
analytical, ADJ 
method, NOUN 
applications, NOUN 
area, NOUN 

, SPACE 
component, NOUN 
systems, NOUN 
depth, NOUN 
profiling, NOUN 
heavy, ADJ 

, SPACE 
dopants, NOUN 
high, ADJ 
Z, NOUN 
light, NOUN 
low, ADJ 
Z, PROPN 
matrices, NOUN 
capabili-, NOUN 

, SPACE 
ties, NOUN 
RBS, PROPN 
tool, NOUN 
sensitive, ADJ 
multi, ADJ 
element, ADJ 

, SPACE 
analysis, NOUN 
exploited, VERB 
reason, NOUN 

, SPACE 
mass, ADJ 
resolution, NOUN 
RBS, PROPN 
lower, ADJ 
mass, ADJ 

, SPACE 
spectrometric, ADJ 
techniques, NOUN 

, SPACE 
principles, NOUN 
RBS, PROPN 
analysis, NOUN 
documented, VERB 

