Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
111, NUM 
1996, NUM 
187-, NUM 
189, NUM 

, SPACE 
cm, NOUN 
l!!B, INTJ 
ELSEVIER, NOUN 
NOM, PROPN 
B, PROPN 
Beam, PROPN 
Interactions, PROPN 

, SPACE 
Materials, PROPN 
Atoms, PROPN 

, SPACE 
New, PROPN 
plasma, NOUN 
source, NOUN 
ion, NOUN 
implantation, NOUN 
technique, NOUN 
inner, ADJ 
surface, NOUN 

, SPACE 
modification, NOUN 
materials, NOUN 

, SPACE 
MuSun, PROPN 
S.Z., PROPN 
Yang, PROPN 
B., PROPN 
Li, PROPN 

, SPACE 
Group, PROPN 
101, NUM 
Institute, PROPN 
Physics, PROPN 
Chinese, PROPN 
Academy, PROPN 
Sciences, PROPN 
Beijing, PROPN 
100080, NUM 
China, PROPN 

, SPACE 
Received, VERB 
14, NUM 
September, PROPN 
1995, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
Plasma, PROPN 
source, NOUN 
ion, NOUN 
implantation, NOUN 
PSII, PROPN 
non, ADJ 
line, NOUN 
sight, NOUN 
ion, NOUN 
implantation, NOUN 
technique, NOUN 
surface, NOUN 
modification, NOUN 

, SPACE 
materials, NOUN 
present, ADJ 
technique, NOUN 
suitable, ADJ 
outer, ADJ 
surface, NOUN 
modification, NOUN 
targets, NOUN 
inner, ADJ 
surface, NOUN 

, SPACE 
modification, NOUN 
targets, NOUN 
paper, NOUN 
present, VERB 
new, ADJ 
technique, NOUN 
applies, VERB 
inner, ADJ 
surface, NOUN 
implantation, NOUN 
Preliminary, ADJ 

, SPACE 
experiment, NOUN 
results, NOUN 
new, ADJ 
technique, NOUN 
1, X 
increases, VERB 
plasma, NOUN 
density, NOUN 
uniformity, NOUN 
obviously, ADV 
inside, ADP 
target, NOUN 

, SPACE 
inner, ADJ 
surface, NOUN 
2, X 
generates, VERB 
plasma, NOUN 
sheath, NOUN 
inner, ADJ 
surface, NOUN 
target, NOUN 
plasma, NOUN 
implant, VERB 
inner, ADJ 

, SPACE 
surface, NOUN 
target, NOUN 
effectively, ADV 
3, X 
achieves, VERB 
dose, ADJ 
uniformity, NOUN 
acceptable, ADJ 
industrial, ADJ 
application, NOUN 

, SPACE 
Plasma, NOUN 
source, NOUN 
ion, NOUN 
implantation, NOUN 
PSII, PROPN 
new, ADJ 
ion, NOUN 

, SPACE 
implantation, NOUN 
technique, NOUN 
l-5, X 
surface, NOUN 
modification, NOUN 

, SPACE 
materials, NOUN 
Compared, VERB 
conventional, ADJ 
ion, NOUN 
implantation, NOUN 

, SPACE 
PSI1, PROPN 
