CwJ, X 
Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
111, NUM 
1996, NUM 
259, NUM 
262, NUM 

, SPACE 

, SPACE 
k!lULiWU, PROPN 
B, PROPN 

, SPACE 
EISEVIER, NOUN 
Beam, PROPN 
Interaotions, PROPN 

, SPACE 
Materials, NOUN 
8, NUM 
Atoms, NOUN 

, SPACE 
Film, PROPN 
thickness, NOUN 
simulation, NOUN 
fabricating, VERB 
6, NUM 
diameter, NOUN 
ErBCO, PROPN 
films, NOUN 

, SPACE 
partially, ADV 
ionized, VERB 
beam, NOUN 
deposition, NOUN 

, SPACE 
A., NOUN 
Shuhara, PROPN 
Y., PROPN 
Kawagoe, PROPN 
S., PROPN 
Yamaji, PROPN 
T., PROPN 
Kishida, PROPN 
b, PROPN 
A., PROPN 
Ryohman, PROPN 
b, PROPN 

, SPACE 
Ion, PROPN 
Engineering, PROPN 
Research, PROPN 
Institute, PROPN 
Corp., PROPN 
Hirakata, PROPN 
Osaka, PROPN 
573, NUM 
01, NUM 
Japan, PROPN 

, SPACE 
b, PRON 
Kansai, PROPN 
Electric, PROPN 
Power, PROPN 
Co., PROPN 
Inc, PROPN 
Amagasaki, PROPN 
Hyogo, PROPN 
661, NUM 
Japan, PROPN 

, SPACE 
Received, VERB 
26, NUM 
July, PROPN 
1994, NUM 
revised, VERB 
form, NOUN 
received, VERB 
7, NUM 
November, PROPN 
199.5, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
configuration, NOUN 
PIB, PROPN 
source, NOUN 
studied, VERB 
grow, VERB 
uniform, ADJ 
large, ADJ 
area, NOUN 
HTS, PROPN 
high, ADJ 
temperature, NOUN 
superconducting, NOUN 
films, NOUN 

, SPACE 
application, NOUN 
coil, NOUN 
tape, NOUN 
fabrication, NOUN 
uniformity, NOUN 
thin, ADJ 
films, NOUN 
simulated, VERB 
cases, NOUN 
PIB, PROPN 
source, NOUN 
placed, VERB 

, SPACE 
tilted, VERB 
0, NUM 
axis, NOUN 
L, NOUN 
orientation, NOUN 
assumption, NOUN 
thickness, ADJ 
distribution, NOUN 
PIB, PROPN 
deposited, VERB 
films, NOUN 
followed, VERB 

, SPACE 
cos, PROPN 
law, NOUN 
tilted, ADJ 
axis, NOUN 
orientation, NOUN 
found, VERB 
improve, VERB 
uniformity, NOUN 
thin, ADJ 
films, NOUN 
calculated, VERB 

, SPACE 
uniformity, NOUN 
D, PROPN 
=, NUM 
430, NUM 
0, NUM 
=, SYM 
30, NUM 
L, PROPN 
=, SYM 
30, NUM 
greater, ADJ 
90, NUM 
D, PROPN 
source, NOUN 
substrate, NOUN 
distance, NOUN 
Fabrication, PROPN 

, SPACE 
HTS, PROPN 
films, NOUN 
D, NOUN 
=, NOUN 
430, NUM 
reduced, VERB 
source, NOUN 
consumption, NOUN 
prolonged, VERB 
source, NOUN 
life, NOUN 
significantly, ADV 
deposited, VERB 
films, NOUN 

, SPACE 
prepared, VERB 
6, NUM 
rotating, VERB 
sample, NOUN 
holder, NOUN 
D, PROPN 
=, NOUN 
430, NUM 
composition, NOUN 
variation, NOUN 
+, ADJ 
5, NUM 
zero, NUM 

, SPACE 
resistance, NOUN 
temperature, NOUN 
78, NUM 
80, NUM 
K., PROPN 

, SPACE 
0168, NUM 
583X/96/$15.00, PROPN 
0, NUM 
1996, NUM 
Elsevier, PROPN 
Science, PROPN 
B.V., PROPN 
AI1, PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
.S.SDI, PROPN 
0168, NUM 
583X(95)01, NUM 
430, NUM 
6, NUM 
1, NUM 
Introduction, NOUN 
2, NUM 
Assumption, NOUN 
calculation, NOUN 

, SPACE 
investigated, VERB 
high, ADJ 
temperature, NOUN 
superconduct-, NOUN 

, SPACE 
ing, PROPN 
HTS, PROPN 
films, NOUN 
prepared, VERB 
partially, ADV 
ionized, VERB 
beam, NOUN 
PIB, PROPN 

, SPACE 
deposition, NOUN 
order, NOUN 
apply, VERB 
films, NOUN 
tape, NOUN 
coil, NOUN 

, SPACE 
fabrication, NOUN 
ErBa, PROPN 
Cu, PROPN 
O, INTJ 
films, NOUN 
pro-, PROPN 

, SPACE 
duced, VERB 
sample, NOUN 
holder, NOUN 
3, NUM 
diameter, NOUN 
PIB, PROPN 

, SPACE 
sources, NOUN 
Er, PROPN 
Ba, PROPN 
Cu, PROPN 
deposition, NOUN 
l-3, PROPN 
film, NOUN 

, SPACE 
fabrication, NOUN 
larger, ADJ 
diameter, NOUN 
e.g., ADV 
