s, X 
EB, PROPN 
Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
114, NUM 
1996, NUM 
252, NUM 
258, NUM 

, SPACE 
ELSEVIER, NOUN 
NIOMI, PROPN 
B, PROPN 
Beam, PROPN 
Interactions, PROPN 

, SPACE 
Materials&Atoms, NOUN 

, SPACE 
Multiple, ADJ 
beam, NOUN 
ion, NOUN 
channeling, VERB 
patterns, NOUN 

, SPACE 
M.B.H., PROPN 
Breese, PROPN 

, SPACE 
SPM, PROPN 
Unit, PROPN 
Nuclear, PROPN 
Physics, PROPN 
Laboratory, PROPN 
University, PROPN 
Oxford, PROPN 
Keble, PROPN 
Road, PROPN 
Oxford, PROPN 
OX1, PROPN 
3RH, PROPN 
UK, PROPN 

, SPACE 
Received, VERB 
5, NUM 
December, PROPN 
1995, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
paper, NOUN 
describes, VERB 
production, NOUN 
uses, NOUN 
multiple, ADJ 
beam, NOUN 
ion, NOUN 
channeling, VERB 
patterns, NOUN 
generated, VERB 
nuclear, ADJ 

, SPACE 
microprobe, NOUN 
Multiple, ADJ 
beams, NOUN 
produced, VERB 
splitting, VERB 
single, ADJ 
3, NUM 
MeV, PROPN 
proton, NOUN 
beam, NOUN 
diverging, VERB 
object, NOUN 
aperture, ADV 

, SPACE 
beams, NOUN 
different, ADJ 
trajectories, NOUN 
beams, NOUN 
incident, NOUN 
surface, NOUN 
0.3, NUM 
km, NOUN 
thick, ADJ 
lOO, NOUN 
silicon, NOUN 

, SPACE 
crystal, NOUN 
produce, VERB 
superposed, VERB 
channeling, VERB 
patterns, NOUN 
Multiple, ADJ 
beam, NOUN 
patterns, NOUN 
produced, VERB 
quadrupole, NOUN 
lenses, NOUN 

, SPACE 
nuclear, ADJ 
microprobe, NOUN 
switched, VERB 
shown, VERB 
relationship, NOUN 
different, ADJ 
contrast, NOUN 
observed, VERB 

, SPACE 
conditions, NOUN 
described, VERB 
Multiple, ADJ 
beam, NOUN 
patterns, NOUN 
understand, VERB 
recent, ADJ 
results, NOUN 
showing, VERB 
channeling, VERB 
patterns, NOUN 

, SPACE 
produced, VERB 
thin, ADJ 
rotated, VERB 
crystal, NOUN 
bilayers, NOUN 
strained, ADJ 
layers, NOUN 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
confirmations, NOUN 
effect, NOUN 
crystal, NOUN 

, SPACE 
structure, NOUN 
ion, NOUN 
trajectories, NOUN 
matter, NOUN 
produc-, ADJ 

, SPACE 
tion, NOUN 
blocking, VERB 
star, NOUN 
patterns, NOUN 
collimated, VERB 

, SPACE 
unfocused, ADJ 
MeV, PROPN 
ion, NOUN 
beams, NOUN 
considerable, ADJ 

, SPACE 
subsequent, ADJ 
development, NOUN 
use, NOUN 
ion, NOUN 
channeling, VERB 

, SPACE 
patterns, NOUN 
identify, VERB 
different, ADJ 
types, NOUN 
crystal, NOUN 
structures, NOUN 

, SPACE 
described, VERB 
Ref, PROPN 
chapter, NOUN 
11, NUM 
Ref, PROPN 
Z, X 

, SPACE 
work, NOUN 
measuring, VERB 
interpreting, VERB 
channeling, VERB 
patterns, NOUN 

, SPACE 
reviewed, VERB 
Ref, PROPN 
3, X 

, SPACE 
channeling, VERB 
patterns, NOUN 
recorded, VERB 
transmission, NOUN 

, SPACE 
thin, ADJ 
crystals, NOUN 
increased, VERB 
intensity, NOUN 
transmitted, VERB 
ions, NOUN 

, SPACE 
produced, VERB 
incident, NOUN 
beam, NOUN 
aligned, VERB 
chan-, ADJ 

, SPACE 
neling, NOUN 
direction, NOUN 
4, NUM 
Channels, NOUN 
away, ADV 
beam, NOUN 
direc-, PART 

, SPACE 
tion, NOUN 
reduced, VERB 
intensity, NOUN 
owing, VERB 
blocking, VERB 
5, NUM 

, SPACE 
recent, ADJ 
renewed, VERB 
interest, NOUN 
produc-, ADJ 

, SPACE 
tion, NOUN 
interpretation, NOUN 
applications, NOUN 
ion, NOUN 
channeling, VERB 
pat-, X 

, SPACE 
terns, VERB 
thin, ADJ 
crystals, NOUN 
nuclear, ADJ 
microprobe, NOUN 

, SPACE 
3,6,7, NUM 
use, NOUN 
focused, ADJ 
convergent, NOUN 
proton, NOUN 
