CQa, PROPN 
B, NOUN 
Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
116, NUM 
1996, NUM 
257, NUM 
26, NUM 
1, NUM 

, SPACE 
Angu, ADJ 
lar, ADJ 
distribution, NOUN 
expansion, NOUN 
laser, NOUN 
ablation, NOUN 
plumes, NOUN 
measl, NOUN 

, SPACE 
fast, ADV 
intensified, VERB 
charge, NOUN 
coupled, VERB 
device, NOUN 
photographs, NOUN 
NIOM, PROPN 
B, PROPN 
Beam, PROPN 
Interactions, PROPN 

, SPACE 
Materials, NOUN 
8, NUM 
Atoms, NOUN 

, SPACE 
lred, VERB 

, SPACE 
A., PROPN 
Mele, PROPN 
A., PROPN 
Giardini, PROPN 
Guidoni, PROPN 
R., PROPN 
Kelly, PROPN 
b, PROPN 
A., PROPN 
Miotello, PROPN 
b, PROPN 
S., PROPN 
Orlando, PROPN 

, SPACE 
R., PROPN 
Teghil, PROPN 
d, PROPN 
C., PROPN 
Fhrnini, PROPN 

, SPACE 
Dipartimento, PROPN 
di, X 
Chimica, PROPN 
Vniversit, PROPN 
di, PROPN 
Roma, PROPN 
La, PROPN 
Sapienza, PROPN 
Piauale, PROPN 
A., NOUN 
5, NUM 
00185, NUM 
Rome, PROPN 
Italy, PROPN 

, SPACE 
b, PROPN 
Dipartimento, PROPN 
di, X 
Fisica, PROPN 
Vniversith, PROPN 
di, PROPN 
Trento, PROPN 
Povo, PROPN 
TN, PROPN 
Italy, PROPN 

, SPACE 
Istituto, PROPN 
Materiali, PROPN 
Speciali, PROPN 
CNR, PROPN 
Tito, PROPN 
Scala, PROPN 
PZ, PROPN 
Italy, PROPN 

, SPACE 
Dipartimento, PROPN 
di, X 
Chimica, PROPN 
Vniversit, PROPN 
Na, PROPN 
Basilicata, PROPN 
Potenza, PROPN 
Italy, PROPN 

, SPACE 
Abstract, PROPN 

, SPACE 
Laser, PROPN 
ablation, NOUN 
plumes, NOUN 
produced, VERB 
targets, NOUN 
including, VERB 
metals, NOUN 
semiconductors, NOUN 
superconductors, NOUN 

, SPACE 
photographed, VERB 
real, ADJ 
time, NOUN 
gated, VERB 
intensified, ADJ 
charge, NOUN 
coupled, VERB 
device, NOUN 
CCD, PROPN 
camera, NOUN 
system, NOUN 
expansion, NOUN 
rates, NOUN 

, SPACE 
dimensional, ADJ 
images, NOUN 
measured, VERB 
wide, ADJ 
range, NOUN 
delay, NOUN 
times, NOUN 
laser, NOUN 
pulse, NOUN 
varying, VERB 
beam, NOUN 

, SPACE 
parameters, NOUN 
spot, NOUN 
size, NOUN 
spot, NOUN 
shape, NOUN 
fluence, NOUN 
analysis, NOUN 
observed, ADJ 
plumes, NOUN 
leads, VERB 
angular, ADJ 
distribution, NOUN 

, SPACE 
ablated, ADJ 
material, NOUN 
strongly, ADV 
related, ADJ 
process, NOUN 
film, NOUN 
growth, NOUN 
pulsed, VERB 
laser, NOUN 
deposition, NOUN 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
Pulsed, VERB 
laser, NOUN 
deposition, NOUN 
PLD, PROPN 
increasingly, ADV 

, SPACE 
applied, VERB 
preparation, NOUN 
thin, ADJ 
films, NOUN 
coatings, NOUN 

, SPACE 
large, ADJ 
number, NOUN 
materials, NOUN 
Laser, NOUN 
ablation, NOUN 
solid, ADJ 
pro-, NOUN 

, SPACE 
duces, VERB 
plume, NOUN 
plasma, NOUN 
plume, NOUN 

, SPACE 
travels, VERB 
target, NOUN 
substrate, NOUN 
expanding, VERB 

, SPACE 
perpendicular, ADJ 
axes, NOUN 
situ, ADJ 
characterization, NOUN 

, SPACE 
plume, NOUN 
moves, VERB 
angular, ADJ 
spread, NOUN 

, SPACE 
important, ADJ 
order, NOUN 
control, VERB 
thin, ADJ 
film, NOUN 
properties, NOUN 

, SPACE 
uniformity, NOUN 
morphology, NOUN 
composition, NOUN 
l, X 
PLD, PROPN 

, SPACE 
background, NOUN 
gas, NOUN 
0, NUM 
N, PROPN 
added, VERB 

, SPACE 
supplement, VERB 
loss, NOUN 
aid, NOUN 
incorporation, NOUN 
growing, VERB 

, SPACE 
film, NOUN 
known, VERB 
gas, NOUN 
dynamics, NOUN 
2, NUM 
experi-, NUM 

, SPACE 
ment, NOUN 
3, NUM 
plume, VERB 
expansion, NOUN 
different, ADJ 
trend, NOUN 

, SPACE 
vacuum, NOUN 
presence, NOUN 
background, NOUN 
gas, NOUN 

, SPACE 
angular, ADJ 
profiles, NOUN 
film, NOUN 
thickness, NOUN 
composition, NOUN 
i.e., X 

, SPACE 
stoichiometry, NOUN 
altered, VERB 
multicomponent, ADJ 
target, NOUN 

, SPACE 
ablated, VERB 
4, NUM 
overall, ADJ 
process, NOUN 
inter-, ADJ 

, SPACE 
preted, VERB 
terms, NOUN 
Knudsen, PROPN 
layer, NOUN 
formation, NOUN 
close, ADV 

, SPACE 
target, NOUN 
surface, NOUN 
followed, VERB 
unsteady, ADJ 
adiabatic, ADJ 
ex-, NOUN 

