\T.U, NUM 
Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
116, NUM 
1996, NUM 
404, NUM 
409, NUM 

, SPACE 

, SPACE 

, SPACE 
EISEVIER, PROPN 
NOM, PROPN 
B, PROPN 
Beam, PROPN 
Interactions, PROPN 

, SPACE 
Materials&Atoms, NOUN 

, SPACE 
Pulsed, VERB 
laser, NOUN 
deposition, NOUN 
thin, ADJ 
films, NOUN 
optical, ADJ 
applications, NOUN 

, SPACE 
C.N., PROPN 
Afonso, PROPN 
J., PROPN 
Gonzalo, PROPN 

, SPACE 
Znstituto, PROPN 
de, PROPN 
Optica, PROPN 
CSZC, PROPN 
Serrano, PROPN 
121.28006, NUM 
Madrid, PROPN 
Spain, PROPN 

, SPACE 
Abstract, PROPN 

, SPACE 
Pulsed, VERB 
laser, NOUN 
deposition, NOUN 
recently, ADV 
developed, VERB 
technique, NOUN 
producing, VERB 
good, ADJ 
results, NOUN 
growth, NOUN 
complex, ADJ 

, SPACE 
compound, NOUN 
films, NOUN 
work, NOUN 
reviews, VERB 
results, NOUN 
obtained, VERB 
far, ADV 
application, NOUN 
technique, NOUN 
grow, VERB 
oxide, NOUN 
films, NOUN 

, SPACE 
optical, ADJ 
applications, NOUN 
high, ADJ 
density, NOUN 
PLD, PROPN 
films, NOUN 
role, NOUN 
gas, NOUN 
environment, NOUN 
film, NOUN 
homogeneity, NOUN 
composition, NOUN 

, SPACE 
optical, ADJ 
properties, NOUN 
illustrated, VERB 
examples, NOUN 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
Pulsed, VERB 
laser, NOUN 
deposition, NOUN 
PLD, PROPN 
recently, ADV 
developed, VERB 

, SPACE 
technique, NOUN 
fashionable, ADJ 
success, NOUN 

, SPACE 
producing, VERB 
high, ADJ 
critical, ADJ 
temperature, NOUN 
superconducting, VERB 

, SPACE 
thin, ADJ 
films, NOUN 
late, ADJ 
80s, NOUN 
1,2, NUM 
simplicity, NOUN 
versatil-, VERB 

, SPACE 
ity, NOUN 
technique, NOUN 
attractive, ADJ 
compared, VERB 

, SPACE 
conventional, ADJ 
deposition, NOUN 
techniques, NOUN 
seen, VERB 

, SPACE 
Fig, PROPN 
1, NUM 
pulsed, VERB 
laser, NOUN 
beam, NOUN 
focused, VERB 
surface, NOUN 

, SPACE 
target, NOUN 
usually, ADV 
45, NUM 
located, VERB 
vacuum, NOUN 
chamber, NOUN 

, SPACE 
visible, ADJ 
plasma, NOUN 
produced, VERB 
mainly, ADV 
formed, VERB 

, SPACE 
electrons, NOUN 
ions, NOUN 
neutrals, NOUN 
energies, NOUN 
range, NOUN 

, SPACE 
l-100, PUNCT 
eV, PROPN 
3,4, NUM 
presence, NOUN 
high, ADJ 
ener-, NOUN 

, SPACE 
getic, ADJ 
species, NOUN 
makes, VERB 
PLD, PROPN 
comparable, ADJ 
extent, NOUN 

, SPACE 
sputtering, NOUN 
ion, NOUN 
assisted, VERB 
deposition, NOUN 
techniques, NOUN 
ability, NOUN 

, SPACE 
produce, VERB 
epitaxial, ADJ 
films, NOUN 
higher, ADJ 
3, NUM 
process, NOUN 

, SPACE 
considered, VERB 
stoichiometric, ADJ 
transfers, VERB 

, SPACE 
composition, NOUN 
target, NOUN 
deposited, VERB 
film, NOUN 
making, VERB 

, SPACE 
suitable, ADJ 
deposition, NOUN 
complex, ADJ 
structures, NOUN 

, SPACE 
oxides, NOUN 
ablation, NOUN 
takes, VERB 
place, NOUN 
presence, NOUN 

, SPACE 
foreign, ADJ 
gas, NOUN 
plasma, NOUN 
expansion, NOUN 
follows, VERB 
complex, ADJ 

, SPACE 
kinetics, NOUN 
15, NUM 
81, NUM 
plasma, NOUN 
expansion, NOUN 
models, NOUN 

, SPACE 
suggest, VERB 
optimum, ADJ 
distance, NOUN 
set, VERB 
substrate, NOUN 

, SPACE 
similar, ADJ 
length, NOUN 
plasma, NOUN 
9, X 
typically, ADV 
30, NUM 
40, NUM 

, SPACE 
mm, NOUN 
working, VERB 
presence, NOUN 
gas, NOUN 
environment, NOUN 

, SPACE 
PLD, PROPN 
carried, VERB 
ultra, ADJ 
high, ADJ 
vacuum, NOUN 

, SPACE 
conditions, NOUN 
high, ADJ 
pressure, NOUN 
environments, NOUN 
inert, ADJ 

, SPACE 
reactive, NOUN 
3, NUM 
target, NOUN 
specific, ADJ 
electrical, NOUN 
cooling, VERB 

, SPACE 
geometrical, ADJ 
constraints, NOUN 
usually, ADV 
happens, VERB 

, SPACE 
