cw, INTJ 
Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
117, NUM 
1996, NUM 
90, NUM 
94, NUM 

, SPACE 
B, PROPN 

, SPACE 
k!!!!d, PROPN 
RIUM, PROPN 
B, PROPN 

, SPACE 
ELSEVIER, PROPN 
Beam, PROPN 
Interactions, PROPN 

, SPACE 
Materials, PROPN 
Atoms, PROPN 

, SPACE 
MeV, PROPN 
cluster, NOUN 
ion, NOUN 
induced, VERB 
defect, NOUN 
production, NOUN 
high, ADJ 
T, PROPN 
superconductors, NOUN 

, SPACE 
Ch, PROPN 
Tomaschko, PROPN 
Ch, PROPN 
Schoppmann, PROPN 
M., PROPN 
Kraus, PROPN 
K., PROPN 
Kragler, PROPN 
G., PROPN 
Kreiselmeyer, PROPN 

, SPACE 
G., PROPN 
Saemann, PROPN 
Ischenko, PROPN 
H., PROPN 
Voit, PROPN 
a3, PROPN 
A., PROPN 
Brunelle, PROPN 
b, PROPN 
S., PROPN 
Della, PROPN 
Negra, PROPN 
b, PROPN 
Y., PROPN 
LeBeyec, PROPN 
b, PROPN 

, SPACE 
Physikalisches, PROPN 
Institut, PROPN 
der, NOUN 
Universitiit, PROPN 
Erlangen, PROPN 
Nirnberg, PROPN 
D-91058, PROPN 
Erlangen, PROPN 
Germany, PROPN 

, SPACE 
b, PROPN 
Institut, PROPN 
de, PROPN 
Physique, PROPN 
Nucliaire, PROPN 
CNRS, PROPN 
IN2P3.91406, NOUN 
Orsay, PROPN 
France, PROPN 

, SPACE 
Received, VERB 
6, NUM 
November, PROPN 
1995, NUM 
revised, VERB 
form, NOUN 
received, VERB 
12, NUM 
March, PROPN 
1996, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
Bi, PROPN 
SrzCa, PROPN 
Cu, PROPN 
Os+a, PROPN 
YBa, PROPN 
Cu, PROPN 
O, INTJ 
thin, ADJ 
films, NOUN 
irradiated, VERB 
23, NUM 
MeV, PROPN 
C, PROPN 
24, NUM 
MeV, PROPN 
Au, PROPN 
cluster, NOUN 
ions, NOUN 

, SPACE 
tandem, NOUN 
accelerator, NOUN 
defect, ADJ 
production, NOUN 
C, NOUN 
cluster, NOUN 
ions, NOUN 
Bi, PROPN 
Sr, PROPN 
Cu, PROPN 
Os+, NOUN 
exceeds, NOUN 
238U, PROPN 
ions, NOUN 

, SPACE 
energy, NOUN 
2.7, NUM 
GeV., NOUN 
analysis, NOUN 
mechanism, NOUN 
underlying, VERB 
defect, NOUN 
production, NOUN 
leads, VERB 
different, ADJ 
conclusions, NOUN 

, SPACE 
C, NOUN 
clusters, NOUN 
find, VERB 
independence, NOUN 
nuclear, ADJ 
electronic, ADJ 
contributions, NOUN 
defect, ADJ 
production, NOUN 
case, NOUN 
atomic, ADJ 

, SPACE 
projectiles, NOUN 
ii, PROPN 
Au, PROPN 
cluster, NOUN 
ions, NOUN 
independence, NOUN 
lost, VERB 
validity, NOUN 
possible, ADJ 
interpretation, NOUN 
Au, PROPN 
results, NOUN 

, SPACE 
nuclear, ADJ 
defects, NOUN 
annealed, VERB 
electronic, ADJ 
energy, NOUN 
loss, NOUN 
size, NOUN 
effective, ADJ 
damage, NOUN 
radii, NOUN 
obtained, VERB 

, SPACE 
Bi, PROPN 
Sr2Ca, ADJ 
Cu20s+s, ADJ 
film, NOUN 
indicate, VERB 
continuous, ADJ 
tracks, NOUN 
formed, VERB 
film, NOUN 
C, NOUN 
Au, PROPN 
irradiation, NOUN 

, SPACE 
1, X 
Introduction, NOUN 

, SPACE 
Fast, ADJ 
atomic, ADJ 
ions, NOUN 
penetrating, VERB 
high, ADJ 
c, PROPN 
supercon-, PUNCT 

, SPACE 
ductor, NOUN 
HTSC, PROPN 
films, NOUN 
able, ADJ 
create, VERB 
latent, ADJ 
tracks, NOUN 

, SPACE 
ion, NOUN 
trajectory, NOUN 
tracks, NOUN 
consist, VERB 
amorphous, ADJ 
core, NOUN 

, SPACE 
surrounded, VERB 
region, NOUN 
left, VERB 
strain, NOUN 
l-3, PROPN 
core, NOUN 

, SPACE 
radius, NOUN 
effective, ADJ 
damage, NOUN 
radius, NOUN 
R, NOUN 
increases, VERB 

, SPACE 
increasing, VERB 
energy, NOUN 
deposited, VERB 
ion, NOUN 
strict, ADJ 
correlation, NOUN 

, SPACE 
observed, VERB 
R, NOUN 
track, NOUN 
morphology, NOUN 
Large, ADJ 

, SPACE 
R, NOUN 
values, NOUN 
R, NOUN 
>, X 
3, NUM 
nm, NOUN 
related, VERB 
