H, PROPN 
Nuclear, PROPN 
Instruments, PROPN 
Methods, PROPN 
Physics, PROPN 
Research, PROPN 
B, PROPN 
1996, NUM 
663, NUM 
669, NUM 

, SPACE 

, SPACE 
$, X 
J, PROPN 

, SPACE 
ELSEVIER, PROPN 
Beam, PROPN 
Interactions, PROPN 

, SPACE 
Materials, PROPN 
Atoms, PROPN 

, SPACE 
Application, PROPN 
ion, NOUN 
beam, NOUN 
analysis, NOUN 
techniques, NOUN 

, SPACE 
irradiation, NOUN 
damage, NOUN 
zirconium, NOUN 
alloys, NOUN 
study, VERB 

, SPACE 
L.M., PROPN 
Howe, PROPN 
a., NOUN 
D., PROPN 
Phillips, PROPN 
H., PROPN 
Zou, PROPN 
J., PROPN 
Forster, PROPN 
R., PROPN 
Siegele, PROPN 
b, PROPN 
J.A., PROPN 

, SPACE 
A.T., PROPN 
Motta, PROPN 
J.A., PROPN 
Faldowski, PROPN 
P.R., PROPN 
Okamoto, PROPN 
d, PROPN 
Davies, NOUN 
b, PROPN 

, SPACE 
AECL, PROPN 
Resrurch, PROPN 
Chalk, PROPN 
River, PROPN 
Loboratories, PROPN 
Chalk, PROPN 
River, PROPN 
Onturio, PROPN 
Cunudu, PROPN 
KOJ, NOUN 
IJO, PROPN 

, SPACE 
Accrlerutor, PROPN 
Luhorutory, PROPN 
McMuster, PROPN 
University, PROPN 
Humilton, PROPN 
Onturio, PROPN 
Cunudu, PROPN 
L8S, PROPN 
4MI, PROPN 

, SPACE 
Department, PROPN 
o$Nucieur, PROPN 
Engineering, PROPN 
Pennsylvuniu, PROPN 
Stute, PROPN 
University, PROPN 
IJniversity, PROPN 
Park, PROPN 
PA, PROPN 
16802, NUM 
USA, PROPN 

, SPACE 
d, X 
Motet, PROPN 
ids, PROPN 
Science, PROPN 
Division, PROPN 
Argonne, PROPN 
Nutionul, PROPN 
Luhorutory, PROPN 
Argonne, ADV 
IL, PROPN 
60439, NUM 
USA, PROPN 

, SPACE 
Abstract, PROPN 

, SPACE 
Ion, NOUN 
beam, NOUN 
analysis, NOUN 
techniques, NOUN 
provide, VERB 
understanding, NOUN 
nature, NOUN 
collision, NOUN 
cascades, NOUN 
irradiation-, X 

, SPACE 
induced, VERB 
phase, NOUN 
changes, NOUN 
lattice, NOUN 
location, NOUN 
solute, NOUN 
atoms, NOUN 
defect, ADJ 
solute, NOUN 
atom, NOUN 
interactions, NOUN 
zirconium, NOUN 
alloys, NOUN 

, SPACE 
zirconium, NOUN 
inter, ADJ 
metallic, ADJ 
compounds, NOUN 
Zr, PROPN 
Fe, PROPN 
Zr, PROPN 
Fe, PROPN 
ZrFe, PROPN 
Zr,(Fe, PROPN 
Ni, PROPN 
electron, NOUN 
ion, NOUN 
irradiations, NOUN 

, SPACE 
obtain, VERB 
detailed, ADJ 
information, NOUN 
crystalline, NOUN 
amorphous, ADJ 
transformation, NOUN 
occurring, VERB 
irradiation, NOUN 

, SPACE 
Transmission, PROPN 
electron, NOUN 
microscopy, ADJ 
TEM, PROPN 
observations, NOUN 
provided, VERB 
information, NOUN 
nature, NOUN 
damage, NOUN 
produced, VERB 

, SPACE 
individual, ADJ 
cascades, NOUN 
critical, ADJ 
dose, NOUN 
required, VERB 
amorphization, NOUN 
critical, ADJ 
temperature, NOUN 
amorphization, NOUN 
study, NOUN 

, SPACE 
electron, NOUN 
energy, NOUN 
dependence, NOUN 
amorphization, NOUN 
Zr, PROPN 
Fe, PROPN 
Zr, PROPN 
Fe, PROPN 
ZrCr, PROPN 
situ, ADJ 
high, ADJ 
voltage, NOUN 
electron, NOUN 
microscope, NOUN 

, SPACE 
investigations, NOUN 
combined, VERB 
high, ADJ 
energy, NOUN 
forward, ADJ 
elastic, ADJ 
recoil, NOUN 
measurements, NOUN 
yield, VERB 
information, NOUN 
threshold, NOUN 

, SPACE 
displacement, NOUN 
energies, NOUN 
Zr, PROPN 
Fe, PROPN 
Cr, PROPN 
lattices, NOUN 
role, NOUN 
secondary, ADJ 
displacements, NOUN 
lattice, NOUN 
atoms, NOUN 

, SPACE 
recoil, NOUN 
impurities, NOUN 
CO, PROPN 
low, ADJ 
electron, NOUN 
energies, NOUN 
Zr, PROPN 
implanted, VERB 
s6Fe, PROPN 
ions, NOUN 
subsequently, ADV 
bombarded, VERB 
jOAr, ADJ 
ions, NOUN 

, SPACE 
723, NUM 
K, NOUN 
subsequent, ADJ 
secondary, ADJ 
ion, NOUN 
mass, NOUN 
spectrometry, NOUN 
SIMS, PROPN 
analyses, NOUN 
monitor, VERB 
effect, NOUN 
irradiation, NOUN 
