Local, ADJ 
application, NOUN 
rhTGF-, PROPN 
h2, PROPN 
enhances, VERB 
peri, ADJ 
implant, ADJ 
bone, NOUN 

, SPACE 
volume, NOUN 
bone, NOUN 
implant, ADJ 
contact, NOUN 
rat, NOUN 
model, NOUN 

, SPACE 
Aladino, PROPN 
De, PROPN 
Ranieria, PROPN 
Amarjit, PROPN 
S., PROPN 
Virdia, PROPN 
b, PROPN 
Shinji, PROPN 
Kurodaa, PROPN 
Susan, PROPN 
Shottc, PROPN 
Robert, PROPN 
M., PROPN 
Levena, PROPN 

, SPACE 
Nadim, PROPN 
J., PROPN 
Hallabb, PROPN 
Dale, PROPN 
R., PROPN 
Sumnera, PROPN 
b, PROPN 

, SPACE 
aDepartment, PROPN 
Anatomy, PROPN 
Cell, PROPN 
Biology, PROPN 
Rush, PROPN 
Medical, PROPN 
College, PROPN 
Rush, PROPN 
University, PROPN 
Medical, PROPN 
Center, PROPN 
Chicago, PROPN 
IL, PROPN 
60612, NUM 
USA, PROPN 

, SPACE 
bDepartment, PROPN 
Orthopedic, PROPN 
Surgery, PROPN 
Rush, PROPN 
Medical, PROPN 
College, PROPN 
Rush, PROPN 
University, PROPN 
Medical, PROPN 
Center, PROPN 
Chicago, PROPN 
IL, PROPN 
60612, NUM 
USA, PROPN 

, SPACE 
cDepartment, PROPN 
Internal, PROPN 
Medicine, PROPN 
Rush, PROPN 
Medical, PROPN 
College, PROPN 
Rush, PROPN 
University, PROPN 
Medical, PROPN 
Center, PROPN 
Chicago, PROPN 
IL, PROPN 
60612, NUM 
USA, PROPN 

, SPACE 
Received, VERB 
19, NUM 
November, PROPN 
2004, NUM 
revised, VERB 
3, NUM 
March, PROPN 
2005, NUM 
accepted, VERB 
7, NUM 
March, PROPN 
2005, NUM 

, SPACE 
Available, ADJ 
online, ADV 
24, NUM 
2005, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
Orthopedic, PROPN 
dental, ADJ 
implant, ADJ 
fixation, NOUN 
depends, VERB 
