Anin, NOUN 
vitro, X 
study, NOUN 
ultrasound, NOUN 
signal, NOUN 
loss, NOUN 
simple, ADJ 
fractures, NOUN 
cortical, ADJ 

, SPACE 
bone, NOUN 
mimics, NOUN 
bovine, ADJ 
cortical, ADJ 
bone, NOUN 
samples, NOUN 

, SPACE 
S.P., PROPN 
Dodda, PROPN 
J.L., PROPN 
Cunninghama,⁎, PROPN 
A.W., PROPN 
Milesa, PROPN 
S., PROPN 
Gheduzzia, PROPN 
V.F., PROPN 
Humphreyb, PROPN 

, SPACE 
aCentre, PROPN 
Orthopaedic, PROPN 
Biomechanics, PROPN 
Department, PROPN 
Mechanical, PROPN 
Engineering, PROPN 
University, PROPN 
Bath, PROPN 
Bath, PROPN 
Avon, PROPN 
BA2, PROPN 
7AY, PROPN 
UK, PROPN 

, SPACE 
bInstitute, PROPN 
Sound, PROPN 
Vibration, PROPN 
Research, PROPN 
ISVR, PROPN 
University, PROPN 
Southampton, PROPN 
Southampton, PROPN 
Hampshire, PROPN 
SO17, PROPN 
1BJ, NUM 
UK, PROPN 

, SPACE 
Received, VERB 
27, NUM 
July, PROPN 
2006, NUM 
revised, VERB 
4, NUM 
October, PROPN 
2006, NUM 
accepted, VERB 
5, NUM 
October, PROPN 
2006, NUM 

, SPACE 
Available, ADJ 
online, ADJ 
28, NUM 
November, PROPN 
2006, NUM 

, SPACE 
Abstract, PROPN 

, SPACE 
Measurements, NOUN 
performed, VERB 
Sawbones, PROPN 
®, NOUN 
bovine, ADJ 
cortical, ADJ 
bone, NOUN 
samples, NOUN 
200, NUM 
kHz, NOUN 
axial, ADJ 
transmission, NOUN 
technique, NOUN 

, SPACE 
investigate, VERB 
factors, NOUN 
determine, VERB 
ultrasonic, ADJ 
waves, NOUN 
propagate, VERB 
simulated, ADJ 
fracture, NOUN 
peak, NOUN 
amplitude, NOUN 
arrival, NOUN 
signal, NOUN 

, SPACE 
FAS, PROPN 
studied, VERB 
Results, NOUN 
taken, VERB 
intact, ADJ 
specimens, NOUN 
compared, VERB 
produced, VERB 
simple, ADJ 
transverse, ADJ 
fracture, NOUN 
introduced, VERB 
fracture, ADJ 
simulation, NOUN 
experiments, NOUN 
found, VERB 
consistent, ADJ 
Finite, PROPN 
Difference, PROPN 
modelling, NOUN 
experimental, ADJ 
conditions, NOUN 
peak, NOUN 

, SPACE 
amplitude, NOUN 
showed, VERB 
characteristic, ADJ 
variation, NOUN 
fracture, NOUN 
caused, VERB 
interference, NOUN 
reradiated, NOUN 
scattered, VERB 
diffracted, VERB 
waves, NOUN 

, SPACE 
fracture, NOUN 
site, NOUN 
net, ADJ 
Fracture, PROPN 
Transmission, PROPN 
Loss, PROPN 
FTL, PROPN 
small, ADJ 
fracture, ADJ 
gaps, NOUN 
change, NOUN 
amplitude, NOUN 
sensitive, ADJ 
presence, NOUN 
thefracture, NOUN 
sensitivity, NOUN 
suggests, VERB 
parameter, NOUN 
good, ADJ 
quantitative, ADJ 
indicator, NOUN 
fracture, ADJ 
healing, NOUN 
process, NOUN 
assuming, VERB 
relati, NOUN 
ve, AUX 

, SPACE 
change, VERB 
parameter, NOUN 
brought, VERB 
healing, NOUN 
measurable, ADJ 

, SPACE 
©, ADJ 
2006, NUM 
Elsevier, PROPN 
Inc., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
Keywords, NOUN 
Attenuation, NOUN 
Axial, ADJ 
transmission, NOUN 
Fracture, PROPN 
healing, NOUN 
measurement, NOUN 
Tibia, PROPN 

, SPACE 
Introduction, PROPN 

, SPACE 
Assessment, PROPN 
bone, NOUN 
strength, NOUN 
fracture, ADJ 
healing, NOUN 
monitoring, NOUN 

, SPACE 
early, ADJ 
detection, NOUN 
osteoporosis, NOUN 
important, ADJ 
area, NOUN 
inorthopaedic, ADJ 
research, NOUN 
relatively, ADV 
low, ADJ 
cost, NOUN 
non, ADJ 
ionising, ADJ 
properties, NOUN 
ultrasound, NOUN 
measurement, NOUN 
techniques, NOUN 

, SPACE 
information, NOUN 
taken, VERB 
measurements, NOUN 

, SPACE 
evaluate, VERB 
changes, NOUN 
mechanical, ADJ 
and/or, CCONJ 
