Increased, VERB 
longitudinal, ADJ 
growth, NOUN 
rats, NOUN 
silicon, NOUN 
depleted, VERB 
diet, NOUN 
☆, ADJ 

, SPACE 
Ravin, PROPN 
Jugdaohsingha, PROPN 
b,⁎, NOUN 
Mario, PROPN 
R., PROPN 
Calommec, PROPN 
Karen, PROPN 
Robinsond, PROPN 
Forrest, PROPN 
Nielsene, PROPN 
Simon, PROPN 
H.C., PROPN 
Andersonb, PROPN 

, SPACE 
Patrick, PROPN 
D'Haesef, PROPN 
Piet, PROPN 
Geusensg, PROPN 
h, PROPN 
Nigel, PROPN 
Loveridgei, PROPN 
Richard, PROPN 
P.H., PROPN 
Thompsonb, PROPN 
Jonathan, PROPN 
J., PROPN 
Powella, PROPN 

, SPACE 
aMRC, PUNCT 
Human, PROPN 
Nutrition, PROPN 
Research, PROPN 
Elsie, PROPN 
Widdowson, PROPN 
Laboratory, PROPN 
Fulbourn, PROPN 
Road, PROPN 
Cambridge, PROPN 
CB1, PROPN 
9NL, PROPN 
UK, PROPN 

, SPACE 
bNutritional, PROPN 
Science, PROPN 
Division, PROPN 
King, PROPN 
College, PROPN 
London, PROPN 
School, PROPN 
Biomedical, PROPN 
Health, PROPN 
Sciences, PROPN 
Rayne, PROPN 
Institute, PROPN 
St, PROPN 
Thomas, PROPN 
Hospital, PROPN 
London, PROPN 
SE, PROPN 
1, NUM 
7EH, NUM 
UK, PROPN 

, SPACE 
cFaculty, PROPN 
Pharmaceutical, PROPN 
Sciences, PROPN 
University, PROPN 
Antwerp, PROPN 
Universiteitsplein, PROPN 
1, NUM 
B-2610, PROPN 
Wilrijk, PROPN 
Antwerp, PROPN 
Belgium, PROPN 

, SPACE 
dBiological, PROPN 
Services, PROPN 
Unit, PROPN 
King, PROPN 
College, PROPN 
London, PROPN 
Rayne, PROPN 
Institute, PROPN 
St, PROPN 
Thomas, PROPN 
Hospital, PROPN 
London, PROPN 
SE1, PROPN 
7EH, PROPN 
UK, PROPN 

, SPACE 
eUSDA, NOUN 
Grand, PROPN 
Forks, PROPN 
Human, PROPN 
Nutrition, PROPN 
Research, PROPN 
Center, PROPN 
2420, NUM 
2nd, NOUN 
Ave, PROPN 
N, PROPN 
Grand, PROPN 
Forks, PROPN 
ND, PROPN 
58202, NUM 
USA, PROPN 

, SPACE 
fExperimental, PROPN 
Clinical, PROPN 
Pathology, PROPN 
Toxicology, PROPN 
Faculty, PROPN 
Medicine, PROPN 
University, PROPN 
Antwerp, PROPN 
Universiteitsplein, PROPN 
