Determining, VERB 
elastic, ADJ 
modulus, NOUN 
mouse, NOUN 
cortical, ADJ 
bone, NOUN 
electronic, ADJ 
speckle, NOUN 

, SPACE 
pattern, NOUN 
interferometry, NOUN 
ESPI, PROPN 
micro, PROPN 
computed, VERB 
tomography, NOUN 
new, ADJ 
approach, NOUN 
characterizing, VERB 
small, ADJ 
bone, NOUN 
material, NOUN 
properties, NOUN 
☆, VERB 

, SPACE 
Netta, PROPN 
Lev, PROPN 
Tov, NOUN 
Chattaha,⁎, NOUN 
Amnon, PROPN 
Sharirb, PROPN 
Steve, PROPN 
Weinera, PROPN 
Ron, PROPN 
Shaharb, PROPN 

, SPACE 
aDepartment, PROPN 
Structural, PROPN 
Biology, PROPN 
Weizmann, PROPN 
Institute, PROPN 
Science, PROPN 
76100, NUM 
Rehovot, PROPN 
Israel, PROPN 

, SPACE 
bKoret, PROPN 
School, PROPN 
Veterinary, PROPN 
Medicine, PROPN 
Hebrew, PROPN 
University, PROPN 
Jerusalem, PROPN 
Rehovot, PROPN 
Israel, PROPN 

, SPACE 
abstract, ADJ 
article, NOUN 
info, NOUN 

, SPACE 
Article, NOUN 
history, NOUN 

, SPACE 
Received, VERB 
27, NUM 
January, PROPN 
2009Revised, NUM 
9, NUM 
March, PROPN 
2009Accepted, NUM 
11, NUM 
March, PROPN 
2009Available, NUM 
online, ADJ 
28, NUM 
March, PROPN 
2009, NUM 

, SPACE 
Edited, VERB 
T., PROPN 
Einhorn, PROPN 

, SPACE 
Keywords, PROPN 

, SPACE 
Elastic, ADJ 
modulusBiomechanical, ADJ 
testingElectronic, ADJ 
speckle, NOUN 
pattern, NOUN 
interferometry, NOUN 

, SPACE 
Mouse, PROPN 

, SPACE 
FemurMice, PROPN 
phenotypes, NOUN 
invaluable, ADJ 
understanding, VERB 
bone, NOUN 
formation, NOUN 
function, NOUN 
bone, NOUN 
disease, NOUN 

, SPACE 
elastic, ADJ 
modulus, NOUN 
important, ADJ 
property, NOUN 
bones, NOUN 
provide, VERB 
insights, NOUN 
bone, NOUN 
quality, NOUN 

, SPACE 
determination, NOUN 
elastic, ADJ 
modulus, NOUN 
mouse, PROPN 
cortical, ADJ 
bone, NOUN 
complicated, VERB 
small, ADJ 
dimensions, NOUN 
thebones, NOUN 
bone, NOUN 
bending, VERB 
tests, NOUN 
known, VERB 
estimate, VERB 
elastic, ADJ 
modulus, NOUN 
compared, VERB 

, SPACE 
nanoindentation, NOUN 
tests, NOUN 
provides, VERB 
information, NOUN 
extremely, ADV 
localized, VERB 
areas, NOUN 

, SPACE 
necessarily, ADV 
correspond, VERB 
bulk, ADJ 
elastic, ADJ 
modulus, NOUN 
compression, NOUN 

, SPACE 
study, NOUN 
presents, VERB 
novel, ADJ 
method, NOUN 
determining, VERB 
bulk, NOUN 
effective, ADJ 
elastic, ADJ 
modulus, NOUN 
mouse, PROPN 
cortical, ADJ 

, SPACE 
bone, NOUN 
femur, NOUN 
use, VERB 
Electronic, PROPN 
Speckle, PROPN 
Pattern, PROPN 
Interferometry, PROPN 
ESPI, PROPN 
optical, ADJ 
method, NOUN 
enablesthe, PRON 
measurement, NOUN 
displacements, NOUN 
bone, NOUN 
surface, NOUN 
compressed, VERB 
water, NOUN 
data, NOUN 
iscombined, VERB 
geometric, ADJ 
information, NOUN 
obtained, VERB 
micro, ADJ 
CT, PROPN 
calculate, VERB 
elastic, ADJ 
modulus, NOUN 
Roughlytubular, ADJ 
cortical, ADJ 
bone, NOUN 
segments, NOUN 
2, NUM 
mm, NOUN 
cut, VERB 
diaphyses, NOUN 
femora, NOUN 
week, NOUN 
old, ADJ 
C57BL/6, PROPN 
B6, PROPN 

, SPACE 
female, ADJ 
mice, NOUN 
compressed, VERB 
axially, ADV 
mechanical, ADJ 
tension, NOUN 
compression, NOUN 
device, NOUN 
Displacements, NOUN 

, SPACE 
loading, NOUN 
direction, NOUN 
mapped, VERB 
bone, NOUN 
surface, NOUN 
loading, VERB 
specimen, NOUN 
linear, ADJ 
regression, NOUN 

, SPACE 
displacement, NOUN 
vs., ADP 
axial, ADJ 
position, NOUN 
enabled, VERB 
calculation, NOUN 
effective, ADJ 
strain, NOUN 
Effective, ADJ 
stress, NOUN 
calculated, VERB 

, SPACE 
force, NOUN 
N, PROPN 
data, NOUN 
system, NOUN 
load, NOUN 
cell, NOUN 
mean, ADJ 
cross, ADJ 
sectional, ADJ 
area, NOUN 
sample, NOUN 
determined, VERB 

, SPACE 
micro, NOUN 
CT, NOUN 
effective, ADJ 
elastic, ADJ 
modulus, NOUN 
E, NOUN 
calculated, VERB 
stress, NOUN 
strain, VERB 
ratio, NOUN 
method, NOUN 

, SPACE 
shown, VERB 
accurate, ADJ 
precise, ADJ 
standard, ADJ 
material, NOUN 
machined, VERB 
similar, ADJ 
dimensions, NOUN 
themouse, ADJ 
femoral, ADJ 
segments, NOUN 

, SPACE 
Diaphyses, PROPN 
mouse, PROPN 
femora, PROPN 
shown, VERB 
mean, VERB 
elastic, ADJ 
moduli, NOUN 
10.4±0.9, NUM 
GPa, PROPN 
femora, PROPN 

, SPACE 
frozen, ADJ 
months, NOUN 
8.6±1.4, NUM 
GPa, NOUN 
femora, NOUN 
frozen, VERB 
weeks, NOUN 
8.9±1.1, NUM 
GPa, NOUN 
fresh, ADJ 

, SPACE 
femora, NOUN 
values, NOUN 
higher, ADJ 
measured, VERB 
point, NOUN 
bending, NOUN 
lower, ADJ 

, SPACE 
values, NOUN 
reported, VERB 
literature, NOUN 
based, VERB 
nanoindentation, NOUN 
tests, NOUN 
mice, ADJ 
bones, NOUN 
age, NOUN 

, SPACE 
method, NOUN 
accurately, ADV 
precisely, ADV 
measure, VERB 
effective, ADJ 
elastic, ADJ 
modulus, NOUN 
ofmouse, NOUN 
cortical, ADJ 
bone, NOUN 

, SPACE 
©, ADJ 
2009, NUM 
Elsevier, ADJ 
Inc., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
Introduction, PROPN 

, SPACE 
Mice, NOUN 
invaluable, ADJ 
animal, NOUN 
models, NOUN 
understanding, VERB 
genetic, ADJ 

, SPACE 
mechanisms, NOUN 
controlling, VERB 
processes, NOUN 
bone, NOUN 
formation, NOUN 
growth, NOUN 

, SPACE 
physiology, NOUN 
disease, NOUN 
evaluating, VERB 
novel, ADJ 
therapies, NOUN 

, SPACE 
1,2,12,13,16, PROPN 
20,22,28, NUM 
Detailed, ADJ 
characterization, NOUN 
bone, NOUN 
pheno, ADJ 
type, NOUN 
entails, VERB 
multilevel, ADJ 
description, NOUN 
bone, NOUN 
