biodegradable, ADJ 
porous, ADJ 
composite, ADJ 
scaffold, NOUN 
PGA/, NOUN 
β, X 
TCP, VERB 
bone, NOUN 
tissue, NOUN 
engineering, NOUN 

, SPACE 
Hong, PROPN 
Caoa, PROPN 
b,⁎, NOUN 
Noboru, PROPN 
Kuboyamac, PROPN 

, SPACE 
aDepartment, PROPN 
Pediatric, PROPN 
Dentistry, PROPN 
Nihon, PROPN 
University, PROPN 
School, PROPN 
Dentistry, PROPN 
Matsudo, PROPN 
Japan, PROPN 

, SPACE 
bTianjin, PROPN 
Stomatological, PROPN 
Hospital, PROPN 
Tianjin, PROPN 
China, PROPN 

, SPACE 
cDepartment, PROPN 
Oral, PROPN 
Molecular, PROPN 
Pharmacology, PROPN 
Nihon, PROPN 
University, PROPN 
School, PROPN 
Dentistry, PROPN 
Matsudo, PROPN 
Japan, PROPN 

, SPACE 
abstract, ADJ 
article, NOUN 
info, NOUN 

, SPACE 
Article, NOUN 
history, NOUN 

, SPACE 
Received, VERB 
30, NUM 
June, PROPN 
2009Revised, NUM 
24, NUM 
September, PROPN 
2009Accepted, NUM 
24, NUM 
September, PROPN 
2009, NUM 

, SPACE 
Available, ADJ 
online, ADJ 
30, NUM 
September, PROPN 
2009, NUM 

, SPACE 
Edited, VERB 
D., PROPN 
Fyhrie, PROPN 

, SPACE 
Keywords, PROPN 

, SPACE 
PGA, PROPN 
β, ADJ 
TCP, ADJ 
composite, ADJ 

, SPACE 
Osteogenesis, PROPN 

, SPACE 
Biodegradation, PROPN 

, SPACE 
Micro, PROPN 
CTOsteoclastPolyglycolic, ADJ 
acid, NOUN 
PGA, PROPN 
beta, NOUN 
tricalcium, NOUN 
phosphate, NOUN 
β, PROPN 
TCP, PROPN 
applications, NOUN 
tissue, NOUN 
repair, NOUN 

, SPACE 
materials, NOUN 
study, NOUN 
dimensional, ADJ 
3D, NOUN 
porous, ADJ 
composite, ADJ 
scaffolds, NOUN 
PGA/, NOUN 
β, X 
TCP, NOUN 
1:1, NUM 
1:3, NUM 

, SPACE 
weight, NOUN 
ratios, NOUN 
fabricated, VERB 
solvent, NOUN 
casting, NOUN 
particulate, NOUN 
leaching, VERB 
method, NOUN 
PGA/, NOUN 
β, X 
TCP, NOUN 

, SPACE 
scaffolds, NOUN 
high, ADJ 
porosity, NOUN 
interconnected, VERB 
3D, NOUN 
pores, NOUN 
rough, ADJ 
surfaces, NOUN 
obtained, VERB 
observed, VERB 

, SPACE 
scanning, VERB 
electron, PROPN 
microscopy, NOUN 
SEM, PROPN 
micro, ADJ 
computed, ADJ 
