Selective, ADJ 
isolation, NOUN 
differentiation, NOUN 
stromal, ADJ 
population, NOUN 
human, PROPN 
embryonic, ADJ 

, SPACE 
stem, NOUN 
cells, NOUN 
osteogenic, ADJ 
potential, NOUN 

, SPACE 
Linda, PROPN 
Harknessa, PROPN 
Amer, PROPN 
Mahmooda, PROPN 
c, PROPN 
Nicholas, PROPN 
Ditzela, PROPN 
Basem, PROPN 
M., PROPN 
Abdallaha, PROPN 

, SPACE 
Jens, PROPN 
V., PROPN 
Nygaardb, PROPN 
Moustapha, PROPN 
Kassema, PROPN 
c,⁎, NOUN 

, SPACE 
aDepartment, PROPN 
Endocrinology, PROPN 
Metabolism, PROPN 
Laboratory, PROPN 
Molecular, PROPN 
Endocrinology, PROPN 
KMEB, PROPN 
Medical, PROPN 
Biotechnology, PROPN 
Centre, PROPN 
MBC, PROPN 
Winsløwparken, PROPN 
25, NUM 
University, PROPN 
Southern, PROPN 
Denmark, PROPN 

, SPACE 
5000, NUM 
Odense, PROPN 
C, PROPN 
Denmark, PROPN 

, SPACE 
bInterdisciplinary, PROPN 
Nanoscience, PROPN 
Centre, PROPN 
Faculty, PROPN 
Science, PROPN 
University, PROPN 
Aarhus, PROPN 
Ny, PROPN 
Munkegade, PROPN 
building, VERB 
1521, NUM 
8000, NUM 
Aarhus, PROPN 
Denmark, PROPN 

, SPACE 
cStem, PROPN 
Cell, PROPN 
Unit, PROPN 
Department, PROPN 
Anatomy, PROPN 
King, PROPN 
Saud, PROPN 
University, PROPN 
Riyadh, PROPN 
Saudi, PROPN 
Arabia, PROPN 

, SPACE 
abstract, ADJ 
article, NOUN 
info, NOUN 

, SPACE 
Article, NOUN 
history, NOUN 

, SPACE 
Received, VERB 
18, NUM 
April, PROPN 
2010Revised, NUM 
9, NUM 
September, PROPN 
2010Accepted, NUM 
15, NUM 
September, PROPN 
2010Available, NUM 
online, ADJ 
30, NUM 
September, PROPN 
2010, NUM 

, SPACE 
Edited, VERB 
R., PROPN 
Baron, PROPN 

, SPACE 
Keywords, PROPN 

, SPACE 
Human, ADJ 
embryonic, ADJ 
stem, NOUN 
cellsOsteogenic, ADJ 
differentiationHyaluronic, NUM 
acidIn, NOUN 
vivo, NOUN 
bone, NOUN 
formationThe, ADP 
derivation, NOUN 
osteogenic, ADJ 
cells, NOUN 
human, PROPN 
embryonic, ADJ 
stem, NOUN 
cells, NOUN 
hESC, PROPN 
hampered, VERB 
absence, NOUN 

, SPACE 
easy, ADJ 
reproducible, ADJ 
protocols, NOUN 
hESC, PROPN 
grown, VERB 
feeder, NOUN 
free, ADJ 
conditions, NOUN 
sub, NOUN 
population, NOUN 
ofﬁbroblast, NOUN 
like, ADJ 
stromal, ADJ 
cells, NOUN 
growing, VERB 
colonies, NOUN 
examined, VERB 
possibility, NOUN 
cells, NOUN 

, SPACE 
represent, VERB 
population, NOUN 
stromal, ADJ 
mesenchymal, NOUN 
stem, NOUN 
cells, NOUN 
hESC, PROPN 
stromal, PROPN 
house, NOUN 
derived, VERB 
hES, NOUN 
cell, NOUN 
lines, NOUN 

, SPACE 
Odense3, PROPN 
KMEB3, PROPN 
externally, ADV 
derived, VERB 
cell, NOUN 
line, NOUN 
Hues8, NOUN 
transitioned, VERB 
feeder, NOUN 
freeconditions, NOUN 
sub, NOUN 
population, NOUN 
ﬁbroblast, ADJ 
like, ADJ 
cells, NOUN 
established, VERB 
hESC, PROPN 
colonies, NOUN 
isolated, VERB 

, SPACE 
selective, ADJ 
adherence, NOUN 
hyaluronic, ADJ 
acid, NOUN 
