Original, ADJ 
Length, PROPN 
Article, NOUN 

, SPACE 
Water, PROPN 
residing, VERB 
small, ADJ 
ultrastructural, ADJ 
spaces, NOUN 
plays, VERB 
critical, ADJ 
role, NOUN 

, SPACE 
mechanical, ADJ 
behavior, NOUN 
bone, NOUN 

, SPACE 
Jitin, PROPN 
Samuela, PROPN 
D, PROPN 
e, NOUN 
b, NOUN 
r, NOUN 
s, NOUN 
h, NOUN 
n, CCONJ 
h, PROPN 
ab, PROPN 
John, PROPN 
Cong, PROPN 
Gui, PROPN 
Zhaob, PROPN 
Xiaodu, PROPN 
Wanga,⁎, PROPN 

, SPACE 
aDepartment, PROPN 
Mechanical, PROPN 
Engineering, PROPN 
University, PROPN 
Texas, PROPN 
San, PROPN 
Antonio, PROPN 
TX, PROPN 
USA, PROPN 

, SPACE 
bDepartment, PROPN 
Chemistry, PROPN 
University, PROPN 
Texas, PROPN 
San, PROPN 
Antonio, PROPN 
TX, PROPN 
USA, PROPN 

, SPACE 
abstract, ADJ 
article, NOUN 
info, NOUN 

, SPACE 
Article, NOUN 
history, NOUN 

, SPACE 
Received, VERB 
28, NUM 
June, PROPN 
2013Revised, NUM 
23, NUM 
October, PROPN 
2013Accepted, NUM 
19, NUM 
November, PROPN 
2013Available, NUM 
online, ADJ 
27, NUM 
November, PROPN 
2013, NUM 

, SPACE 
Edited, VERB 
David, PROPN 
Fyhrie, PROPN 

, SPACE 
Keywords, PROPN 

, SPACE 
WaterBoneToughness, ADP 

, SPACE 
Solvents, NOUN 

, SPACE 
Ultrastructural, PROPN 
spacesWater, NOUN 
affect, VERB 
mechanical, ADJ 
behavior, NOUN 
bone, NOUN 
interacting, VERB 
mineral, NOUN 
organic, ADJ 
phases, NOUN 

, SPACE 
major, ADJ 
pathways, NOUN 
i.e.hydrogen, NOUN 
bonding, NOUN 
polar, ADJ 
interactions, NOUN 
study, NOUN 
dehydrated, ADJ 
bone, NOUN 
soaked, VERB 

, SPACE 
solvents, NOUN 
i.e.water, PROPN 
heavy, ADJ 
water, NOUN 
D, ADJ 
2O, PROPN 
ethylene, NOUN 
glycol, NOUN 
EG, NOUN 
dimethylformamide, NOUN 
DMF, PROPN 
carbon, NOUN 

, SPACE 
tetrachloride(CCl, X 
4, NUM 
chemically, ADV 
harmless, ADJ 
bone, NOUN 
different, ADJ 
polarity, NOUN 
hydrogen, NOUN 
bonding, NOUN 
capability, NOUN 

, SPACE 
molecular, ADJ 
size, NOUN 
objective, NOUN 
examine, VERB 
replacing, VERB 
original, ADJ 
matrix, NOUN 
water, NOUN 
solvents, NOUN 

, SPACE 
affect, VERB 
mechanical, ADJ 
behavior, NOUN 
bone, NOUN 
mechanical, ADJ 
properties, NOUN 
