ELSEVIER, NOUN 
Bone, PROPN 
Vol, PROPN 
19, NUM 
6, NUM 

, SPACE 
December, PROPN 
1996:603, PROPN 
607, NUM 

, SPACE 
Reductions, PROPN 
Bone, PROPN 
Strength, PROPN 
Fluoride, PROPN 
Treatment, PROPN 

, SPACE 
Reflected, VERB 
Tissue, PROPN 
Level, NOUN 
Acoustic, PROPN 
Measurements, PROPN 

, SPACE 
C., PROPN 
H., PROPN 
TURNER, PROPN 
Y., PROPN 
TAKANO, PROPN 
T., PROPN 
HIRANO, PROPN 

, SPACE 
Biomechanics, PROPN 
Biomaterials, PROPN 
Research, PROPN 
Center, PROPN 
Indiana, PROPN 
University, PROPN 
Medical, PROPN 
Center, PROPN 
Indianapolis, PROPN 
USA, PROPN 

, SPACE 
Acoustic, PROPN 
velocity, NOUN 
measurements, NOUN 
estimate, VERB 
tissue-, ADJ 

, SPACE 
level, NOUN 
bone, NOUN 
strength, NOUN 
fluoride, NOUN 
therapy, NOUN 
osteoporosis, NOUN 

, SPACE 
acoustic, ADJ 
measurements, NOUN 
provide, VERB 
information, NOUN 

, SPACE 
elasticity, NOUN 
strength, NOUN 
bone, NOUN 
elasticity, NOUN 
necessar-, ADV 

, SPACE 
ily, ADV 
correlate, VERB 
bone, NOUN 
strength, NOUN 
tissue, NOUN 
level, NOUN 
current, ADJ 

, SPACE 
study, NOUN 
undertaken, VERB 
evaluate, VERB 
effects, NOUN 
fluoride, NOUN 
treat-, X 

, SPACE 
ment, NOUN 
tissue, NOUN 
level, NOUN 
acoustic, ADJ 
velocities, NOUN 
determine, VERB 

, SPACE 
relationship, NOUN 
acoustic, ADJ 
velocity, NOUN 
bone, NOUN 
strength, NOUN 

, SPACE 
measured, VERB 
femur, ADJ 
femoral, ADJ 
neck, NOUN 
spine, VERB 
Young, ADJ 
adult, NOUN 

, SPACE 
rabbits, NOUN 
treated, VERB 
0, NUM 
100, NUM 
parts, NOUN 
million, NUM 

, SPACE 
fluoride, NOUN 
drinking, NOUN 
water, NOUN 
months, NOUN 
treat-, X 

, SPACE 
ment, NOUN 
bones, NOUN 
harvested, VERB 
measurement, NOUN 
tissue, NOUN 

, SPACE 
fluoride, NOUN 
bone, NOUN 
strength, NOUN 
acoustic, ADJ 
properties, NOUN 
Acoustic, ADJ 
ve-, ADP 

, SPACE 
locities, NOUN 
measured, VERB 
femoral, ADJ 
midshaft, NOUN 

, SPACE 
acoustic, ADJ 
microscope, NOUN 
50, NUM 
MHz, NOUN 
transducer, NOUN 
longi-, NUM 

, SPACE 
tudinal, ADJ 
transverse, ADJ 
velocities, NOUN 
measured, VERB 

, SPACE 
initial, ADJ 
acoustic, ADJ 
measurements, NOUN 
bone, NOUN 
specimens, NOUN 

, SPACE 
treated, VERB 
remove, VERB 
organic, ADJ 
matrix, NOUN 
mineral, NOUN 

, SPACE 
acoustic, ADJ 
measurements, NOUN 
repeated, VERB 
Fluoride, NOUN 
treat-, NOUN 

, SPACE 
ment, ADJ 
increased, VERB 
bone, NOUN 
fluoride, NOUN 
levels, NOUN 
7, NUM 
8, NUM 
fold, NOUN 
reduced, VERB 

, SPACE 
biomechanical, ADJ 
parameters, NOUN 
notably, ADV 
fracture, ADJ 
force, NOUN 

, SPACE 
femoral, ADJ 
neck, NOUN 
reduced, VERB 
