Selective, PROPN 
Attachment, PROPN 
Osteoprogenitors, NOUN 
Laminin, PROPN 

, SPACE 
P., PROPN 
ROCHE,1H., PROPN 
A., PROPN 
GOLDBERG,2P., PROPN 
D., PROPN 
DELMAS,1and, PROPN 
L., PROPN 
MALAVAL1, PROPN 

, SPACE 
1INSERM, PROPN 
Unite, PROPN 
´, NOUN 
403, NUM 
Hoˆpital, PROPN 
E., PROPN 
Herriot, PROPN 
Lyon, PROPN 
France, PROPN 

, SPACE 
2University, NOUN 
Western, PROPN 
Ontario, PROPN 
Faculty, PROPN 
Dentistry, PROPN 
London, PROPN 
Canada, PROPN 

, SPACE 
endochondral, ADJ 
ossification, NOUN 
bone, NOUN 
remodeling, NOUN 
os-, NOUN 

, SPACE 
teoprogenitors, NOUN 
OP, NOUN 
attach, VERB 
matrix, NOUN 
differentiateinto, PROPN 
osteoblasts, NOUN 
identify, VERB 
matrix, NOUN 
proteins, NOUN 
binding, VERB 
specifi, NOUN 
cally, ADV 
precursors, NOUN 
fetal, ADJ 
rat, NOUN 
calvaria, PROPN 
RC, PROPN 
cells, NOUN 
wereplated, VERB 
5–20, PROPN 
min, NOUN 
serum, NOUN 
free, ADJ 
medium, NOUN 
wells, NOUN 
coatedwith, VERB 
proteins, NOUN 
saturated, VERB 
bovine, ADJ 
serum, PROPN 
albu, PROPN 
min, NOUN 
BSA, PROPN 
block, VERB 
nonspecific, ADJ 
binding, VERB 
sites, NOUN 
Adherent, NOUN 
cellswere, NOUN 
counted, VERB 
grown, VERB 
assess, VERB 
bone, NOUN 
colony, NOUN 
nodule)formation, PROPN 
AseachnoduleoriginatesfromtheclonaldivisionofoneOP, PROPN 
theratio(nodules/100cellsattached)measurestheproportion, NOUN 
OP, NOUN 
adherent, NOUN 
cells, NOUN 
numerous, ADJ 
puri, ADJ 
fied, ADJ 
matrix, NOUN 
proteins, NOUN 
tested, VERB 
laminin-1, PROPN 
tenascin, PROPN 
inhibitedcell, NOUN 
attachment, NOUN 
fibronectin, NOUN 
bone, NOUN 
sialoprotein, NOUN 
andtype, NOUN 
collagen, VERB 
increased, VERB 
cell, NOUN 
attachment, NOUN 
noeffect, NOUN 
laminin-1, PROPN 
lesser, ADJ 
extent, NOUN 
tenascin, PROPN 
en, ADV 
riched, VERB 
cell, NOUN 
population, NOUN 
OP, PROPN 
Laminin-1, PROPN 
acted, VERB 
time-, PROPN 
anddose, NOUN 
dependently, ADV 
Inexperimentsinwhichcellattachmenttolaminin, NOUN 
coated, VERB 
unsaturated, ADJ 
wells, NOUN 
ensured, VERB 
platingfor, ADP 
24, NUM 
h, NOUN 
10, NUM 
fetal, ADJ 
calf, NOUN 
serum, NOUN 
laminin-1, PROPN 
effect, NOUN 
oncell, VERB 
attachment, NOUN 
OP, NOUN 
differentiation, NOUN 
contrast, NOUN 
peated, VERB 
plating, NOUN 
RC, PROPN 
cells, NOUN 
laminin-1, PROPN 
coated, VERB 
saturatedwells, NOUN 
depleted, VERB 
population, NOUN 
OP, NOUN 
confirming, VERB 
OPselection, PROPN 
cell, NOUN 
attachment, NOUN 
effect, NOUN 
RC, PROPN 
cell, NOUN 
popula, NOUN 
tionsisolatedbysuccessivecollagenaseextractionswerecom, NOUN 
pared, VERB 
highest, ADJ 
rate, NOUN 
OP, NOUN 
enrichment, NOUN 
laminin-1, PROPN 
wasobtained, VERB 
earliest, ADJ 
populations, NOUN 
mostresponsive, NOUN 
dexamethasone, NOUN 
marker, NOUN 
early, ADJ 
OP, NOUN 
stages, NOUN 
conclusion, NOUN 
laminin-1, PROPN 
recruits, VERB 
vitro, X 
cell, NOUN 
attachment, NOUN 
effect, NOUN 
OP, NOUN 
present, ADJ 
early, ADJ 
RC, PROPN 
cell, NOUN 
populations, NOUN 
laminins, NOUN 
abundant, ADJ 
extracellular, ADJ 
matrixcomponents, NOUN 
Bone, NOUN 
24:329–336, PROPN 
1999, NUM 
©, NOUN 
1999, NUM 
ElsevierScience, PROPN 
Inc., PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
Key, PROPN 
Words, NOUN 
Osteoprogenitor, NOUN 
Bone, NOUN 
nodules, NOUN 
Cell, NOUN 
attachment, NOUN 

, SPACE 
Extracellular, ADJ 
matrix, NOUN 
Laminin, PROPN 

, SPACE 
Introduction, NOUN 

, SPACE 
Numerous, ADJ 
studies, NOUN 
shown, VERB 
adhesive, ADJ 
events, NOUN 
para-, VERB 

, SPACE 
mount, NOUN 
importance, NOUN 
bone, NOUN 
cell, NOUN 
function.32In, PROPN 
particular, ADJ 

, SPACE 
recruitment, NOUN 
osteoblast, ADJ 
progenitors, NOUN 
OP, NOUN 
critical, ADJ 
step, NOUN 
inendochondral, ADJ 
ossification, NOUN 

, SPACE 
12and, NOUN 
bone, NOUN 
remodeling,31not, PRON 
onlyinvolves, VERB 
proliferation, NOUN 
differentiation, NOUN 
precursors, NOUN 

, SPACE 
migration, NOUN 
attachment, NOUN 
interactions, NOUN 
withmatrix, NOUN 
proteins, NOUN 
sites, NOUN 
bone, NOUN 
formation, NOUN 
glyco, NOUN 
proteins, NOUN 
shown, VERB 
involved, VERB 
binding, NOUN 
bonecells, NOUN 
extracellular, ADJ 
matrix, NOUN 
principallylocalized, VERB 
bone, NOUN 
tissue, NOUN 
secreted, VERB 
cells, NOUN 
ofosteoblastic, ADJ 
lineage, NOUN 
e.g., ADV 
bone, NOUN 
sialoprotein, NOUN 
BSP, PROPN 

, SPACE 
9,14, PROPN 

, SPACE 
produced, VERB 
cell, NOUN 
types, NOUN 
e.g., ADV 
osteopontin10)o, ADP 
r, NOUN 

, SPACE 
areubiquitousinsoftconnectivetissues(e.g, PROPN 
,collagen, PROPN 
fibronec, NOUN 
tin, NOUN 
vitronectin, NOUN 
work, NOUN 
devoted, VERB 
tostudying, VERB 
attachment, NOUN 
osteoblastic, ADJ 
cell, NOUN 
lines, NOUN 
and/or, CCONJ 
normalbone, NOUN 
cells, NOUN 
undefined, ADJ 
mixed, ADJ 
differentiation, NOUN 
stages, NOUN 
matrixcomponents, NOUN 
found, VERB 
bone, NOUN 
environment, NOUN 
respective, ADJ 
con, NOUN 
tributions, NOUN 
different, ADJ 
cell, NOUN 
binding, VERB 
proteins, NOUN 
specificattachment, NOUN 
early, ADJ 
progenitor, NOUN 
stages, NOUN 
osteoblast, PROPN 
lineagehave, PROPN 
investigated, VERB 

, SPACE 
absence, NOUN 
specific, ADJ 
markers, NOUN 
allowing, VERB 
direct, ADJ 

, SPACE 
identification, NOUN 
OP, NOUN 
cells, NOUN 
indirect, ADJ 
systems, NOUN 
required, VERB 
theirstudy, NOUN 
characterized, VERB 
primary, ADJ 
fetal, ADJ 
rat, NOUN 
calvarial(RC, NOUN 
cell, NOUN 
culture, NOUN 
system, NOUN 
reviewed, VERB 
Aubin, PROPN 
Liu, PROPN 

, SPACE 
3, NUM 

, SPACE 
enzymatically, ADV 
isolated, ADJ 
RC, PROPN 
cells, NOUN 
grown, VERB 
medium, ADJ 
supple, NOUN 
mented, VERB 
ascorbic, NOUN 
acid, NOUN 
b, NOUN 
glycerophosphate, NOUN 
OP, NOUN 
form, NOUN 

, SPACE 
dimensionalbonecolonies(nodules, PROPN 

, SPACE 
6,29inwhichanupper, NUM 

, SPACE 
layer, NOUN 
cuboidal, PROPN 
osteoblasts, VERB 
deposit, NOUN 
extracellular, ADJ 
matrix, NOUN 
thathas, NOUN 
histological, ADJ 
ultrastructural, ADJ 
immunohistochemicalappearance, NOUN 
woven, ADJ 
bone, NOUN 

, SPACE 
8Limiting, NOUN 
dilution, NOUN 
analysis,4as, PROPN 

, SPACE 
bone, NOUN 
nodule, NOUN 
formation, NOUN 
cells, NOUN 
plated, VERB 
low, ADJ 
density(;10, ADJ 
cell, NOUN 
cm, PROPN 

, SPACE 
2)21has, NUM 
shown, VERB 
bone, NOUN 
nodule, NOUN 
originates, NOUN 

, SPACE 
OP, NOUN 
cell, NOUN 
standard, ADJ 
culture, NOUN 
conditions, NOUN 
OPpresent, PROPN 
RC, PROPN 
cell, NOUN 
cultures, NOUN 
detected, VERB 
abilityto, ADJ 
form, NOUN 
mineralizing, VERB 
bone, NOUN 
nodules, NOUN 
characteristic, ADJ 
colony, NOUN 
typeeasy, ADJ 
identify, VERB 
quantitate, VERB 
possible, ADJ 
use, VERB 
RCcell, PROPN 
cultures, NOUN 
vitro, X 
model, NOUN 
quantify, VERB 
analyzeexperimentally, ADV 
population, NOUN 
OP, NOUN 
plated, VERB 
attached, VERB 

, SPACE 
present, ADJ 
study, NOUN 
RC, PROPN 
cell, NOUN 
culture, NOUN 
system, NOUN 

, SPACE 
develop, VERB 
specific, ADJ 
assay, NOUN 
OP, NOUN 
attachment, NOUN 
matrixproteins, NOUN 
compared, VERB 
proteins, NOUN 
capacity, NOUN 
torecruit, NOUN 
OP, NOUN 
laminin-1, PROPN 
selects, VERB 
OP, NOUN 
favoring, VERB 
theirattachment, NOUN 
matrix, NOUN 
antiadhesive, ADJ 
cellsin, NOUN 
populations, NOUN 
plated, VERB 
particular, ADJ 
laminin-1, PROPN 
efficientlyrecruits, VERB 
OP, NOUN 
early, ADJ 
undifferentiated, ADJ 
RC, PROPN 
cell, NOUN 
populations, NOUN 
ofwhich, ADJ 
laminins, NOUN 
