ORIGINAL, PROPN 
ARTICLES, PROPN 

, SPACE 
Evidence, PROPN 
Dense, ADJ 
Intimate, PROPN 
Innervation, PROPN 
Bone, PROPN 

, SPACE 
Tissue, PROPN 
Including, VERB 
Glutamate, PROPN 
Containing, VERB 
Fibers, PROPN 

, SPACE 
C., PROPN 
M., PROPN 
SERRE, PROPN 
D., PROPN 
FARLAY, NOUN 
P., PROPN 
D., PROPN 
DELMAS, PROPN 
C., PROPN 
CHENU, PROPN 

, SPACE 
INSERM, PROPN 
Unit, PROPN 
403, NUM 
Faculte, PROPN 
´, PROPN 
de, PROPN 
Medecine, PROPN 
RTH, PROPN 
Lae, PROPN 
¨nnec, VERB 
Ho, PROPN 
ˆpital, NOUN 
E., PROPN 
HERRIOT, PROPN 
Lyon, PROPN 
France, PROPN 

, SPACE 
recent, ADJ 
demonstration, NOUN 
bone, NOUN 
cells, NOUN 
receptors, NOUN 

, SPACE 
glutamate, ADJ 
Glu, PROPN 
major, ADJ 
neuromediator, NOUN 
suggests, VERB 
Glumay, PROPN 
act, VERB 
signaling, VERB 
molecule, NOUN 
bone, NOUN 
regulatebone, NOUN 
cell, NOUN 
metabolism, NOUN 
bone, NOUN 
known, VERB 
inner, ADJ 
vated, VERB 
distribution, NOUN 
characteristics, NOUN 
nerve, NOUN 
fibers, NOUN 
inthis, NOUN 
tissue, NOUN 
documented, VERB 
studiedthe, DET 
anatomical, ADJ 
distribution, NOUN 
nerve, NOUN 
fibers, NOUN 
presenceof, NOUN 
glutamate, ADJ 
immunoreactive, ADJ 
ones, NOUN 
sections, NOUN 
long, ADJ 
bonesfrom, PROPN 
neonatal, PROPN 
15-, NUM 
25, NUM 
day, NOUN 
old, ADJ 
rats, NOUN 
immunocyto, ADJ 
chemistry, NOUN 
antibodies, NOUN 
directed, VERB 
neuronalmarkers, NOUN 
Glu, PROPN 
showed, VERB 
electron, PROPN 
microscopy, ADJ 
thatbone, NOUN 
rich, ADJ 
nerve, NOUN 
like, ADJ 
processes, NOUN 
running, VERB 
vesselsadjacent, NOUN 
bone, NOUN 
trabeculae, NOUN 
vicinity, NOUN 
hematopoı, ADJ 
¨etic, ADJ 

, SPACE 
cells, NOUN 
bone, NOUN 
cells, NOUN 
Immunocytochemical, ADJ 
studies, NOUN 
thetissue, NOUN 
cellular, ADJ 
level, NOUN 
confirmed, VERB 
presence, NOUN 
densenetwork, NOUN 
thin, ADJ 
nerve, NOUN 
processes, NOUN 
immunolabeled, VERB 
neuro, PROPN 
filament, PROPN 
200, NUM 
tyrosine, NOUN 
hydroxylase, NOUN 
microtubule, PROPN 
associ, NOUN 
ated, VERB 
protein-2, NOUN 
markers, NOUN 
nerve, NOUN 
fibers, NOUN 
thesenerve, NOUN 
processes, NOUN 
showed, VERB 
local, ADJ 
dilatations, NOUN 
contact, NOUN 
withmedullary, ADJ 
cells, NOUN 
bone, NOUN 
cells, NOUN 
immunolabeled, VERB 
forsynaptophysin, NOUN 
nerve, NOUN 
terminal, NOUN 
marker, NOUN 
Glu, PROPN 
largelyexpressed, VERB 
thin, ADJ 
nerve, NOUN 
processes, NOUN 
proximity, NOUN 
bonecells, NOUN 
findings, NOUN 
evidence, NOUN 
dense, ADJ 
intimatenetwork, NOUN 
nerve, NOUN 
processes, NOUN 
bone, NOUN 
werecontaining, VERB 
Glu, PROPN 
suggesting, VERB 
glutamatergic, ADJ 
innervation, NOUN 
inbone, VERB 
Bone, PROPN 
25:623–629, PROPN 
1999, NUM 
©, NOUN 
1999, NUM 
Elsevier, ADJ 
ScienceInc, PROPN 
rights, NOUN 
reserved, VERB 

, SPACE 
Key, PROPN 
Words, NOUN 
Nerve, NOUN 
fibers, NOUN 
Rat, ADJ 
long, ADJ 
bone, NOUN 
sections, NOUN 
Immuno-, PROPN 

, SPACE 
cytochemistry, NOUN 
Electron, PROPN 
microscopy, NOUN 
Neurofilament, PROPN 
200;Glutamate, PROPN 

, SPACE 
Introduction, PROPN 

, SPACE 
Pioneer, PROPN 
studies, NOUN 
light, ADJ 
microscopy, NOUN 
methylene, PROPN 
blue, PROPN 

, SPACE 
staining1,29orsilverimpregnation5,6,24,34havedemonstratedthat, PROPN 

, SPACE 
bone, NOUN 
innervated, VERB 
distribution, NOUN 
nerve, NOUN 
fibersin, NOUN 
bone, NOUN 
documented, VERB 
discrimination, NOUN 
offibers, NOUN 
representing, VERB 
sensory, ADJ 
sympathetic, ADJ 
parasympa, NOUN 
thetic, ADJ 
nervous, ADJ 
system, NOUN 
possible, ADJ 
conventional, ADJ 
histo, ADJ 
logical, ADJ 
techniques, NOUN 
Duncan, PROPN 
Shim, PROPN 

, SPACE 
8have, PROPN 
later, ADV 
shown, VERB 

, SPACE 
presence, NOUN 
sympathetic, ADJ 
nerve, NOUN 
fibers, NOUN 
bone, NOUN 
tissue, NOUN 
visualiz, NOUN 
ing, ADJ 
noradrenaline, NOUN 
recently, ADV 
nerve, NOUN 
fibers, NOUN 
immunoreactivefor, ADP 
neuropeptides, NOUN 
tyrosine, NOUN 
hydroxylase, NOUN 
TH, PROPN 
beendemonstrated, VERB 
bone, NOUN 
indicating, VERB 
presence, NOUN 
sympa-, ADJ 

, SPACE 
thetic, ADJ 
sensory, ADJ 
fibers, NOUN 

, SPACE 
2,3,12,14,16,17,19,33These, ADJ 
studies, NOUN 

, SPACE 
shown, VERB 
high, ADJ 
degree, NOUN 
peptidergic, ADJ 
innervation, NOUN 
bone, NOUN 
tissue, NOUN 
inregionsofhighosteogenicactivity, NOUN 
immunocytochem, NOUN 
istry, NOUN 
